panel_id,target_id,model_id,training_cutoff,confirmation_publication_date,exposure_category,exposure_reason
human-domainome-v1,O43353_PF00619_438,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43395_PF01480_10,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O43586_PF00018_361,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O60341_PF04433_186,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O60481_PF00096_389,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O60885_PF17035_607,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75112_PF00595_1,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75360_PF00046_71,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75366_PF02209_785,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75369_PF00630_1423,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75369_PF00630_2109,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75382_PF00643_111,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75400_PF00397_176,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75400_PF01846_395,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75400_PF01846_459,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75400_PF01846_670,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75400_PF01846_745,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75478_PF04433_375,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75534_PF00313_184,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75534_PF00313_23,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75534_PF00313_347,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75554_PF06220_8,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75970_PF00595_1003,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75970_PF00595_1860,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75970_PF00595_372,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O75970_PF00595_693,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O94830_PF00536_389,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O94885_PF00536_630,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O94929_PF00412_149,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O94929_PF00412_210,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O94993_PF00505_338,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95076_PF00046_155,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95155_PF04564_1229,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95218_PF00641_11,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95218_PF00641_9,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95267_PF00130_539,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95343_PF00046_212,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95475_PF00046_134,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95718_PF00105_100,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95789_PF06467_427,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95793_PF00035_183,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95817_PF00397_11,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,O95835_PF00627_98,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P00519_PF00018_64,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P02549_PF00018_979,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P02585_PF13499_1,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P04049_PF02196_58,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P04150_PF00105_419,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P05813_PF00030_31,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P06239_PF00018_63,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P06241_PF00018_83,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P07315_PF00030_4,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P07315_PF00030_91,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P07316_PF00030_1,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P07814_PF00458_827,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P08151_PF00096_363,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P08235_PF00105_600,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P08631_PF00018_80,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P09086_PF00157_200,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P09327_PF02209_793,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P0CI26_PF00643_87,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10070_PF00096_565,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10071_PF00096_608,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10242_PF00249_143,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10242_PF00249_40,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10275_PF00105_557,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10398_PF02196_21,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10589_PF00105_83,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P10826_PF00105_85,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P11182_PF02817_171,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P11308_PF02198_117,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P11844_PF00030_85,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P12931_PF00018_87,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P12956_PF02037_558,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P13796_PF13499_13,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P13984_PF02270_177,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P14598_PF00018_157,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P14653_PF00046_208,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P14859_PF00157_285,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P14921_PF02198_55,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P15498_PF00018_592,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P15498_PF00018_782,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P16157_PF00531_1405,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P16885_PF00018_772,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P16989_PF00313_84,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P17480_PF00505_408,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P19793_PF00105_132,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P19878_PF00018_241,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P19878_PF00018_456,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P19878_PF00564_353,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20264_PF00046_408,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20264_PF00157_320,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20265_PF00046_356,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20265_PF00157_262,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20929_PF14604_6609,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P20936_PF00018_281,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P22492_PF00538_44,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P22681_PF00627_854,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P23759_PF00046_219,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P25490_PF00096_384,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P25685_PF00226_4,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P26367_PF00046_213,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P26651_PF00642_105,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P28069_PF00157_130,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P28360_PF00046_174,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P32243_PF00046_40,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35251_PF00533_405,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35548_PF00046_144,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35711_PF00505_557,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35712_PF00505_622,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35713_PF00505_87,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P35716_PF00505_50,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P37275_PF00096_933,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P39880_PF02376_548,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P39880_PF02376_941,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P41225_PF00505_140,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P41229_PF00628_319,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P43320_PF00030_106,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P43354_PF00105_260,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P45973_PF00385_21,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P46934_PF00397_836,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P46937_PF00397_162,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P46937_PF00397_165,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P46937_PF00397_226,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P47974_PF00642_193,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P48431_PF00505_42,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P49335_PF00046_280,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P49792_PF00641_1414,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P49792_PF00641_1478,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P50539_PF00010_70,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P51451_PF00018_59,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P51508_PF00096_331,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P51508_PF00096_555,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P51608_PF01429_91,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P51687_PF00173_87,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P53673_PF00030_14,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P54277_PF00505_572,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P54727_PF00627_186,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P54727_PF00627_361,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P54821_PF00046_96,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P55072_PF02359_26,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P55895_PF13341_415,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P56915_PF00046_162,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P57071_PF00096_1085,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P60002_PF05129_3,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P60321_PF05741_63,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P61024_PF01111_1,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P61086_PF00627_158,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P61960_PF03671_4,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P62993_PF00018_159,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P67809_PF00313_52,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78352_PF00595_157,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78352_PF00595_309,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78352_PF00595_60,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78424_PF00046_609,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78545_PF02198_50,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P78563_PF00035_80,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P82979_PF02037_3,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,P98175_PF00641_214,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q00839_PF02037_6,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q00987_PF00641_299,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01543_PF02198_116,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01826_PF02376_371,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01826_PF02376_494,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01826_PF16557_178,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01851_PF00157_266,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q01860_PF00157_134,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q03052_PF00157_247,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q03181_PF00105_71,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q05066_PF00505_61,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q05195_PF00010_58,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q05655_PF00130_228,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q06187_PF00018_215,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q06546_PF02198_172,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q06787_PF00013_217,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q06945_PF00505_60,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q08881_PF00018_172,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12824_PF04855_181,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12830_PF00628_2862,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12837_PF00157_256,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12873_PF00628_374,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12899_PF00643_97,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12929_PF00018_533,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12929_PF18016_720,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q12965_PF00018_1051,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13009_PF00595_843,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13148_PF18694_5,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13163_PF00564_15,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13263_PF00628_620,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13368_PF00595_132,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13424_PF00595_79,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13472_PF06839_812,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13472_PF06839_896,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13501_PF00569_120,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13501_PF16577_389,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13526_PF00397_1,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13642_PF00412_160,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13642_PF00412_99,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q13813_PF13499_2327,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14151_PF02037_27,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14160_PF00595_857,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14192_PF00412_38,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14202_PF06467_350,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14202_PF06467_405,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14839_PF00385_623,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14839_PF00628_365,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14839_PF00628_444,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14863_PF00157_139,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14995_PF00105_103,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
human-domainome-v1,Q14CM0_PF00595_75,carp_640m,2020-03,2024-12-10,clean,confirmation assay was published after the documented training cutoff
