structure_id,source,panel_id,target_id,uniprot_id,structure_sha256,structure_family_id
d00132,development,proteingym-v1.3-development,,SC6A4_HUMAN,62ec30dceed1e594cd7647ca6e7911eb5d8bbc28291f34308476a01c78503f4a,foldseek-family-df4ca47fad9f
d00133,development,proteingym-v1.3-development,,SCIN_STAAR,d14879155138d4adbdea8f87672770a95088f18ebfb173a8e9e97d6d02dbc7e2,foldseek-family-b76ca218f3d1
d00134,development,proteingym-v1.3-development,,SDA_BACSU,45670d87e2f5369b8297ea62acf041b21d7fe5da13f88ec0349af098b0b658fa,foldseek-family-2e15d175accc
d00135,development,proteingym-v1.3-development,,SERC_HUMAN,145f306b45fc02e09dbcc284b679ce3dff46f8c8ac89f4974d289173a4fe055f,foldseek-family-9350ee9e9b29
d00136,development,proteingym-v1.3-development,,SHOC2_HUMAN,36797db3adad093b9b55f4033b4331537cd0d847811de179436d7bead9d29759,foldseek-family-cc425af0ffb0
d00137,development,proteingym-v1.3-development,,SOX30_HUMAN,b0276fb5f3c9b5dcf12c71b1560891c1963dd4ac9f6e3a4891df03834269a22f,foldseek-family-a7e0e568ea58
d00138,development,proteingym-v1.3-development,,SPA_STAAU,a2f6319f39e3cce3c7076d2a2e79a3d688681299c67426e845bd2c9beb58b75c,foldseek-family-aa4c969ab36a
d00139,development,proteingym-v1.3-development,,SPG1_STRSG,91a324a521fde27e12757516606a349d6f7ab37b7249fdeecb3716667a4b8bb6,foldseek-family-b6b7b09b09b1
d00140,development,proteingym-v1.3-development,,SPG2_STRSG,4590ca2e15066da835aa1211889a4d603b44520452b710bf9a9fc9c0644fb636,foldseek-family-215de06a6575
d00141,development,proteingym-v1.3-development,,SPIKE_SARS2,218905aff62155ae50ffd0b233ebf2b2ee3f7ab78e0ef3e5c903b5f4020c954f,foldseek-family-4554d712d66e
d00142,development,proteingym-v1.3-development,,SPTN1_CHICK,7759a5f77e5e576c0fbdb57104c83bc93c13c7696b6c6e09d34d2b2508c6b0fd,foldseek-family-6a5e276afa98
d00143,development,proteingym-v1.3-development,,SQSTM_MOUSE,b4f4b3a946e2a98648d47a4c46261d650e8289e5fabea6f8723dc1db0cf9f87c,foldseek-family-665aef5483e1
d00144,development,proteingym-v1.3-development,,SR43C_ARATH,e35ae86bd710515cd77c234dc5cb52dc5099ced4ad9d3b0444c599176a1c83d7,foldseek-family-0fa14c7c72c8
d00145,development,proteingym-v1.3-development,,SRBS1_HUMAN,e7744eb19dc7644df8efe18a2f4e2e324c08876cc323657e912bb79684477a45,foldseek-family-8842538ce269
d00146,development,proteingym-v1.3-development,,SRC_HUMAN,9b0a016bfffdc62391c2b2427493c210e2c331068a7e7bf53368dcb8c1e66a56,foldseek-family-360c568fb494
d00147,development,proteingym-v1.3-development,,SUMO1_HUMAN,9aaeeede07cbeae5f271f46b0f9ff608e0155a9aa02bcdd8474037719cd64a31,foldseek-family-5c8abb3c0aa0
d00148,development,proteingym-v1.3-development,,SYUA_HUMAN,ea73f4ebca9ab6222683b072dc5edd159d42c3d7f544b728f9c906d2f716e859,foldseek-family-eebb10907f18
d00149,development,proteingym-v1.3-development,,TADBP_HUMAN,16a2effc325a361ad54d93c8fa95d4754f8d220518e4c058a5206d1736bd66f5,foldseek-family-182fc3f0f633
d00150,development,proteingym-v1.3-development,,TAT_HV1BR,78a3923f23598eee5b83e6b99422343f8e2eb0339f4f52728d0bb55e7e60869e,foldseek-family-e162909e508d
d00151,development,proteingym-v1.3-development,,TCRG1_MOUSE,069f836256c91e8861b1d25408ce706125aebf24985c64c6ed3eb7e11122472d,foldseek-family-b75ca3edf313
d00152,development,proteingym-v1.3-development,,THO1_YEAST,5a1aa48a2b0a0ba3a7aa3a3da964aa229b83279be6da47aeb2b90671653c9eb4,foldseek-family-18dd82217f72
d00153,development,proteingym-v1.3-development,,TNKS2_HUMAN,8b4e1f19c22fb2663810550ed8f24093d66d31375e74581f6f893516a090ea29,foldseek-family-4c49d3340b9a
d00154,development,proteingym-v1.3-development,,TPK1_HUMAN,e0066d478f3ecfe9a6366ff446aa9ed077fa00d3a83dace9b10fbe506033afff,foldseek-family-83730a3655c8
d00155,development,proteingym-v1.3-development,,TPMT_HUMAN,7227ab60c7d4d72e7b06025e51f740c823fd85ca1ec0ef35aac519ceff455702,foldseek-family-a789f8230336
