uniprot_id,structure_family_id,structure_sha256
FKBP3_HUMAN,foldseek-family-5531777bd117,cf4f4dd8ed51a39fea4c5acfd571ae0d1b95c822fd6205bf05f1aaf376a6e3eb
GAL4_YEAST,foldseek-family-3574b5e1479b,4adc4954f5f262ce5b18564fcce3e3fa41ff3d0aa9202f890e5e8dca689347a4
GDIA_HUMAN,foldseek-family-210242fa619d,87fdcbe329f4996ccfc169f1880f804f87ac67fd8e2e055402269e1143418a02
GFP_AEQVI,foldseek-family-1998dceb5aa6,70bf9c39c1cc353d330fb37aba49d448caf03693b35196f3adc7375ef434fcc5
GRB2_HUMAN,foldseek-family-4d78c9b7ec39,478e808342e9a06257dc29b2eb70775bdd1c5f6dadbc3753417f9c16dd0e9db6
HCP_LAMBD,foldseek-family-f970a970418c,a84c90281b1af9403c50257aa7087aa3bab0230927f0a03467beb9bc0fca929a
HECD1_HUMAN,foldseek-family-3d5d100f1fc1,d2268cc89c6912b3ffcb57d6a9d021c45f057fb575388eecbf47d46e58313441
HEM3_HUMAN,foldseek-family-94149e8423d6,821b6de21f98a6992502f372963a8c23e0fda6d3721a1e1db300b626fb5e38b1
HMDH_HUMAN,foldseek-family-99c7ed7702bb,00aee90491d11cc50ae59f569479980d797c4709b844d21ddbb8b150ee6e48b0
HSP82_YEAST,foldseek-family-48592aa44511,ffc6f7d2cbd95187391307fbc7d971c73085fc37f7293514a3d81cf164f0fc32
HXK4_HUMAN,foldseek-family-bde881d118ba,a39f64d82f7132652df9320bf4f87995bb01a4ea8002f6ebc68eadb5614c7b69
I6TAH8_I68A0,foldseek-family-f108919ee99e,d2e6f09df66c310b3d96ec515c13d42f4442fbdc4d6cfcea5fee3fa2c86615d1
IF1_ECOLI,foldseek-family-9153b6327749,c921aadaa0ebb02d31d4cf77dc1aafe0c3cfa33d75dead6b573f360601821b58
ILF3_HUMAN,foldseek-family-e9ecc65ecf3b,d19797aff7257ffecbe2682724031d08436ab38db0b6f58fbcba33f8ebea1a94
ISDH_STAAW,foldseek-family-ff098f66d62f,7fa5259cc1a37955c8ed5ed0d373d3315338267d0460f5dbb07167f335b16946
KCNE1_HUMAN,foldseek-family-d8644ca4d133,3b1e72788462295b24b35908d8a6518a7755488e68ba5f09e270f5cd0e4e2d2a
KCNJ2_MOUSE,foldseek-family-481afd79da45,b2b39b02a4698c76f5388c4ace03247ad08ef645b2c3e0f699ce34c183281719
KKA2_KLEPN,foldseek-family-15ae0525bd35,4a0d9ff9ef1bfdb37c7f261fb00a60392aad40a48472181d61773b11b3a88eb8
LGK_LIPST,foldseek-family-ac1ca3f811c6,22b254549a90bf06049202cae218847e6cfaa5676388a27c659029ec221d2d50
MAFG_MOUSE,foldseek-family-61623755f53d,d7b3113f011b7f03a760ff6f67c29df5c3c7e08b8ab8bb29285e0c392d0ca2bc
MBD11_ARATH,foldseek-family-e502749744db,ff8ac306daa1980603573265dc9ac0ebc2290bb76ec1c46b274808a2098a8c58
MET_HUMAN,foldseek-family-6ad758b04f4e,ee921a58956f2b3e7d23a9dae03e8f2b01d0b51123eb7dda7177a136c57264e9
MK01_HUMAN,foldseek-family-a4075e563464,f4e73d38322754b881b56a9471e551809aa6769fd2ec7a533390f2c825ed97cc
MLAC_ECOLI,foldseek-family-e366bd8fccaf,d77e306e842f7b015a4e69a6b37400ca0e9654f58539992dd7287d7d88e206de
MSH2_HUMAN,foldseek-family-faabdc881760,dbbee449c8717c8a06fba5cc8fc9c5c66432f3040444bef1e302f014b76fb7d2
MTH3_HAEAE,foldseek-family-a746de0dd704,492a10786aa26e230376b6813b566498bb1b03753d32e81f1bfaa32a7eed4884
MTHR_HUMAN,foldseek-family-9709b5dfb462,17f085e9450f4392923ba7216d29116ef4a669ae1ff02d81eeb1a7142f848df0
MYO3_YEAST,foldseek-family-8842538ce269,8c6067da01f218256135ffb33427ff1cec29216c771f26a9a9e19ed00c7df787
NCAP_I34A1,foldseek-family-f108919ee99e,4277e0b2eae0f0af994f8ee97144914090f1c0ecf81c421705165689de2913b5
NKX31_HUMAN,foldseek-family-8fdcdcc01614,092b35ded11e72a7d16b2ed063f623c79598d617fef8cfc7ec3dfa60d31d3e87
NPC1_HUMAN,foldseek-family-2e6156fd2076,7b67e92e61c03bcd0e11d707f56198191e0b0845122612f8ab0c0e6e7d01a75a
NUD15_HUMAN,foldseek-family-92c0c23cb402,6a9cfb3c510c5018e45a6f7b897b9cb129e4b00d3c6178cc93e0f72528001816
NUSA_ECOLI,foldseek-family-bfd8179ea47f,3d199b0e42afc891ffc133ee86018678c38963072ba89148c3198bfcc2bd8641
NUSG_MYCTU,foldseek-family-0b8a262a4075,631e614bc8c2ce5a4eb30ea69df57fb7028fe42dd3c2b5aaf82c99c49217a679
OBSCN_HUMAN,foldseek-family-8842538ce269,bdd0ef6ab781d10d58fe21af01840b638fce7d0194aed0873c5d8561d6eb0f21
ODP2_GEOSE,foldseek-family-3899668f7e4d,276d44f56d6303b97bb9c6389fb83163b8ee0371dd5d4d0a3f78769b3d5d7623
OTC_HUMAN,foldseek-family-9d9b8050834a,5df8b48faed6159956c34d289273cfae7f201678a51fa7f236b2bb841e14b2de
OTU7A_HUMAN,foldseek-family-b17f3da2e271,474ee21ee73e525015ef2cd9e96dff064a67006a812f94aec1b9f868aab9c6a5
OXDA_RHOTO,foldseek-family-6e5176c45b93,5a86cb9618c54ea4fb69780469c593c36e63474807b042162b09c1b3402b35bb
P53_HUMAN,foldseek-family-68636f15fb21,023c761b2f96b8a85e7d7d74f15b4a5f74687367d6e7442701292173108dec8b
P84126_THETH,foldseek-family-496ed02f46e5,7755f9ddd63851ae30c9c2ae832418f4f532549007ed6da02cfbda8dacf125d5
PABP_YEAST,foldseek-family-212e1bd7e2f1,1768fe74df0da7b93789c0fec61d84f646497cd705b2301c0872ef244e8b7edf
PAI1_HUMAN,foldseek-family-e66e88998639,c66129c53fba7c9b06078cafc8f515d6e5fbd8dbf50057463ef6cc40840234ca
PA_I34A1,foldseek-family-6e3db7110d2d,1202d29a6dad15921b823217ca198fb332222f372b3e580ffefa62f1b271219e
PHOT_CHLRE,foldseek-family-418878150f87,9533c2b325cff85e71b9e96786169cc98d9f218367623c5bf145b0887bdfc22a
PIN1_HUMAN,foldseek-family-40a9153e0863,dc3b545ead483a17f19ea2d01d3ff235fcd3c50b5709763322ebef65e543b487
PITX2_HUMAN,foldseek-family-8fdcdcc01614,7853a7373b9b0845c01de3c504fb086d165434711a84abe57e469ce0a43c6cc5
PKN1_HUMAN,foldseek-family-5dc324ec6f0d,3fa533b6603e9af7458e7ef3fa2656952241c45a25ed981d29a173f17878d23e
POLG_CXB3N,foldseek-family-ebed42a1c8e1,1fef642bb13334717bb2f9319113072f8f41e39669698624f4fdf4b540760fbb
POLG_DEN26,foldseek-family-7950e17dbd3c,9cd289f38dd986757d390bbfd0ee467b2660b6ac142f4e20b4144aa60774f0bb
POLG_HCVJF,foldseek-family-519a69b1f761,235125599c678db750b6668aea2d20412f9f89ffa87685b119b5d0bfe9277cb8
POLG_PESV,foldseek-family-d6dd25ba3d24,9bbf382e4d7f8d3c3a95fc3d0819847f8d23253325f38ef8943f1d436fdb63fd
PPARG_HUMAN,foldseek-family-e15e63346c7e,47f4981ba01912080d1900cba079dd1ca60e611f3d4d1338c538473084a04874
PPM1D_HUMAN,foldseek-family-7ac4147288a1,e9cd00ee5def40872b639d382f1917ec5bd5f9df704fc3ba882de136dbc27198
PR40A_HUMAN,foldseek-family-6c7cc5cc429c,6cb1f962065bd9dd161f79a1c3204059a290abb080f13ea1d0c27944c2b740df
PRKN_HUMAN,foldseek-family-2b355d79c2f0,63f4f9526e701da62bda57609aaeb82e281aa951a29e1b8f00a83d0a95de06db
PSAE_PICP2,foldseek-family-004246e4fcf5,2913f9f44c235af039f9da16bc3db13be892292f518ad3e1d217dd90746bd6af
PTEN_HUMAN,foldseek-family-8634af42a53f,9e3e9345079866531f588bbac861171d63fc20a52b0ab5d1599010c1ea16d7a8
Q2N0S5_9HIV1,foldseek-family-df03f7e2fb21,66ab207a13189437b635f74e89519bbdd2830aee39358a13ede96d3181a461f6
Q53Z42_HUMAN,foldseek-family-bfb47aa1e2cb,e521db5ea9d6f8ae0de09884853cc1be766e96eece1352129f3823c724290afa
Q59976_STRSQ,foldseek-family-7034a38fa7f7,64bf56cd17deda8a7fffc8f1b47aaeddf2339eb93ecb6d6ba24648ca5ba4a406
Q6WV12_9MAXI,foldseek-family-1998dceb5aa6,c4eedf86a926b67a8ed1d4ce2089418f69de6f09075dfb97fa5aa3e5e4ea0131
Q837P4_ENTFA,foldseek-family-936978171353,92dc0b8ee4c95ff0af0ab7c5f9fdf77c16bc4b3494805d1da0e73b60ea05beab
Q837P5_ENTFA,foldseek-family-936978171353,718a4df0eac90552e0dc8552859bf0bd3e8780c6cd248ac362248a4cc9114491
Q8WTC7_9CNID,foldseek-family-1998dceb5aa6,366b7dbd435486e3b06d29058ca43787ecd679f3887f1e70595e8cf718f63faa
R1AB_SARS2,foldseek-family-c5180cc3a90b,f0c28885744c5fa6278590dca83018ac5160a545ce355fda44ff20e939bd3fd1
RAD_ANTMA,foldseek-family-b9d7186d8578,45450d861b08c83ca299097c2dc9edadb60dac3b21bb31bba925c0d88226c6f3
RASH_HUMAN,foldseek-family-98eead5240dd,4fcb156783699f2e42f0cb2b53d8b152f97aaf213b144554e97cc5910aa6df24
RASK_HUMAN,foldseek-family-98eead5240dd,129b61778ab9d4d2c9bf752bf9996406bdc223138e980fa7d19180955e991a8c
RBP1_HUMAN,foldseek-family-2ec1f75725d4,9cd03f6d8042c74f3aaf39d3d726a148c65d6c91c50ff648cfe2908994c2f395
RCD1_ARATH,foldseek-family-ecd0a4e1abce,5733890cc63e19702e69b22bdea0d2de310b10071fbf875a05f0ab1fe90a6287
RCRO_LAMBD,foldseek-family-a22594c652fe,c5613bf86c5c39b1e17feb2fd1d7375c0e314391b9e7cd512759a7aba53f958d
RD23A_HUMAN,foldseek-family-b17f3da2e271,375eae6c2e8c9d5142f96b57a11a8524467cbd05e90e77f7bc0130011b3b7a88
RDRP_I33A0,foldseek-family-0b6d056f1484,a77d7595883abacf55256a72c522b00636a2f35f2e282364148cad7b97ea91ae
REV_HV1H2,foldseek-family-1ca6b4b08d74,e9121e7841cd83c8d7231d3161576904f9e2045f10f6c7cb0eba477954890e62
RFAH_ECOLI,foldseek-family-0b8a262a4075,dc1844a9e960e96edde103e12167e45bde49cf5cee6c8ae4f69ee91bb346809f
RL20_AQUAE,foldseek-family-0e68d5a2acc0,ac6cd3de706d00cbe012c65052398dc92971580be1a33babbadf3d63b8693c55
RL40A_YEAST,foldseek-family-74736df55ca4,575b528ff0a3d70a9c5f9096993235ad73e509594144bb28617bf9c7e96189da
RNC_ECOLI,foldseek-family-7fdb46c4c122,ac99453117411246e58f1bc3f5154148784c1cfd347b20eb32b7ee647a2b565b
RPC1_BP434,foldseek-family-731a637b66c0,334a2ca3fde0932a9a3d084dcca49c09a39952055746b7ccacb00fcd7559c805
RS15_GEOSE,foldseek-family-d8ce76e1780f,445f3bd009ece2bb21a790f8c6bd5c41a5e0ef41cc3b6365d8282c6705b08c75
S22A1_HUMAN,foldseek-family-519cb423e667,e3f23d173d723f05f20715cadde2b55470df3f4cfe1f6344c51c83f08b04cb0c
SAV1_MOUSE,foldseek-family-0bd04fe9d2fe,d7faa7e6c429b7d639805c2ab7ddc1a5008ea644ac8bb0f1372dfb260f791d09
SBI_STAAM,foldseek-family-a5c58f193c95,c234b55316551aaa780f5a3998194ce7a2b53d0baa877b40b0003ddeb32e3b6d
SC6A4_HUMAN,foldseek-family-df4ca47fad9f,62ec30dceed1e594cd7647ca6e7911eb5d8bbc28291f34308476a01c78503f4a
SCIN_STAAR,foldseek-family-b76ca218f3d1,d14879155138d4adbdea8f87672770a95088f18ebfb173a8e9e97d6d02dbc7e2
SDA_BACSU,foldseek-family-2e15d175accc,45670d87e2f5369b8297ea62acf041b21d7fe5da13f88ec0349af098b0b658fa
SERC_HUMAN,foldseek-family-9350ee9e9b29,145f306b45fc02e09dbcc284b679ce3dff46f8c8ac89f4974d289173a4fe055f
SHOC2_HUMAN,foldseek-family-cc425af0ffb0,36797db3adad093b9b55f4033b4331537cd0d847811de179436d7bead9d29759
SOX30_HUMAN,foldseek-family-a7e0e568ea58,b0276fb5f3c9b5dcf12c71b1560891c1963dd4ac9f6e3a4891df03834269a22f
SPA_STAAU,foldseek-family-aa4c969ab36a,a2f6319f39e3cce3c7076d2a2e79a3d688681299c67426e845bd2c9beb58b75c
SPG1_STRSG,foldseek-family-b6b7b09b09b1,91a324a521fde27e12757516606a349d6f7ab37b7249fdeecb3716667a4b8bb6
SPG2_STRSG,foldseek-family-215de06a6575,4590ca2e15066da835aa1211889a4d603b44520452b710bf9a9fc9c0644fb636
SPIKE_SARS2,foldseek-family-4554d712d66e,218905aff62155ae50ffd0b233ebf2b2ee3f7ab78e0ef3e5c903b5f4020c954f
SPTN1_CHICK,foldseek-family-6a5e276afa98,7759a5f77e5e576c0fbdb57104c83bc93c13c7696b6c6e09d34d2b2508c6b0fd
SQSTM_MOUSE,foldseek-family-665aef5483e1,b4f4b3a946e2a98648d47a4c46261d650e8289e5fabea6f8723dc1db0cf9f87c
SR43C_ARATH,foldseek-family-0fa14c7c72c8,e35ae86bd710515cd77c234dc5cb52dc5099ced4ad9d3b0444c599176a1c83d7
SRBS1_HUMAN,foldseek-family-8842538ce269,e7744eb19dc7644df8efe18a2f4e2e324c08876cc323657e912bb79684477a45
SRC_HUMAN,foldseek-family-360c568fb494,9b0a016bfffdc62391c2b2427493c210e2c331068a7e7bf53368dcb8c1e66a56
SUMO1_HUMAN,foldseek-family-5c8abb3c0aa0,9aaeeede07cbeae5f271f46b0f9ff608e0155a9aa02bcdd8474037719cd64a31
SYUA_HUMAN,foldseek-family-eebb10907f18,ea73f4ebca9ab6222683b072dc5edd159d42c3d7f544b728f9c906d2f716e859
TADBP_HUMAN,foldseek-family-182fc3f0f633,16a2effc325a361ad54d93c8fa95d4754f8d220518e4c058a5206d1736bd66f5
TAT_HV1BR,foldseek-family-e162909e508d,78a3923f23598eee5b83e6b99422343f8e2eb0339f4f52728d0bb55e7e60869e
TCRG1_MOUSE,foldseek-family-b75ca3edf313,069f836256c91e8861b1d25408ce706125aebf24985c64c6ed3eb7e11122472d
THO1_YEAST,foldseek-family-18dd82217f72,5a1aa48a2b0a0ba3a7aa3a3da964aa229b83279be6da47aeb2b90671653c9eb4
TNKS2_HUMAN,foldseek-family-4c49d3340b9a,8b4e1f19c22fb2663810550ed8f24093d66d31375e74581f6f893516a090ea29
TPK1_HUMAN,foldseek-family-83730a3655c8,e0066d478f3ecfe9a6366ff446aa9ed077fa00d3a83dace9b10fbe506033afff
TPMT_HUMAN,foldseek-family-a789f8230336,7227ab60c7d4d72e7b06025e51f740c823fd85ca1ec0ef35aac519ceff455702
TPOR_HUMAN,foldseek-family-8a35554d9c21,9a966dfd873e245fd5ad6db94c2b16f36f3100deb933ef019832bae8abb98ef1
TRPC_SACS2,foldseek-family-496ed02f46e5,0cf8f0668345cec4a0fce823bc586e5a8c9071628d6e6887c4f7854c827be1ae
TRPC_THEMA,foldseek-family-496ed02f46e5,983ee256e21d458648b64c72aa4b4f06980ee69e8e41755c242b8cd7d2452cfa
UBC9_HUMAN,foldseek-family-5c4b9bfb2b38,0ec03dc0f3686fe3dbbdd04d67e55071af63f246236311532cc92fed4e7adbce
UBE4B_HUMAN,foldseek-family-fa89bd0319e7,8fd6a316ee05505972d71d293082071eddc2e9ad76947bf9937784c354bf9a24
UBE4B_MOUSE,foldseek-family-80b1e0f4abbd,c6b703ee6d197ee1e86201fe1a0d20e47901c2b9a74b8111547fdccbefba7cf1
UBR5_HUMAN,foldseek-family-e144eb5c58e1,9eb7d29f5e9eae15e96e454c2c01f77fcc7d9297bcebd7ae3341606e7f8696af
VG08_BPP22,foldseek-family-f5f9d4c2a0f5,b43ee11a063e975076ac4a1e17590bfa49ff67f07b033a12288046ebefb77599
VILI_CHICK,foldseek-family-073ccaa77e57,d73c306908fc29cf46cc5d904ab852c9df57420df73dfc81bc91fb8efb49876d
VKOR1_HUMAN,foldseek-family-d30063d373e7,5901bee540ec556f9f3c8595cd93ffa0c782b4641a8af8f80f4fb4caa630c878
VRPI_BPT7,foldseek-family-0d130e6095ae,d8577c7113f158513ac56fc7eccbc1538929187142e949c11275474e71ec6e83
YAIA_ECOLI,foldseek-family-d123bd7afb03,6a8c12d3a93f595d7c6720234fe5d86f7e70abe96cdad01f2487987155585880
YNZC_BACSU,foldseek-family-7b942b584230,5e5619209e96f1c452d2980d74fc787a0408982a8c21c3281da856aa670e6fd5
