panel_id,assay_id,target_id,assay_modality,direction,direction_source,included,exclusion_reason,publication_ids,outcomes_accessed,partition
mavedb-complement-v1,urn:mavedb:00000665-d-1,mavedb-aebeb991234cd8a3,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1038/s44320-024-00043-8,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000094-a-2,mavedb-c6dd0092b775896c,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1101/gr.276562.122,False,development_pilot
mavedb-complement-v1,urn:mavedb:00000094-a-3,mavedb-c6dd0092b775896c,multiplexed variant effect,-1.0,frozen MaveDB metadata orientation,True,,10.1101/gr.276562.122,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-b-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-c-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-d-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-e-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-f-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-g-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
mavedb-complement-v1,urn:mavedb:00001234-h-1,mavedb-e3ca60f18e3b6e98,multiplexed variant effect,1.0,frozen MaveDB metadata orientation,True,,10.1073/pnas.1431692100,False,development_pilot
venusmuthub-v1,O52063_activity,venus-00073064a60d4804,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1371/journal.pone.0137700,False,untouched_holdout
venusmuthub-v1,Q4KAC6_kcat,venus-06f736fe976e45ee,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.enzmictec.2019.01.002,False,untouched_holdout
venusmuthub-v1,Q4KAC6_kcatkm,venus-06f736fe976e45ee,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.enzmictec.2019.01.002,False,untouched_holdout
venusmuthub-v1,Q4KAC6_km,venus-06f736fe976e45ee,activity,-1.0,lower Michaelis constant is favorable,True,,10.1016/j.enzmictec.2019.01.002,False,untouched_holdout
venusmuthub-v1,Q8KLM3_activity,venus-07739b7c44051d98,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m611912200,False,development_pilot
venusmuthub-v1,Q65EX3_activity,venus-0ed16c1325aea2c9,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1073/pnas.1019480108,False,development_pilot
venusmuthub-v1,A0A0K8P6T7_TPA_activity,venus-12c59fe9dab495ee,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/cbic.201800097,False,untouched_holdout
venusmuthub-v1,A0A0K8P6T7_activity,venus-12c59fe9dab495ee,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/cbic.201800097,False,untouched_holdout
venusmuthub-v1,A0A0I9QGZ2_kcat,venus-1972eefa4a6ef629,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/anie.201701169,False,development_pilot
venusmuthub-v1,A0A0I9QGZ2_kcatkm,venus-1972eefa4a6ef629,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/anie.201701169,False,development_pilot
venusmuthub-v1,A0A0I9QGZ2_km,venus-1972eefa4a6ef629,activity,-1.0,lower Michaelis constant is favorable,True,,10.1002/anie.201701169,False,development_pilot
venusmuthub-v1,P05150_activity,venus-1a8ae9058bbabf14,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m300383200,False,untouched_holdout
venusmuthub-v1,Q88LS1_activity,venus-1b3d6bf42e0e7f84,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1128/mbio.01412-17,False,untouched_holdout
venusmuthub-v1,Q6VAB4_kcatkm,venus-1e4cf4ecbd674386,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1073/pnas.1902104116,False,untouched_holdout
venusmuthub-v1,Q06135_activity,venus-220a25f64746e26e,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m807990200,False,development_pilot
venusmuthub-v1,A0MGZ7_substrate_VII_activity,venus-23d9ea0d22f6126b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acschembio.6b00841,False,untouched_holdout
venusmuthub-v1,A0MGZ7_substrate_VI_activity,venus-23d9ea0d22f6126b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acschembio.6b00841,False,untouched_holdout
venusmuthub-v1,A2QAN3_kcat,venus-24f4e5b8d325ad4b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1111/febs.14083,False,untouched_holdout
venusmuthub-v1,A2QAN3_kcatkm,venus-24f4e5b8d325ad4b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1111/febs.14083,False,untouched_holdout
venusmuthub-v1,Q02353_N_deacetylase_activity,venus-26da37179e20d7ed,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.274.4.1966,False,untouched_holdout
venusmuthub-v1,Q02353_N_sulfotransferase_activity,venus-26da37179e20d7ed,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.274.4.1966,False,untouched_holdout
venusmuthub-v1,P0A2M9_kcatkm,venus-2b9577dc9c561b21,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.molcel.2007.11.011,False,untouched_holdout
venusmuthub-v1,P0A2M9_vmax,venus-2b9577dc9c561b21,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.molcel.2007.11.011,False,untouched_holdout
venusmuthub-v1,P51697_activity,venus-2ebb2bc9d643c1fb,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1002/prot.10007,False,untouched_holdout
venusmuthub-v1,Q58431_activity,venus-320f26d1be8a0cb0,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi0484769,False,development_pilot
venusmuthub-v1,3FCR_activity-substrate-1,venus-3876c90807a78d74,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acscatal.4c00987,False,development_pilot
venusmuthub-v1,3FCR_activity-substrate-2,venus-3876c90807a78d74,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acscatal.4c00987,False,development_pilot
venusmuthub-v1,A0A0P0ZBS7_activity,venus-396cc9af2c1e8c61,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1007/s12033-015-9839-4,False,untouched_holdout
venusmuthub-v1,A2RJT9_DCIP_activity,venus-39a9db03eeb2ed00,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m303767200,False,development_pilot
venusmuthub-v1,A2RJT9_oxygen_activity,venus-39a9db03eeb2ed00,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m303767200,False,development_pilot
venusmuthub-v1,A4QAA6_activity,venus-409980eb48704393,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,doi/10.1021/acs.jafc.3c09589,False,untouched_holdout
venusmuthub-v1,Q16769_kcat,venus-422f5a848c7a8657,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1073/pnas.0504184102,False,untouched_holdout
venusmuthub-v1,P24058_vmax,venus-454b0fb8de143bcd,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m107465200,False,development_pilot
venusmuthub-v1,Q887Q3_activity,venus-4701fdeb4ac57086,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m113.533158,False,untouched_holdout
venusmuthub-v1,Q02890_activity,venus-4bcbc7d4640f3c6b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m111383200,False,untouched_holdout
venusmuthub-v1,A0A059TC02_activity,venus-4d282f160e018c4f,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1105/tpc.114.127399,False,development_pilot
venusmuthub-v1,P0ADG7_kcat,venus-50eca14579e1a453,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi9714161,False,untouched_holdout
venusmuthub-v1,P58004_kcat,venus-581332e2a42b24c1,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/ncomms10025,False,untouched_holdout
venusmuthub-v1,P0A873_vmax,venus-63545238edf5954f,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.jmb.2003.09.011,False,untouched_holdout
venusmuthub-v1,C6DAH4_activity,venus-64be3ba2a292eb0f,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/cbic.201700609,False,development_pilot
venusmuthub-v1,P05030_activity,venus-69d5ae4457f6205e,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/j.1460-2075.1988.tb03010.x,False,untouched_holdout
venusmuthub-v1,P78330_activity,venus-6df418116e5febc9,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m204866200,False,development_pilot
venusmuthub-v1,Q071N0_kcatkm,venus-71acb42055dde189,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m109.030957,False,untouched_holdout
venusmuthub-v1,Q7SIG4_activity,venus-71ec9b1cef7a8594,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi0500675,False,untouched_holdout
venusmuthub-v1,P49768_1_activity,venus-751367a60fd75330,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/nature14892,False,untouched_holdout
venusmuthub-v1,Q8GCH2_kcat,venus-7bf6ce2de8172342,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1074/jbc.m801227200,False,untouched_holdout
venusmuthub-v1,7LOO_activity,venus-7e0f1f31cc7ee851,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acs.jafc.4c03715,False,development_pilot
venusmuthub-v1,Q8JFY9_activity,venus-7f1786770ae32614,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m501160200,False,untouched_holdout
venusmuthub-v1,A0A0H2V871_DGE_activity,venus-8372a9e4bb1e26bb,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi060950i,False,untouched_holdout
venusmuthub-v1,A0A0H2V871_Ent_activity,venus-8372a9e4bb1e26bb,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi060950i,False,untouched_holdout
venusmuthub-v1,P73832_activity,venus-85368d807d9e50cd,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.jmb.2009.07.001,False,untouched_holdout
venusmuthub-v1,7YVR_activity,venus-8c2fbdb86968fbff,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acscatal.0c05607,False,untouched_holdout
venusmuthub-v1,Q14RS0_activity,venus-8c837ded111ff685,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.enzmictec.2015.07.009,False,untouched_holdout
venusmuthub-v1,Q86GC8_activity,venus-9357562029b4557a,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.scitotenv.2024.173282,False,untouched_holdout
venusmuthub-v1,Q8LPL7_activity,venus-a60540654b3cbbf9,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1093/nar/gkz070,False,development_pilot
venusmuthub-v1,Q16774_kcat,venus-ad4f94972c4850d0,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.ra119.009251,False,untouched_holdout
venusmuthub-v1,O06543_activity,venus-b09ae7265d5add56,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m409704200,False,untouched_holdout
venusmuthub-v1,P52061_kcat,venus-b14a3532d287755b,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.jmb.2007.10.012,False,untouched_holdout
venusmuthub-v1,O94220_activity,venus-b1ee988208ad234a,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.fob.2013.10.009,False,development_pilot
venusmuthub-v1,P80036_activity,venus-b2c012e22fa464aa,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1271/bbb.65.1542,False,development_pilot
venusmuthub-v1,O54728_activity,venus-b41bf48f310c59c1,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi010237n,False,untouched_holdout
venusmuthub-v1,6JXG_activity,venus-b6f228338d425ee2,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1186/s13068-021-01973-3,False,untouched_holdout
venusmuthub-v1,Q51559_activity,venus-b967cccca11973b6,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1111/febs.14954,False,untouched_holdout
venusmuthub-v1,Q57261_activity,venus-ba70e13e9f086bea,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.abb.2009.07.023,False,untouched_holdout
venusmuthub-v1,E8RUP5_activity,venus-ba768a97843a2ef2,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/jacs.6b10389,False,development_pilot
venusmuthub-v1,O75355_ADPase_activity,venus-bce692cd15f4091a,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi002711f,False,untouched_holdout
venusmuthub-v1,O75355_ATPase_activity,venus-bce692cd15f4091a,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi002711f,False,untouched_holdout
venusmuthub-v1,Q86XE5_kcat,venus-bff43a6e4a79b5f8,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1371/journal.pone.0026021,False,development_pilot
venusmuthub-v1,Q8IYT2_activity,venus-c0ca168b53919943,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/ncomms4004,False,untouched_holdout
venusmuthub-v1,P46544_activity,venus-c3600923ab93ac4e,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/s0167-4838(98)00264-7,False,untouched_holdout
venusmuthub-v1,P46849_activity,venus-c71bd410457488cf,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.str.2010.01.016,False,development_pilot
venusmuthub-v1,P9WHH9_DTNB_activity,venus-c7eb0ffd0c784af8,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m507466200,False,untouched_holdout
venusmuthub-v1,P9WHH9_LDH_activity,venus-c7eb0ffd0c784af8,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m507466200,False,untouched_holdout
venusmuthub-v1,P9WHH9_PDH_activity,venus-c7eb0ffd0c784af8,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m507466200,False,untouched_holdout
venusmuthub-v1,P77555_kcat,venus-cbc03f40f9753339,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1371/journal.pone.0052066,False,untouched_holdout
venusmuthub-v1,P77555_kcatkm,venus-cbc03f40f9753339,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1371/journal.pone.0052066,False,untouched_holdout
venusmuthub-v1,Q03154_kcat,venus-cf2e570131b80556,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m304233200,False,untouched_holdout
venusmuthub-v1,I6XD65_NAM_activity,venus-d0585182abfe2660,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1111/j.1742-4658.2007.06241.x,False,untouched_holdout
venusmuthub-v1,I6XD65_PZA_activity,venus-d0585182abfe2660,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1111/j.1742-4658.2007.06241.x,False,untouched_holdout
venusmuthub-v1,5A71_kcat,venus-d187d570e2dc4402,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/s41467-019-11155-3,False,untouched_holdout
venusmuthub-v1,5A71_kcatkm,venus-d187d570e2dc4402,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/s41467-019-11155-3,False,untouched_holdout
venusmuthub-v1,Q2FHP2_activity,venus-d5b579600238875d,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/s41467-019-13724-y,False,untouched_holdout
venusmuthub-v1,Q2FV54_activity,venus-d7597d795a65b040,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.ra120.013108,False,untouched_holdout
venusmuthub-v1,Q3YW59_activity,venus-db6f99c2f0c1c621,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/nature13618,False,untouched_holdout
venusmuthub-v1,P06802_activity,venus-db874159a334ddcf,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m007552200,False,development_pilot
venusmuthub-v1,A4XGA6_M5_Epimerization_activity,venus-de4763156d0659c0,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.ijbiomac.2019.11.015,False,untouched_holdout
venusmuthub-v1,A4XGA6_M5_Isomerization_activity,venus-de4763156d0659c0,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1016/j.ijbiomac.2019.11.015,False,untouched_holdout
venusmuthub-v1,P0A8I5_kcat,venus-e106cf9431361c23,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/prot.20454,False,untouched_holdout
venusmuthub-v1,Q70PR7_activity,venus-e2c390013035df74,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1016/j.bmc.2004.02.029,False,development_pilot
venusmuthub-v1,P73574_activity,venus-e534b07a29d6ecf2,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,?10.1016/j.febslet.2015.09.001,False,development_pilot
venusmuthub-v1,D4Z2G1_activity,venus-e67b2509cf424b88,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi026427v,False,untouched_holdout
venusmuthub-v1,P36136_kcat,venus-e882ec45e80e2ece,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m110.118315,False,development_pilot
venusmuthub-v1,P36136_vmax,venus-e882ec45e80e2ece,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m110.118315,False,development_pilot
venusmuthub-v1,P33018_kcatkm,venus-ee4abb868ebd5357,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m600996200,False,untouched_holdout
venusmuthub-v1,P33018_vmax,venus-ee4abb868ebd5357,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m600996200,False,untouched_holdout
venusmuthub-v1,A0A0K8P8E7_activity,venus-f215fc047b4ec592,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/s41467-019-09326-3,False,untouched_holdout
venusmuthub-v1,P15042_1_activity,venus-f2eeeee6f8bc57e6,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m111164200,False,untouched_holdout
venusmuthub-v1,P15042_2_activity,venus-f2eeeee6f8bc57e6,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.m413685200,False,untouched_holdout
venusmuthub-v1,P00813_activity,venus-f4124bbcd051f818,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1096/fj.12-212621,False,untouched_holdout
venusmuthub-v1,P25745_activity,venus-f68755df0ab4af4d,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1038/nature04896,False,development_pilot
venusmuthub-v1,P95480_vmax,venus-f6ad6a376a4ccae7,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1002/anie.200802466,False,development_pilot
venusmuthub-v1,Q44244_NSAR_kcat,venus-fb1d8ed35888b3e5,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi500573v,False,untouched_holdout
venusmuthub-v1,Q44244_OSBS_kcat,venus-fb1d8ed35888b3e5,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/bi500573v,False,untouched_holdout
venusmuthub-v1,P27346_activity_PTO,venus-fb40294d4c662251,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acscatal.2c04636,False,untouched_holdout
venusmuthub-v1,P27346_activity_aKG,venus-fb40294d4c662251,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1021/acscatal.2c04636,False,untouched_holdout
venusmuthub-v1,P32738_kcat,venus-fdef8e3435880467,activity,1.0,"higher activity, turnover, or catalytic efficiency is favorable",True,,10.1074/jbc.270.49.29111,False,untouched_holdout
