panel_id,assay_id,target_id,source_locator,source_object_id
mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001200-d-1/scores,4fede6ebc18ae1c9b67c81d79f60f42595f38ac49e4196b31876e141c8367da1
mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001200-e-1/scores,88fb6ef51046ac6cf435ab1a715d224084e05d30cc2c9cd0e8e9223465fac262
mavedb-complement-v1,urn:mavedb:00001234-a-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-a-1/scores,19e7f7e88d3acc76d7b58878c621d4834ed0123e5a444b3199c383e6f20b082d
mavedb-complement-v1,urn:mavedb:00001234-b-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-b-1/scores,ed4ded2b5fb40fdd689aa556a94ac9da0020bc7322f9a758a858ae6f92e56121
mavedb-complement-v1,urn:mavedb:00001234-c-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-c-1/scores,26de01afcb1abbd306120ad4eb6610bd5d11025f769fee64022470f4f02b3999
mavedb-complement-v1,urn:mavedb:00001234-d-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-d-1/scores,6711df857206a65f6c74572f0f693527c5dbb60d953e799020425cd3ce06b67f
mavedb-complement-v1,urn:mavedb:00001234-e-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-e-1/scores,fdb1631e0f80293c19d9ea97e7df5f09f562dc326eafe230e3272eaf5e138c52
mavedb-complement-v1,urn:mavedb:00001234-f-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-f-1/scores,aecb6e56519e41fe60cd7496a2eb31aa4336c88e34d4d13914fb6dc2d437977c
mavedb-complement-v1,urn:mavedb:00001234-g-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-g-1/scores,a5bbcb59438a3f23ec3fe24c030035212d801fca7bfd1795f100a4b287e4b546
mavedb-complement-v1,urn:mavedb:00001234-h-1,mavedb-e3ca60f18e3b6e98,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001234-h-1/scores,c5c243fc59e70841b27712ca3d2c19920e64f761b5d38d172094c75cab65e8e4
mavedb-complement-v1,urn:mavedb:00001235-a-1,mavedb-a5cec053cd1989b7,https://api.mavedb.org/api/v1/score-sets/urn:mavedb:00001235-a-1/scores,4277168d7fa0ff23c8888257c0bfe80e1e13795d2314116b033e0ad7def0c1b2
venusmuthub-v1,3FCR_activity-substrate-1,venus-3876c90807a78d74,single_mutant/activity/3FCR_activity-substrate-1.csv,1f003745ad45b35d278ca335d6681ffb3e05bfae
venusmuthub-v1,3FCR_activity-substrate-2,venus-3876c90807a78d74,single_mutant/activity/3FCR_activity-substrate-2.csv,da57e7efdee21ce04e110b23ae3e79d6e53f5675
venusmuthub-v1,7LOO_activity,venus-7e0f1f31cc7ee851,single_mutant/activity/7LOO_activity.csv,8eb14b8ae3ff1e0b5aa4499f79a823a66121791d
venusmuthub-v1,A0A059TC02_activity,venus-4d282f160e018c4f,single_mutant/activity/A0A059TC02_activity.csv,cfcc7925527df9f96195a8b96c39cfe5ea1696b6
venusmuthub-v1,A0A0I9QGZ2_kcat,venus-1972eefa4a6ef629,single_mutant/activity/A0A0I9QGZ2_kcat.csv,f47c715fafd4b057a99f47672bc03b7dc9216e18
venusmuthub-v1,A0A0I9QGZ2_kcatkm,venus-1972eefa4a6ef629,single_mutant/activity/A0A0I9QGZ2_kcatkm.csv,35e055536f93c57745ac616793be11282f498793
venusmuthub-v1,A0A0I9QGZ2_km,venus-1972eefa4a6ef629,single_mutant/activity/A0A0I9QGZ2_km.csv,68fd5e7f543b6f8dec2f28dc5571dea533f2a59a
venusmuthub-v1,A2RJT9_DCIP_activity,venus-39a9db03eeb2ed00,single_mutant/activity/A2RJT9_DCIP_activity.csv,e839b765d7f3e0d61690589f15ae182072652752
venusmuthub-v1,A2RJT9_oxygen_activity,venus-39a9db03eeb2ed00,single_mutant/activity/A2RJT9_oxygen_activity.csv,7fb76c0af1aa580c03f3100dc4a86a63fa54a8a2
venusmuthub-v1,C6DAH4_activity,venus-64be3ba2a292eb0f,single_mutant/activity/C6DAH4_activity.csv,d051475e4ffd017d9bde6adadb913d4192134ea0
venusmuthub-v1,E8RUP5_activity,venus-ba768a97843a2ef2,single_mutant/activity/E8RUP5_activity.csv,248f5d7d8ec4cff79893585f40ec6692766c6c6e
venusmuthub-v1,O94220_activity,venus-b1ee988208ad234a,single_mutant/activity/O94220_activity.csv,167b5cacba43b0373998b3c6ff7bc31dd69c41bc
venusmuthub-v1,P06802_activity,venus-db874159a334ddcf,single_mutant/activity/P06802_activity.csv,6e595a2f7416b3de43c77e6345fa224b94f86b6f
venusmuthub-v1,P24058_vmax,venus-454b0fb8de143bcd,single_mutant/activity/P24058_vmax.csv,d0c1ded8db3fd93897ae7af6f1f687459c7c207f
venusmuthub-v1,P25745_activity,venus-f68755df0ab4af4d,single_mutant/activity/P25745_activity.csv,a039be8bbe4e6ded49bb5c0d8d4c6bd79926e4f7
venusmuthub-v1,P36136_kcat,venus-e882ec45e80e2ece,single_mutant/activity/P36136_kcat.csv,6c38dd43101760cd82e0fe319907b813c411508f
venusmuthub-v1,P36136_vmax,venus-e882ec45e80e2ece,single_mutant/activity/P36136_vmax.csv,950842069ea31466b0fb3a0853a045e2d3e62738
venusmuthub-v1,P46849_activity,venus-c71bd410457488cf,single_mutant/activity/P46849_activity.csv,9707ac3e9b63bb89b6c93589c257b361b667d5dd
venusmuthub-v1,P73574_activity,venus-e534b07a29d6ecf2,single_mutant/activity/P73574_activity.csv,9016b8424302f7ee1206481b021aed1d4bdc116b
venusmuthub-v1,P78330_activity,venus-6df418116e5febc9,single_mutant/activity/P78330_activity.csv,88221b6c58a0a172cbf2f7937b795020492f8bee
venusmuthub-v1,P80036_activity,venus-b2c012e22fa464aa,single_mutant/activity/P80036_activity.csv,14c5ef70d866a41e8182618d77d8fdcd90a78ed2
venusmuthub-v1,P95480_vmax,venus-f6ad6a376a4ccae7,single_mutant/activity/P95480_vmax.csv,439579b6f82452099dbfc628ef272b3c4afff305
venusmuthub-v1,Q06135_activity,venus-220a25f64746e26e,single_mutant/activity/Q06135_activity.csv,cf4803fb018ec3bea7f6ddd7374dd9b2e2da4a73
venusmuthub-v1,Q58431_activity,venus-320f26d1be8a0cb0,single_mutant/activity/Q58431_activity.csv,91bfc4bc49c7d7db9ed179490c7fb5064e2ef4c1
venusmuthub-v1,Q65EX3_activity,venus-0ed16c1325aea2c9,single_mutant/activity/Q65EX3_activity.csv,e1de2c48f4f2ab1087cf8bbc23b5d7321e2e3e6a
venusmuthub-v1,Q70PR7_activity,venus-e2c390013035df74,single_mutant/activity/Q70PR7_activity.csv,5aeb85418ca890c8897a07f0ecff0adfcf3df81e
venusmuthub-v1,Q86XE5_kcat,venus-bff43a6e4a79b5f8,single_mutant/activity/Q86XE5_kcat.csv,065fb6f7be000dd50b936de0106ae610fe4c8606
venusmuthub-v1,Q8KLM3_activity,venus-07739b7c44051d98,single_mutant/activity/Q8KLM3_activity.csv,4a7cfcbe772e48577717bc4ee82069384182c9e3
venusmuthub-v1,Q8LPL7_activity,venus-a60540654b3cbbf9,single_mutant/activity/Q8LPL7_activity.csv,7e15fd8e3eb4b1e10a70eaaedd3d51fc1b41f278
