assay_id,filename,uniprot_id,taxon,selection_type,coarse_selection_type,protein_length,total_rows,finite_rows,single_variants,multiple_variants,mutated_positions,unique_scores,invalid_mutation_codes,reference_mismatches,mutated_sequence_mismatches,duplicate_single_variants,eligible,exclusion_reasons
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN_Tsuboyama_2023_2L33.csv,ILF3_HUMAN,Human,cDNA display proteolysis,Stability,71,1329,1329,1329,0,71,1329,0,0,0,0,True,
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW_Tsuboyama_2023_2LHR.csv,ISDH_STAAW,Prokaryote,cDNA display proteolysis,Stability,55,1944,1944,940,1004,55,940,0,0,0,0,True,
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN_Muhammad_2023_expression.csv,KCNE1_HUMAN,Human,FACS,Expression,129,2339,2339,2339,0,127,2339,0,0,0,0,True,
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN_Muhammad_2023_function.csv,KCNE1_HUMAN,Human,Growth,Activity,129,2315,2315,2315,0,127,2315,0,0,0,0,True,
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN_Kozek_2020.csv,KCNH2_HUMAN,Human,Voltage,Activity,1159,200,200,200,0,11,200,0,0,0,0,False,too_few_single_variants;too_few_positions
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE_Coyote-Maestas_2022_function.csv,KCNJ2_MOUSE,Eukaryote,FACS,Activity,428,6963,6963,6963,0,391,6953,0,0,0,0,True,
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE_Coyote-Maestas_2022_surface.csv,KCNJ2_MOUSE,Eukaryote,FACS,Expression,428,6917,6917,6917,0,391,6914,0,0,0,0,True,
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN_Melnikov_2014.csv,KKA2_KLEPN,Prokaryote,Growth,OrganismalFitness,264,4960,4960,4960,0,264,4546,0,0,0,0,True,
LGK_LIPST_Klesmith_2015,LGK_LIPST_Klesmith_2015.csv,LGK_LIPST,Eukaryote,Growth,Activity,439,7890,7890,7890,0,439,4971,0,0,0,0,True,
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN_Elazar_2016.csv,LYAM1_HUMAN,Human,TOXCAT-Beta-lactamase (TbL) screen,Expression,372,359,359,359,0,23,358,0,0,0,0,False,too_few_single_variants
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE_Tsuboyama_2023_1K1V.csv,MAFG_MOUSE,Eukaryote,cDNA display proteolysis,Stability,41,1429,1429,762,667,41,762,0,0,0,0,True,
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH_Tsuboyama_2023_6ACV.csv,MBD11_ARATH,Eukaryote,cDNA display proteolysis,Stability,66,2116,2116,1155,961,66,1155,0,0,0,0,True,
MET_HUMAN_Estevam_2023,MET_HUMAN_Estevam_2023.csv,MET_HUMAN,Human,Growth,Activity,287,5393,5393,5393,0,287,5393,0,0,0,0,True,
MK01_HUMAN_Brenan_2016,MK01_HUMAN_Brenan_2016.csv,MK01_HUMAN,Human,inhibitor resistance,OrganismalFitness,360,6809,6809,6809,0,359,6806,0,0,0,0,True,
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI_MacRae_2023.csv,MLAC_ECOLI,Prokaryote,Growth,OrganismalFitness,211,4007,4007,4007,0,211,4006,0,0,0,0,True,
MSH2_HUMAN_Jia_2020,MSH2_HUMAN_Jia_2020.csv,MSH2_HUMAN,Human,nan,OrganismalFitness,934,16749,16749,16749,0,934,1076,0,0,0,0,True,
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE_RockahShmuel_2015.csv,MTH3_HAEAE,Prokaryote,Activity,OrganismalFitness,330,1777,1777,1777,0,329,123,0,0,0,0,True,
MTHR_HUMAN_Weile_2021,MTHR_HUMAN_Weile_2021.csv,MTHR_HUMAN,Human,nan,OrganismalFitness,656,12464,12464,12464,0,656,6268,0,0,0,0,True,
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST_Tsuboyama_2023_2BTT.csv,MYO3_YEAST,Eukaryote,cDNA display proteolysis,Stability,61,3297,3297,947,2350,61,947,0,0,0,0,True,
NCAP_I34A1_Doud_2015,NCAP_I34A1_Doud_2015.csv,NCAP_I34A1,Virus,Growth,OrganismalFitness,498,9462,9462,9462,0,498,9462,0,0,0,0,True,
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN_Tsuboyama_2023_2L9R.csv,NKX31_HUMAN,Human,cDNA display proteolysis,Stability,61,2482,2482,1149,1333,61,1149,0,0,0,0,True,
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN_Erwood_2022_HEK293T.csv,NPC1_HUMAN,Human,Flow Cytometry Assay,Activity,1278,637,637,637,0,114,637,0,0,0,0,True,
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN_Erwood_2022_RPE1.csv,NPC1_HUMAN,Human,Flow Cytometry Assay,Activity,1278,63,63,63,0,12,63,0,0,0,0,False,too_few_single_variants;too_few_positions
NRAM_I33A0_Jiang_2016,NRAM_I33A0_Jiang_2016.csv,NRAM_I33A0,Virus,Growth,OrganismalFitness,453,298,298,298,0,50,298,0,0,0,0,False,too_few_single_variants
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN_Suiter_2020.csv,NUD15_HUMAN,Human,"VAMP-seq, drug sensitivity",Expression,164,2844,2844,2844,0,163,2844,0,0,0,0,True,
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI_Tsuboyama_2023_1WCL.csv,NUSA_ECOLI,Prokaryote,cDNA display proteolysis,Stability,69,2028,2028,1306,722,69,1306,0,0,0,0,True,
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU_Tsuboyama_2023_2MI6.csv,NUSG_MYCTU,Prokaryote,cDNA display proteolysis,Stability,55,1380,1380,1019,361,55,1019,0,0,0,0,True,
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN_Tsuboyama_2023_1V1C.csv,OBSCN_HUMAN,Human,cDNA display proteolysis,Stability,65,3197,3197,1213,1984,65,1213,0,0,0,0,True,
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE_Tsuboyama_2023_1W4G.csv,ODP2_GEOSE,Prokaryote,cDNA display proteolysis,Stability,44,1134,1134,669,465,44,669,0,0,0,0,True,
OPSD_HUMAN_Wan_2019,OPSD_HUMAN_Wan_2019.csv,OPSD_HUMAN,Human,Flow Cytometry Assay,Expression,348,165,165,165,0,109,165,0,0,0,0,False,too_few_single_variants
OTC_HUMAN_Lo_2023,OTC_HUMAN_Lo_2023.csv,OTC_HUMAN,Human,nan,Activity,354,1570,1570,1570,0,322,791,0,0,0,0,True,
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN_Tsuboyama_2023_2L2D.csv,OTU7A_HUMAN,Human,cDNA display proteolysis,Stability,42,635,635,635,0,42,635,0,0,0,0,True,
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO_Vanella_2023_activity.csv,OXDA_RHOTO,Eukaryote,FACS,Activity,364,6396,6396,6396,0,364,6357,0,0,0,0,True,
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO_Vanella_2023_expression.csv,OXDA_RHOTO,Eukaryote,FACS,Expression,364,6769,6769,6769,0,364,6769,0,0,0,0,True,
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_Null_Etoposide.csv,P53_HUMAN,Human,Growth,OrganismalFitness,393,7467,7467,7467,0,393,7466,0,0,0,0,True,
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN_Giacomelli_2018_Null_Nutlin.csv,P53_HUMAN,Human,Growth,OrganismalFitness,393,7467,7467,7467,0,393,7466,0,0,0,0,True,
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN_Giacomelli_2018_WT_Nutlin.csv,P53_HUMAN,Human,Growth,OrganismalFitness,393,7467,7467,7467,0,393,7463,0,0,0,0,True,
P53_HUMAN_Kotler_2018,P53_HUMAN_Kotler_2018.csv,P53_HUMAN,Human,Growth,OrganismalFitness,393,1048,1048,1048,0,190,1048,0,0,0,0,True,
P84126_THETH_Chan_2017,P84126_THETH_Chan_2017.csv,P84126_THETH,Prokaryote,Growth,OrganismalFitness,254,1519,1519,1519,0,80,1514,0,0,0,0,True,
PABP_YEAST_Melamed_2013,PABP_YEAST_Melamed_2013.csv,PABP_YEAST,Eukaryote,Growth,OrganismalFitness,577,37708,37708,1187,36521,75,1182,0,0,0,0,True,
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN_Huttinger_2021.csv,PAI1_HUMAN,Human,phage fitness,Activity,402,5345,5345,5345,0,379,4955,0,0,0,0,True,
PA_I34A1_Wu_2015,PA_I34A1_Wu_2015.csv,PA_I34A1,Virus,Growth,OrganismalFitness,716,1820,1820,1820,0,674,1818,0,0,0,0,True,
PHOT_CHLRE_Chen_2023,PHOT_CHLRE_Chen_2023.csv,PHOT_CHLRE,Eukaryote,FACS,Activity,118,167529,167529,2122,165407,118,2121,0,0,0,0,True,
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN_Tsuboyama_2023_1I6C.csv,PIN1_HUMAN,Human,cDNA display proteolysis,Stability,39,802,802,686,116,39,686,0,0,0,0,True,
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN_Tsuboyama_2023_2L7M.csv,PITX2_HUMAN,Human,cDNA display proteolysis,Stability,52,1824,1824,938,886,52,938,0,0,0,0,True,
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN_Tsuboyama_2023_1URF.csv,PKN1_HUMAN,Human,cDNA display proteolysis,Stability,71,1301,1301,1301,0,71,1301,0,0,0,0,True,
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N_Mattenberger_2021.csv,POLG_CXB3N,Virus,Growth,OrganismalFitness,2185,15711,15711,15711,0,851,15711,0,0,0,0,True,
