assay_id,uniprot_id,source_single_variants,score_single_variants,matched_dms_scores,duplicate_score_variants,dms_score_max_abs_difference,common_finite_scores,common_score_coverage,ESM1v_ensemble_finite_scores,ESM2_8M_finite_scores,ESM2_35M_finite_scores,ESM2_150M_finite_scores,ESM2_650M_finite_scores,ESM2_3B_finite_scores,ESM2_15B_finite_scores,eligible_for_zero_shot,exclusion_reasons
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,532,532,532,0,0.0,532,1.0,532,532,532,532,532,532,532,True,
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,2374,2374,2374,0,0.0,2374,1.0,2374,2374,2374,2374,2374,2374,2374,True,
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,2395,2395,2395,0,4.440892098500626e-16,2395,1.0,2395,2395,2395,2395,2395,2395,2395,True,
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,8117,8117,8117,0,4.440892098500626e-16,8117,1.0,8117,8117,8117,8117,8117,8117,8117,True,
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,1567,1567,1567,0,0.0,1567,1.0,1567,1567,1567,1567,1567,1567,1567,True,
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,1680,1680,1680,0,0.0,1680,1.0,1680,1680,1680,1680,1680,1680,1680,True,
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,1340,1340,1340,0,8.881784197001252e-16,1340,1.0,1340,1340,1340,1340,1340,1340,1340,True,
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,1357,1357,1357,0,8.881784197001252e-16,1357,1.0,1357,1357,1357,1357,1357,1357,1357,True,
CBS_HUMAN_Sun_2020,CBS_HUMAN,7217,7217,7217,0,0.0,7217,1.0,7217,7217,7217,7217,7217,7217,7217,True,
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,917,917,917,0,4.440892098500626e-16,917,1.0,917,917,917,917,917,917,917,True,
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,1176,1176,1176,0,0.0,1176,1.0,1176,1176,1176,1176,1176,1176,1176,True,
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,6137,6137,6137,0,0.0,6137,1.0,6137,6137,6137,6137,6137,6137,6137,True,
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,3761,3761,3761,0,0.0,3761,1.0,3761,3761,3761,3761,3761,3761,3761,True,
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,6370,6370,6370,0,0.0,6370,1.0,6370,6370,6370,6370,6370,6370,6370,True,
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,6142,6142,6142,0,0.0,6142,1.0,6142,6142,6142,6142,6142,6142,6142,True,
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,1353,1353,1353,0,4.440892098500626e-16,1353,1.0,1353,1353,1353,1353,1353,1353,1353,True,
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,955,955,955,0,4.440892098500626e-16,955,1.0,955,955,955,955,955,955,955,True,
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,1169,1169,1169,0,0.0,1169,1.0,1169,1169,1169,1169,1169,1169,1169,True,
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,1280,1280,1280,0,0.0,1280,1.0,1280,1280,1280,1280,1280,1280,1280,True,
DLG4_RAT_McLaughlin_2012,DLG4_RAT,1576,1576,1576,0,0.0,1576,1.0,1576,1576,1576,1576,1576,1576,1576,True,
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,1008,0,4.440892098500626e-16,1008,1.0,1008,1008,1008,1008,1008,1008,1008,True,
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,1216,1216,1216,0,8.881784197001252e-16,1216,1.0,1216,1216,1216,1216,1216,1216,1216,True,
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,1213,1213,1213,0,4.440892098500626e-16,1213,1.0,1213,1213,1213,1213,1213,1213,1213,True,
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,2916,2916,2916,0,0.0,2916,1.0,2916,2916,2916,2916,2916,2916,2916,True,
DYR_ECOLI_Thompson_2019,DYR_ECOLI,2363,2363,2363,0,0.0,2363,1.0,2363,2363,2363,2363,2363,2363,2363,True,
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,1121,1121,1121,0,0.0,1121,1.0,1121,1121,1121,1121,1121,1121,1121,True,
ENV_HV1BR_Haddox_2016,ENV_HV1BR,12863,12863,12863,0,0.0,12863,1.0,12863,12863,12863,12863,12863,12863,12863,True,
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,1239,1239,1239,0,8.881784197001252e-16,1239,1.0,1239,1239,1239,1239,1239,1239,1239,True,
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,2172,2172,2172,0,0.0,2172,1.0,2172,2172,2172,2172,2172,2172,2172,True,
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,1219,1219,1219,0,4.440892098500626e-16,1219,1.0,1219,1219,1219,1219,1219,1219,1219,True,
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,1237,1237,1237,0,4.440892098500626e-16,1237,1.0,1237,1237,1237,1237,1237,1237,1237,True,
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,1195,1195,1195,0,0.0,1195,1.0,1195,1195,1195,1195,1195,1195,1195,True,
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,1154,1154,1154,0,0.0,1154,1.0,1154,1154,1154,1154,1154,1154,1154,True,
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,1084,1084,1084,0,0.0,1084,1.0,1084,1084,1084,1084,1084,1084,1084,True,
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,1034,1034,1034,0,0.0,1034,1.0,1034,1034,1034,1034,1034,1034,1034,True,
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,1040,1040,1040,0,4.440892098500626e-16,1040,1.0,1040,1040,1040,1040,1040,1040,1040,True,
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,1244,1244,1244,0,8.881784197001252e-16,1244,1.0,1244,1244,1244,1244,1244,1244,1244,True,
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,5689,5689,5689,0,0.0,5689,1.0,5689,5689,5689,5689,5689,5689,5689,True,
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,16853,16853,16853,0,0.0,16853,1.0,16853,16853,16853,16853,16853,16853,16853,True,
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,2252,2252,2252,0,3.3881317890172014e-21,2252,1.0,2252,2252,2252,2252,2252,2252,2252,True,
HSP82_YEAST_Flynn_2019,HSP82_YEAST,13294,13294,13294,0,0.0,13294,1.0,13294,13294,13294,13294,13294,13294,13294,True,
HSP82_YEAST_Mishra_2016,HSP82_YEAST,4323,4323,4323,0,0.0,4323,1.0,4323,4323,4323,4323,4323,4323,4323,True,
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,8570,8570,8570,0,0.0,8570,1.0,8570,8570,8570,8570,8570,8570,8570,True,
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,8396,8396,8396,0,0.0,8396,1.0,8396,8396,8396,8396,8396,8396,8396,True,
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,9462,9462,9462,0,0.0,9462,1.0,9462,9462,9462,9462,9462,9462,9462,True,
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,1367,1367,1367,0,0.0,1367,1.0,1367,1367,1367,1367,1367,1367,1367,True,
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,1329,1329,1329,0,4.440892098500626e-16,1329,1.0,1329,1329,1329,1329,1329,1329,1329,True,
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,940,940,940,0,4.440892098500626e-16,940,1.0,940,940,940,940,940,940,940,True,
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,2339,2339,2339,0,0.0,2339,1.0,2339,2339,2339,2339,2339,2339,2339,True,
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,2315,2315,2315,0,0.0,2315,1.0,2315,2315,2315,2315,2315,2315,2315,True,
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,6963,6963,6963,0,0.0,6963,1.0,6963,6963,6963,6963,6963,6963,6963,True,
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,6917,6917,6917,0,0.0,6917,1.0,6917,6917,6917,6917,6917,6917,6917,True,
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,4960,4960,4960,0,0.0,4960,1.0,4960,4960,4960,4960,4960,4960,4960,True,
LGK_LIPST_Klesmith_2015,LGK_LIPST,7890,7890,7890,0,0.0,7890,1.0,7890,7890,7890,7890,7890,7890,7890,True,
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,762,762,762,0,4.440892098500626e-16,762,1.0,762,762,762,762,762,762,762,True,
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,1155,1155,1155,0,4.440892098500626e-16,1155,1.0,1155,1155,1155,1155,1155,1155,1155,True,
MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,5393,0,0.0,5393,1.0,5393,5393,5393,5393,5393,5393,5393,True,
MK01_HUMAN_Brenan_2016,MK01_HUMAN,6809,6809,6809,0,0.0,6809,1.0,6809,6809,6809,6809,6809,6809,6809,True,
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,4007,0,0.0,4007,1.0,4007,4007,4007,4007,4007,4007,4007,True,
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,16749,16749,16749,0,0.0,16749,1.0,16749,16749,16749,16749,16749,16749,16749,True,
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,1777,1777,1777,0,0.0,1777,1.0,1777,1777,1777,1777,1777,1777,1777,True,
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,12464,12464,12464,0,0.0,12464,1.0,12464,12464,12464,12464,12464,12464,12464,True,
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,947,947,947,0,4.440892098500626e-16,947,1.0,947,947,947,947,947,947,947,True,
NCAP_I34A1_Doud_2015,NCAP_I34A1,9462,9462,9462,0,0.0,9462,1.0,9462,9462,9462,9462,9462,9462,9462,True,
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,1149,1149,1149,0,0.0,1149,1.0,1149,1149,1149,1149,1149,1149,1149,True,
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,637,637,637,0,0.0,637,1.0,637,637,637,637,637,637,637,True,
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,2844,2844,2844,0,0.0,2844,1.0,2844,2844,2844,2844,2844,2844,2844,True,
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,1306,1306,1306,0,4.440892098500626e-16,1306,1.0,1306,1306,1306,1306,1306,1306,1306,True,
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,1019,1019,1019,0,4.440892098500626e-16,1019,1.0,1019,1019,1019,1019,1019,1019,1019,True,
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,1213,1213,1213,0,8.881784197001252e-16,1213,1.0,1213,1213,1213,1213,1213,1213,1213,True,
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,669,669,669,0,8.881784197001252e-16,669,1.0,669,669,669,669,669,669,669,True,
OTC_HUMAN_Lo_2023,OTC_HUMAN,1570,1570,1570,0,0.0,1570,1.0,1570,1570,1570,1570,1570,1570,1570,True,
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,635,635,635,0,2.220446049250313e-16,635,1.0,635,635,635,635,635,635,635,True,
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,6396,6396,6396,0,0.0,6396,1.0,6396,6396,6396,6396,6396,6396,6396,True,
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,6769,6769,6769,0,0.0,6769,1.0,6769,6769,6769,6769,6769,6769,6769,True,
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,7467,7467,7467,0,0.0,7467,1.0,7467,7467,7467,7467,7467,7467,7467,True,
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,7467,7467,7467,0,0.0,7467,1.0,7467,7467,7467,7467,7467,7467,7467,True,
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,7467,7467,7467,0,0.0,7467,1.0,7467,7467,7467,7467,7467,7467,7467,True,
P53_HUMAN_Kotler_2018,P53_HUMAN,1048,1048,1048,0,0.0,1048,1.0,1048,1048,1048,1048,1048,1048,1048,True,
P84126_THETH_Chan_2017,P84126_THETH,1519,1519,1519,0,0.0,1519,1.0,1519,1519,1519,1519,1519,1519,1519,True,
PABP_YEAST_Melamed_2013,PABP_YEAST,1187,1187,1187,0,0.0,1187,1.0,1187,1187,1187,1187,1187,1187,1187,True,
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,5345,5345,5345,0,0.0,5345,1.0,5345,5345,5345,5345,5345,5345,5345,True,
PA_I34A1_Wu_2015,PA_I34A1,1820,1820,1820,0,0.0,1820,1.0,1820,1820,1820,1820,1820,1820,1820,True,
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,2122,2122,2122,0,0.0,2122,1.0,2122,2122,2122,2122,2122,2122,2122,True,
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,686,686,686,0,4.440892098500626e-16,686,1.0,686,686,686,686,686,686,686,True,
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,938,938,938,0,4.440892098500626e-16,938,1.0,938,938,938,938,938,938,938,True,
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,1301,1301,1301,0,4.440892098500626e-16,1301,1.0,1301,1301,1301,1301,1301,1301,1301,True,
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,15711,15711,15711,0,0.0,15711,1.0,15711,15711,15711,15711,15711,15711,15711,True,
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,16897,16897,16897,0,0.0,16897,1.0,16897,16897,16897,16897,16897,16897,16897,True,
POLG_HCVJF_Qi_2014,POLG_HCVJF,1630,1630,1630,0,0.0,1630,1.0,1630,1630,1630,1630,1630,1630,1630,True,
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,995,995,995,0,8.881784197001252e-16,995,1.0,995,995,995,995,995,995,995,True,
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,9576,9576,9576,0,0.0,9576,1.0,9576,9576,9576,9576,9576,9576,9576,True,
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,7889,7889,7889,0,0.0,7889,1.0,7889,7889,7889,7889,7889,7889,7889,True,
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,1163,1163,1163,0,4.440892098500626e-16,1163,1.0,1163,1163,1163,1163,1163,1163,1163,True,
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,8756,8756,8756,0,0.0,8756,1.0,8756,8756,8756,8756,8756,8756,8756,True,
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,1219,1219,1219,0,4.440892098500626e-16,1219,1.0,1219,1219,1219,1219,1219,1219,1219,True,
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,5083,5083,5083,0,0.0,5083,1.0,5083,5083,5083,5083,5083,5083,5083,True,
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,7260,7260,7260,0,0.0,7260,1.0,7260,7260,7260,7260,7260,7260,7260,True,
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,12729,12729,12729,0,0.0,12729,1.0,12729,12729,12729,12729,12729,12729,12729,True,
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,3344,3344,3344,0,0.0,3344,1.0,3344,3344,3344,3344,3344,3344,3344,True,
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,3344,3344,3344,0,0.0,3344,1.0,3344,3344,3344,3344,3344,3344,3344,True,
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,2999,2999,2999,0,0.0,2999,1.0,2999,2999,2999,2999,2999,2999,2999,True,
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,1141,1141,1141,0,0.0,1141,1.0,1141,1141,1141,1141,1141,1141,1141,True,
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,697,697,697,0,8.881784197001252e-16,697,1.0,697,697,697,697,697,697,697,True,
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,747,747,747,0,4.440892098500626e-16,747,1.0,747,747,747,747,747,747,747,True,
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,1201,1201,1201,0,0.0,1201,1.0,1201,1201,1201,1201,1201,1201,1201,True,
R1AB_SARS2_Flynn_2022,R1AB_SARS2,5725,5725,5725,0,0.0,5725,1.0,5725,5725,5725,5725,5725,5725,5725,True,
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,774,774,774,0,4.440892098500626e-16,774,1.0,774,774,774,774,774,774,774,True,
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,3134,3134,3134,0,0.0,3134,1.0,3134,3134,3134,3134,3134,3134,3134,True,
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,3066,3066,3066,0,0.0,3066,1.0,3066,3066,3066,3066,3066,3066,3066,True,
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,3084,3084,3084,0,0.0,3084,1.0,3084,3084,3084,3084,3084,3084,3084,True,
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,975,975,975,0,4.440892098500626e-16,975,1.0,975,975,975,975,975,975,975,True,
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,988,988,988,0,4.440892098500626e-16,988,1.0,988,988,988,988,988,988,988,True,
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,1195,1195,1195,0,4.440892098500626e-16,1195,1.0,1195,1195,1195,1195,1195,1195,1195,True,
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,798,798,798,0,8.881784197001252e-16,798,1.0,798,798,798,798,798,798,798,True,
RDRP_I33A0_Li_2023,RDRP_I33A0,12003,12003,12003,0,0.0,12003,1.0,12003,12003,12003,12003,12003,12003,12003,True,
REV_HV1H2_Fernandes_2016,REV_HV1H2,2147,2147,2147,0,0.0,2147,1.0,2147,2147,2147,2147,2147,2147,2147,True,
RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,969,969,969,0,0.0,969,1.0,969,969,969,969,969,969,969,True,
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,1121,1121,1121,0,4.440892098500626e-16,1121,1.0,1121,1121,1121,1121,1121,1121,1121,True,
RL40A_YEAST_Mavor_2016,RL40A_YEAST,1253,1253,1253,0,0.0,1253,1.0,1253,1253,1253,1253,1253,1253,1253,True,
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,1195,1195,1195,0,0.0,1195,1.0,1195,1195,1195,1195,1195,1195,1195,True,
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,1380,1380,1380,0,0.0,1380,1.0,1380,1380,1380,1380,1380,1380,1380,True,
RNC_ECOLI_Weeks_2023,RNC_ECOLI,4277,4277,4277,0,0.0,4277,1.0,4277,4277,4277,4277,4277,4277,4277,True,
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,1124,1124,1124,0,8.881784197001252e-16,1124,1.0,1124,1124,1124,1124,1124,1124,1124,True,
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,1195,1195,1195,0,4.440892098500626e-16,1195,1.0,1195,1195,1195,1195,1195,1195,1195,True,
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,9803,9803,9803,0,0.0,9803,1.0,9803,9803,9803,9803,9803,9803,9803,True,
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,10094,10094,10094,0,0.0,10094,1.0,10094,10094,10094,10094,10094,10094,10094,True,
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,679,679,679,0,4.440892098500626e-16,679,1.0,679,679,679,679,679,679,679,True,
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,1025,1025,1025,0,2.220446049250313e-16,1025,1.0,1025,1025,1025,1025,1025,1025,1025,True,
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,11576,11576,11576,0,0.0,11576,1.0,11576,11576,11576,11576,11576,11576,11576,True,
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,1212,0,4.440892098500626e-16,1212,1.0,1212,1212,1212,1212,1212,1212,1212,True,
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,834,834,834,0,8.881784197001252e-16,834,1.0,834,834,834,834,834,834,834,True,
SERC_HUMAN_Xie_2023,SERC_HUMAN,1914,1914,1914,0,0.0,1914,1.0,1914,1914,1914,1914,1914,1914,1914,True,
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,10972,10972,10972,0,0.0,10972,1.0,10972,10972,10972,10972,10972,10972,10972,True,
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1010,0,4.440892098500626e-16,1010,1.0,1010,1010,1010,1010,1010,1010,1010,True,
SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,1035,1035,1035,0,4.440892098500626e-16,1035,1.0,1035,1035,1035,1035,1035,1035,1035,True,
SPG1_STRSG_Olson_2014,SPG1_STRSG,1045,1045,1045,0,0.0,1045,1.0,1045,1045,1045,1045,1045,1045,1045,True,
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,1029,1029,1029,0,4.440892098500626e-16,1029,1.0,1029,1029,1029,1029,1029,1029,1029,True,
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,3802,3802,3802,0,0.0,3802,1.0,3802,3802,3802,3802,3802,3802,3802,True,
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,3798,3798,3798,0,0.0,3798,1.0,3798,3798,3798,3798,3798,3798,3798,True,
SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,1051,1051,1051,0,8.881784197001252e-16,1051,1.0,1051,1051,1051,1051,1051,1051,1051,True,
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,707,707,707,0,4.440892098500626e-16,707,1.0,707,707,707,707,707,707,707,True,
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,889,889,889,0,4.440892098500626e-16,889,1.0,889,889,889,889,889,889,889,True,
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,1211,1211,1211,0,4.440892098500626e-16,1211,1.0,1211,1211,1211,1211,1211,1211,1211,True,
SRC_HUMAN_Ahler_2019,SRC_HUMAN,3372,3372,3372,0,0.0,3372,1.0,3372,3372,3372,3372,3372,3372,3372,True,
