uniprot_id,family_id,family_size,family_members,assay_count,assayed_sequence_count
A0A1I9GEU1_NEIME,sf_977f4be4ca9f,1,A0A1I9GEU1_NEIME,1,1
A0A2Z5U3Z0_9INFA,sf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,2,1
C6KNH7_9INFA,sf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,1,1
CASP3_HUMAN,sf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,1,1
CASP7_HUMAN,sf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,1,1
FECA_ECOLI,sf_9a3ea6c0c19c,1,FECA_ECOLI,1,1
MTH3_HAEAE,sf_9a90786f7320,1,MTH3_HAEAE,1,1
NPC1_HUMAN,sf_9d5fffe3ecc6,1,NPC1_HUMAN,1,1
Q59976_STRSQ,sf_9ddcf4dec5c1,1,Q59976_STRSQ,1,1
MET_HUMAN,sf_9e206bd97a80,1,MET_HUMAN,1,1
R1AB_SARS2,sf_9fc1ecf8307b,1,R1AB_SARS2,1,1
MAFG_MOUSE,sf_a1eda43852c5,1,MAFG_MOUSE,1,1
TCRG1_MOUSE,sf_a21d29addbd9,1,TCRG1_MOUSE,1,1
GRB2_HUMAN,sf_a2995dce9367,1,GRB2_HUMAN,1,1
PABP_YEAST,sf_a34f78cda012,1,PABP_YEAST,1,1
P53_HUMAN,sf_a3526b63cbae,1,P53_HUMAN,4,2
HMDH_HUMAN,sf_a470df240675,1,HMDH_HUMAN,1,1
UBE4B_HUMAN,sf_a47101dcf200,1,UBE4B_HUMAN,1,1
THO1_YEAST,sf_a523304d9a92,1,THO1_YEAST,1,1
A0A140D2T1_ZIKV,sf_a5d49b9502ef,1,A0A140D2T1_ZIKV,1,1
ODP2_GEOSE,sf_a7d25cc6753c,1,ODP2_GEOSE,1,1
PTEN_HUMAN,sf_a81536eee23e,1,PTEN_HUMAN,2,1
NUSA_ECOLI,sf_a92a5d40f0e3,1,NUSA_ECOLI,1,1
UBC9_HUMAN,sf_ab8b39992872,1,UBC9_HUMAN,1,1
IF1_ECOLI,sf_ab9383c4e9ad,1,IF1_ECOLI,1,1
YAIA_ECOLI,sf_ac44f5c3e836,1,YAIA_ECOLI,1,1
I6TAH8_I68A0,sf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,1,1
NCAP_I34A1,sf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,1,1
HEM3_HUMAN,sf_afe0fb52df15,1,HEM3_HUMAN,1,1
TADBP_HUMAN,sf_b0af6d5185b3,1,TADBP_HUMAN,1,1
SPTN1_CHICK,sf_b0e1111705e5,1,SPTN1_CHICK,1,1
HXK4_HUMAN,sf_b10f2912eeeb,1,HXK4_HUMAN,2,1
PSAE_PICP2,sf_b20798b8020c,1,PSAE_PICP2,1,1
TPMT_HUMAN,sf_b5a772423035,1,TPMT_HUMAN,1,1
DOCK1_MOUSE,sf_b63fd9507fc4,1,DOCK1_MOUSE,1,1
LGK_LIPST,sf_bba3db8a5a23,1,LGK_LIPST,1,1
RBP1_HUMAN,sf_bc19e1d23319,1,RBP1_HUMAN,1,1
RS15_GEOSE,sf_bcab9ac142f5,1,RS15_GEOSE,1,1
RDRP_I33A0,sf_bcc2d8a187a4,1,RDRP_I33A0,1,1
CBS_HUMAN,sf_c188af622fce,1,CBS_HUMAN,1,1
CAPSD_AAV2S,sf_c257cf3223e7,1,CAPSD_AAV2S,1,1
PPM1D_HUMAN,sf_c26e504ac4d4,1,PPM1D_HUMAN,1,1
SRC_HUMAN,sf_c38d9b4005f8,1,SRC_HUMAN,3,1
A4D664_9INFA,sf_c55b9af61b07,1,A4D664_9INFA,1,1
VRPI_BPT7,sf_c5c95e85f55b,1,VRPI_BPT7,1,1
BBC1_YEAST,sf_c5f7073ffbdb,1,BBC1_YEAST,1,1
RCRO_LAMBD,sf_c6c5a726cc75,1,RCRO_LAMBD,1,1
AACC1_PSEAI,sf_c8ac09285ada,1,AACC1_PSEAI,1,1
A0A247D711_LISMN,sf_c9df9de4e934,1,A0A247D711_LISMN,1,1
YNZC_BACSU,sf_ca121528f828,1,YNZC_BACSU,1,1
RFAH_ECOLI,sf_cc6a74504a45,1,RFAH_ECOLI,1,1
Q837P4_ENTFA,sf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,1,1
Q837P5_ENTFA,sf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,1,1
MYO3_YEAST,sf_ce83c8e2ec6e,1,MYO3_YEAST,1,1
AMFR_HUMAN,sf_cf49a18e12cd,1,AMFR_HUMAN,1,1
SCIN_STAAR,sf_cf940c8da196,1,SCIN_STAAR,1,1
D7PM05_CLYGR,sf_d5ee7a876864,3,D7PM05_CLYGR;GFP_AEQVI;Q8WTC7_9CNID,1,1
GFP_AEQVI,sf_d5ee7a876864,3,D7PM05_CLYGR;GFP_AEQVI;Q8WTC7_9CNID,1,1
Q8WTC7_9CNID,sf_d5ee7a876864,3,D7PM05_CLYGR;GFP_AEQVI;Q8WTC7_9CNID,1,1
DLG4_HUMAN,sf_d98da1f7d712,2,DLG4_HUMAN;DLG4_RAT,1,1
DLG4_RAT,sf_d98da1f7d712,2,DLG4_HUMAN;DLG4_RAT,1,1
SPG1_STRSG,sf_db4b6fc031cf,1,SPG1_STRSG,1,1
POLG_PESV,sf_dc63c2b3ba7c,1,POLG_PESV,1,1
S22A1_HUMAN,sf_dedbcf3c34ac,1,S22A1_HUMAN,2,1
ADRB2_HUMAN,sf_e2a3e4f1f860,1,ADRB2_HUMAN,1,1
CCDB_ECOLI,sf_e2b2659337b1,1,CCDB_ECOLI,1,1
Q6WV12_9MAXI,sf_e786ad53cfe1,1,Q6WV12_9MAXI,1,1
ESTA_BACSU,sf_eb7894768bb9,1,ESTA_BACSU,1,1
PA_I34A1,sf_ec35c0fe8f0c,1,PA_I34A1,1,1
SERC_HUMAN,sf_f2035d659d6a,1,SERC_HUMAN,1,1
KCNJ2_MOUSE,sf_f35e7c0d2382,1,KCNJ2_MOUSE,2,1
CBPA2_HUMAN,sf_f46e1f61009b,1,CBPA2_HUMAN,1,1
HCP_LAMBD,sf_f4afbafe8fe3,1,HCP_LAMBD,1,1
PR40A_HUMAN,sf_f662b12b6174,1,PR40A_HUMAN,1,1
SQSTM_MOUSE,sf_fd3d638b0af8,1,SQSTM_MOUSE,1,1
SRBS1_HUMAN,sf_fd69b9c71495,1,SRBS1_HUMAN,1,1
VG08_BPP22,sf_ffaeeb6011e9,1,VG08_BPP22,1,1
RPC1_BP434,sf_ffbe89385f32,1,RPC1_BP434,1,1
