assay_id,uniprot_id,uniprot_accession,target_sequence_sha256,target_length,assay_start,assay_end,assayed_residues,mapped_residues,mapping_coverage,canonical_start,canonical_end
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,P48052,1e3ef36e6f48278b72d807af43813f85842196d3427c0c282298d4504d882d08,72,1,72,72,72,1.0,23.0,94.0
CBS_HUMAN_Sun_2020,CBS_HUMAN,P35520,1e7cf97e465052ebc9f35a7bc9c299a509c5a73495086332a256b67cca3e5f78,551,1,551,551,551,1.0,1.0,551.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,O00257,98af4350fbb819c7ff347e0a3d2cef6e324feb76ec19f8a98231519888ff80f2,50,1,50,50,50,1.0,12.0,61.0
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,P62554,6e91f0a6f45fbc1a48f83962b1b5d9ed4c905a8cd214d0856b2468a0abde6a8e,101,1,101,101,101,1.0,1.0,101.0
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,P51681,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85,352,1,352,352,352,1.0,1.0,352.0
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,P15391,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e,556,1,556,556,556,1.0,1.0,556.0
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,P11712,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,1,490,490,490,1.0,1.0,490.0
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,P11712,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,1,490,490,490,1.0,1.0,490.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,O88544,a69eaa08212aac44b625129ba0a4c61c8ea2124d3b990c750e31f75b68ee2495,72,1,72,72,69,0.9583333333333334,296.0,364.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,P38428,b2392b0d2a495db39e70d8421336138428327b7cd074191fa13eaac4e4209ce9,52,1,52,52,52,1.0,61.0,112.0
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,D7PM05,4d9e0f52986dfa520a66afcf32d1d335eaac5009dd8fe6bcf3d2579a218e47d9,235,1,235,235,235,1.0,1.0,235.0
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,1,724,724,724,1.0,1.0,724.0
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,1,724,724,724,1.0,1.0,724.0
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,P61991,8edf0f5b4fd2e640716fcb35278a6a90f8b8cd4c910fd251223ad29c63ebc544,55,1,55,55,55,1.0,3.0,57.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,0d16c663f2eff74cc073caf31e803e63ea2ba35ca5b94b9a809434a252995a64,65,1,65,65,65,1.0,5.0,69.0
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,46962bab94c5ab950729fe64da9d7ad0d86cae4ee4ee4b45bd4fb86caa1433ce,66,1,66,66,66,1.0,4.0,69.0
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,P0ABQ4,e193a4b689d70ba3b38c9f812a9b212e4ec24cec07f6c90f0600341c8b0c77f5,159,1,159,159,159,1.0,1.0,159.0
DYR_ECOLI_Thompson_2019,DYR_ECOLI,P0ABQ4,e193a4b689d70ba3b38c9f812a9b212e4ec24cec07f6c90f0600341c8b0c77f5,159,1,159,159,159,1.0,1.0,159.0
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,P0AEJ4,8b63e161229a988015d53cc39023e3b4664f32cf7710b6820d8ea83eddfc71fb,60,1,60,60,60,1.0,230.0,289.0
ENV_HV1BR_Haddox_2016,ENV_HV1BR,P03377,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,1,861,861,860,0.9988385598141696,1.0,861.0
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,27e98b8983705757c0c60405efdb8f475cdf4c799d33c4f7345c6e64118e3318,66,1,66,66,66,1.0,914.0,979.0
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,P37957,8a9ea05c5d2953b5b143b591bea6014aec631be96a4842b274fb3e91ee4907d7,212,1,212,212,212,1.0,1.0,212.0
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,P13036,9db12e3352b4369f97639f6efdec429bb874a2c3c8e98454ee3413c7b2b41d19,72,1,72,72,72,1.0,35.0,106.0
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Q00688,22de585899af7e94250a30dd5566bc1d6e23307ea5a4131ea4d3746b07510a5f,69,1,69,69,69,1.0,5.0,73.0
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,P04386,67adc73e545d5fa5e29591ac740f6f2748ed3cf5ea7e2b62a8c617285e893dba,881,1,881,881,881,1.0,1.0,881.0
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,P31150,151cd778d4fb53f442fb1fcee3b51f9aea5a707a54a4ea4f4fafb2353492727f,447,1,447,447,447,1.0,1.0,447.0
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,P42212,9be57dbaa8e6d8b324cd1a84684901808c38b3b84f940c08e00a0323f4215e9f,238,1,238,238,237,0.9957983193277311,1.0,238.0
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,P62993,da732b5e8d2d70df356a38fcb7dcb1f2c8c200f00268f7978afe49f9a7b1783d,217,1,217,217,217,1.0,1.0,217.0
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,P68660,7e7e14808e7fb18df489c477979e76cf55eb47147a8b96e908a0079a514fb626,55,1,55,55,54,0.9818181818181818,3.0,56.0
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,d11d776b9031b71dc023044e5b734a7407ac498d7147976c36ab7b627cae7e75,72,1,72,72,66,0.9166666666666666,1269.0,1336.0
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,P08397,0357a836b3f2fc54e934b9cab6530110c24fa0bccf95d2ad315b1f3c477685a3,361,1,361,361,361,1.0,1.0,361.0
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,P04035,53ca26e9a4eeb6dc55931307bed794b7dde0c3f5bdbdfb91ea34506062a3e318,888,1,888,888,888,1.0,1.0,888.0
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,P02829,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,1,709,709,709,1.0,1.0,709.0
HSP82_YEAST_Flynn_2019,HSP82_YEAST,P02829,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,1,709,709,709,1.0,1.0,709.0
HSP82_YEAST_Mishra_2016,HSP82_YEAST,P02829,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,1,709,709,709,1.0,1.0,709.0
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,P35557,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,1,465,465,465,1.0,1.0,465.0
HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,P35557,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,1,465,465,465,1.0,1.0,465.0
I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,I6TAH8,047e14194ab8a5f678415efb1c98c92684e67e02626bf959de09f569c022f335,498,1,498,498,498,1.0,1.0,498.0
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,P69222,7693d167bfae34fc5345154a75e21dc6db164f9d80a2c79eb79999814eb0b62f,72,1,72,72,72,1.0,1.0,72.0
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Q12906,3aa0de5eb3e584da4d5e8c760c2adcf342e07fdcf39a8735009630cb2c3a9c76,71,1,71,71,70,0.9859154929577465,521.0,590.0
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Q8NW39,334df5d4e103746412eb4fe15c67c4d050bf175c603ce0498d913e0d2858cbaf,55,1,55,55,55,1.0,475.0,529.0
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,P15382,1f7b8c1a071fab39209fea0ac8ac89c9c520f149dd8f889f497fcf4f694fd479,129,1,129,129,128,0.9922480620155039,1.0,129.0
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,P15382,1f7b8c1a071fab39209fea0ac8ac89c9c520f149dd8f889f497fcf4f694fd479,129,1,129,129,128,0.9922480620155039,1.0,129.0
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,P35561,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,1,428,428,428,1.0,1.0,428.0
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,P35561,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,1,428,428,428,1.0,1.0,428.0
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,P00552,acbf1fe51a97a2e90c2bcd13adabec985a63c501fae0f2a2cfcb46258abda56e,264,1,264,264,264,1.0,1.0,264.0
LGK_LIPST_Klesmith_2015,LGK_LIPST,B3VI55,58192f44a046f4d4aebdc02932369fe98654f17cf5656e564d553efda08ff5e4,439,1,439,439,436,0.9931662870159453,1.0,439.0
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,O54790,da41ceaba9f1c4fd6d9da3e8e6f439c9c2eabbd1b6a5fd2d6e847863419cc28c,41,1,41,41,41,1.0,24.0,64.0
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Q9LW00,e6d25f46034518bd87fba45a1b2a5b07fd5ed9d8c731cc42ca22457cccf5ac58,66,1,66,66,66,1.0,8.0,73.0
MET_HUMAN_Estevam_2023,MET_HUMAN,P08581,81df7bdf1ca228f0a9664346b33823ab74dd126175c1825f28d1ed936fa77f69,287,1,287,287,287,1.0,1059.0,1345.0
MK01_HUMAN_Brenan_2016,MK01_HUMAN,P28482,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49,360,1,360,360,360,1.0,1.0,360.0
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,P0ADV7,ae25940acad7662fe6055d8ad9219b7b2bc19a4e98fa934a31161c688f47fdfd,211,1,211,211,211,1.0,1.0,211.0
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,P43246,e27b898beec9c370e421fdcb5b7e37dd8801c81224cd397a021ec76dbe4096ea,934,1,934,934,934,1.0,1.0,934.0
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,P20589,d78bb1f564dcca3a1c20ef3c0d620ebaf981a39fc27ccc3e5237aca93afb7eb3,330,1,330,330,325,0.9848484848484849,1.0,330.0
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,P42898,afd5e62b903eb642953b991f683bae2f9fc5b6220f2ea855627910d55974d7b4,656,1,656,656,656,1.0,1.0,656.0
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,P36006,e4a68c4b8acb4d369e571d9d37d3e3f2c5675c6881b011349ca8110b10daf0cc,61,1,61,61,61,1.0,1121.0,1181.0
NCAP_I34A1_Doud_2015,NCAP_I34A1,P03466,603391c59133e6e1484cd91f89d665933abd7ededbf3bc77bbd4bc6aa10094c9,498,1,498,498,498,1.0,1.0,498.0
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Q99801,c9f6965638d2fd03c56238100627b8434704ee694d5fad714adb2ac8ca2d450a,61,1,61,61,57,0.9344262295081968,132.0,188.0
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,O15118,4e24d009a2ddd244a0a0eb2cdff86a7c7afe8006103d97c723616088876f494e,1278,1,1278,1278,1278,1.0,1.0,1278.0
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Q9NV35,14995400edc57f8b57e4c51846467559530c436ed34a22c00d6085db53c79549,164,1,164,164,164,1.0,1.0,164.0
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,P0AFF6,7d61e64ba38de72f22d854c934eeacefabdf6b69da6e65de3a4d4762719699f3,69,1,69,69,69,1.0,351.0,419.0
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,P9WIU9,cfc7222703b572e6e9a896ad622aa1baa5aac0ba55a7423c4d3a158fa8fac4aa,55,1,55,55,55,1.0,184.0,238.0
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Q5VST9,9548d3ecc642b7ffaef7e386181a77157bab14756d5babcaf64647cc1db955f1,65,1,65,65,65,1.0,5602.0,5666.0
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,P11961,186bf44bc89c64ff3960721d388a880973acbfe51ac75f71be7a057682185b09,44,1,44,44,43,0.9772727272727273,126.0,169.0
OTC_HUMAN_Lo_2023,OTC_HUMAN,P00480,35d9672d82f6d9568b8af25ab5534caa47a1bdda9b27e554ad90f564f969cba4,354,1,354,354,354,1.0,1.0,354.0
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Q8TE49,873d9a9b99d438d0bd818814585ef4280d3ed3ff85ca668ab235e5a7478f2530,42,1,42,42,42,1.0,24.0,65.0
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,P80324,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,1,364,364,364,1.0,2.0,365.0
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,P80324,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,1,364,364,364,1.0,2.0,365.0
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,P04637,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,1,393,393,392,0.9974554707379135,1.0,393.0
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,P04637,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,1,393,393,392,0.9974554707379135,1.0,393.0
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,P04637,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,1,393,393,392,0.9974554707379135,1.0,393.0
P53_HUMAN_Kotler_2018,P53_HUMAN,P04637,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,1,393,393,393,1.0,1.0,393.0
P84126_THETH_Chan_2017,P84126_THETH,P84126,b7cf0832061e7437b4309c358ae2b5cca04d45e932da7e44257d640095432d81,254,1,254,254,254,1.0,1.0,254.0
PABP_YEAST_Melamed_2013,PABP_YEAST,P04147,2a5b4c57f9bda382849bd13eb1b7bcd4431d5c6c112150ca982df5735975fbc6,577,1,577,577,577,1.0,1.0,577.0
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,P05121,85dcfe09ecc84ccb794ab1798f9ec2cc76cf5baf8cd55ead4a44e26bb3cebc08,402,1,402,402,402,1.0,1.0,402.0
PA_I34A1_Wu_2015,PA_I34A1,P03433,4b2e387fe633b9aca5c147f76b837250c8b357b23e2879ba51ab129f57dae8f9,716,1,716,716,699,0.9762569832402235,1.0,715.0
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Q8LPD9,f32baf609eab4f10975523f58475bcbaaee7ec4f879c86a855ca2f41e6f1b3e7,118,1,118,118,117,0.9915254237288136,16.0,133.0
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Q13526,32f6115513f39a2d0d751aff5d991c95f598beb690622721a13d943300a60ea4,39,1,39,39,39,1.0,6.0,44.0
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Q99697,f33cf1a6bd36d6f6b6c6dcb7476a95f16918e17b3eaff633f4bd6c8a2d0e7ee6,52,1,52,52,51,0.9807692307692307,90.0,141.0
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Q16512,eacd7c467afd89358065c703999ebbab7b199fb8563b438bc1b3b39e6ec315c1,71,1,71,71,68,0.9577464788732394,122.0,189.0
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,P03313,28b510b26b26750b13200b8513fd40cfcb729a7ed3880097b4914ef6ccd50e93,2185,1,861,861,860,0.9988385598141696,1.0,861.0
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,P29990,bc166171f8e4a4ec090ba0bc0db5353a12a176ccbcbbb6e7da504372cfe6b5d1,900,1,900,900,893,0.9922222222222222,2492.0,3391.0
POLG_HCVJF_Qi_2014,POLG_HCVJF,Q99IB8,daba117a7023a84ea607ed0117293d81b783c2f0bccf47483817abae6989c7ae,3033,1984,2089,106,106,1.0,1984.0,2089.0
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Q9QEJ5,08130dfce6b16caeb85ec346bf9065574fd416c0080bb6a8e9e82d915f601545,53,1,53,53,53,1.0,950.0,1002.0
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,P37231,1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20,505,1,505,505,505,1.0,1.0,505.0
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,O15297,eb3fd6e991149629c673cea22531ccc0b99d845872752b1d2dd72e6ee36abe10,605,1,605,605,605,1.0,1.0,605.0
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,O75400,4c0794fea10947b44cecc21465d457e781a47c6aaf37929a73a4ea141095a8a3,63,1,63,63,63,1.0,387.0,449.0
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,O60260,f1c95f90cb66ef3fe563de977581980576e42b59b10fe827126dfc9ead1003d3,465,1,465,465,465,1.0,1.0,465.0
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,P31969,ef44bfd420d2ad7747bc06b4a9b645ddd7e53e3a9c2fbccc85fe47606c0f057c,68,1,68,68,68,1.0,2.0,69.0
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,P60484,2675a6cc946076d70342977845afe793269c5987a998382100bede64d1e61b42,403,1,403,403,403,1.0,1.0,403.0
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,P60484,2675a6cc946076d70342977845afe793269c5987a998382100bede64d1e61b42,403,1,403,403,403,1.0,1.0,403.0
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,,37e665d9f4d8b4c8f3454d90b01f8ec02b5cbf8d6e21fe24bd11ac381f59c098,860,1,860,860,0,0.0,,
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,Q53Z42,a77c8fd26c1e0b5d0034384309cd3600fb1e3f8775e1979363d5db3a185be675,365,1,365,365,365,1.0,1.0,365.0
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,Q53Z42,a77c8fd26c1e0b5d0034384309cd3600fb1e3f8775e1979363d5db3a185be675,365,1,365,365,365,1.0,1.0,365.0
Q59976_STRSQ_Romero_2015,Q59976_STRSQ,,8367eca4f69ab5487788b08f0f496b51f5621c0d8c72e2ea17515de976be5445,501,1,501,501,0,0.0,,
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,Q6WV12,b27043fc9c0d03dc8b6cc4ad68dcaf03d8a5bf3ddd073ac364dbe74b90995c09,222,1,222,222,222,1.0,1.0,222.0
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,Q837P4,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd,589,1,589,589,589,1.0,1.0,589.0
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,Q837P5,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749,571,1,571,571,571,1.0,1.0,571.0
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,Q8WTC7,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8,238,1,238,238,238,1.0,1.0,238.0
R1AB_SARS2_Flynn_2022,R1AB_SARS2,P0DTD1,50ec190141bd451b4b7efdf7378d3a516e559004b5335ab9bb341a596691c92e,306,1,306,306,306,1.0,3264.0,3569.0
