uniprot_id,structure_file,structure_range,assay_count,structure_bytes,structure_sha256
RBP1_HUMAN,RBP1_HUMAN.pdb,1-52,1,73556,9cd03f6d8042c74f3aaf39d3d726a148c65d6c91c50ff648cfe2908994c2f395
RCD1_ARATH,RCD1_ARATH.pdb,1-57,1,76796,5733890cc63e19702e69b22bdea0d2de310b10071fbf875a05f0ab1fe90a6287
RCRO_LAMBD,RCRO_LAMBD.pdb,1-63,1,80765,c5613bf86c5c39b1e17feb2fd1d7375c0e314391b9e7cd512759a7aba53f958d
RD23A_HUMAN,RD23A_HUMAN.pdb,1-44,1,56384,375eae6c2e8c9d5142f96b57a11a8524467cbd05e90e77f7bc0130011b3b7a88
RDRP_I33A0,RDRP_I33A0.pdb,1-757,1,982214,a77d7595883abacf55256a72c522b00636a2f35f2e282364148cad7b97ea91ae
REV_HV1H2,REV_HV1H2.pdb,1-116,1,149777,e9121e7841cd83c8d7231d3161576904f9e2045f10f6c7cb0eba477954890e62
RFAH_ECOLI,RFAH_ECOLI.pdb,1-55,1,71288,dc1844a9e960e96edde103e12167e45bde49cf5cee6c8ae4f69ee91bb346809f
RL20_AQUAE,RL20_AQUAE.pdb,1-59,1,77525,ac6cd3de706d00cbe012c65052398dc92971580be1a33babbadf3d63b8693c55
RL40A_YEAST,RL40A_YEAST.pdb,1-128,3,170432,575b528ff0a3d70a9c5f9096993235ad73e509594144bb28617bf9c7e96189da
RNC_ECOLI,RNC_ECOLI.pdb,1-226,1,151064,ac99453117411246e58f1bc3f5154148784c1cfd347b20eb32b7ee647a2b565b
RPC1_BP434,RPC1_BP434.pdb,1-61,1,79145,334a2ca3fde0932a9a3d084dcca49c09a39952055746b7ccacb00fcd7559c805
RS15_GEOSE,RS15_GEOSE.pdb,1-63,1,88784,445f3bd009ece2bb21a790f8c6bd5c41a5e0ef41cc3b6365d8282c6705b08c75
S22A1_HUMAN,S22A1_HUMAN.pdb,1-553,2,701144,e3f23d173d723f05f20715cadde2b55470df3f4cfe1f6344c51c83f08b04cb0c
SAV1_MOUSE,SAV1_MOUSE.pdb,1-43,1,53306,d7faa7e6c429b7d639805c2ab7ddc1a5008ea644ac8bb0f1372dfb260f791d09
SBI_STAAM,SBI_STAAM.pdb,1-56,1,74528,c234b55316551aaa780f5a3998194ce7a2b53d0baa877b40b0003ddeb32e3b6d
SC6A4_HUMAN,SC6A4_HUMAN.pdb,1-630,1,802799,62ec30dceed1e594cd7647ca6e7911eb5d8bbc28291f34308476a01c78503f4a
SCIN_STAAR,SCIN_STAAR.pdb,1-70,1,93644,d14879155138d4adbdea8f87672770a95088f18ebfb173a8e9e97d6d02dbc7e2
SDA_BACSU,SDA_BACSU.pdb,1-44,1,61001,45670d87e2f5369b8297ea62acf041b21d7fe5da13f88ec0349af098b0b658fa
SERC_HUMAN,SERC_HUMAN.pdb,1-370,1,236600,145f306b45fc02e09dbcc284b679ce3dff46f8c8ac89f4974d289173a4fe055f
SHOC2_HUMAN,SHOC2_HUMAN.pdb,1-582,1,752741,36797db3adad093b9b55f4033b4331537cd0d847811de179436d7bead9d29759
SOX30_HUMAN,SOX30_HUMAN.pdb,1-57,1,75500,b0276fb5f3c9b5dcf12c71b1560891c1963dd4ac9f6e3a4891df03834269a22f
SPA_STAAU,SPA_STAAU.pdb,1-55,1,70802,a2f6319f39e3cce3c7076d2a2e79a3d688681299c67426e845bd2c9beb58b75c
SPG1_STRSG,SPG1_STRSG.pdb,1-448,1,543032,91a324a521fde27e12757516606a349d6f7ab37b7249fdeecb3716667a4b8bb6
SPG2_STRSG,SPG2_STRSG.pdb,1-56,1,70559,4590ca2e15066da835aa1211889a4d603b44520452b710bf9a9fc9c0644fb636
SPIKE_SARS2,SPIKE_SARS2.pdb,1-1273,2,1593602,218905aff62155ae50ffd0b233ebf2b2ee3f7ab78e0ef3e5c903b5f4020c954f
SPTN1_CHICK,SPTN1_CHICK.pdb,1-60,1,79631,7759a5f77e5e576c0fbdb57104c83bc93c13c7696b6c6e09d34d2b2508c6b0fd
SQSTM_MOUSE,SQSTM_MOUSE.pdb,1-40,1,50876,b4f4b3a946e2a98648d47a4c46261d650e8289e5fabea6f8723dc1db0cf9f87c
SR43C_ARATH,SR43C_ARATH.pdb,1-48,1,60515,e35ae86bd710515cd77c234dc5cb52dc5099ced4ad9d3b0444c599176a1c83d7
SRBS1_HUMAN,SRBS1_HUMAN.pdb,1-67,1,87812,e7744eb19dc7644df8efe18a2f4e2e324c08876cc323657e912bb79684477a45
SRC_HUMAN,SRC_HUMAN.pdb,1-536,3,348704,9b0a016bfffdc62391c2b2427493c210e2c331068a7e7bf53368dcb8c1e66a56
SUMO1_HUMAN,SUMO1_HUMAN.pdb,1-101,1,130013,9aaeeede07cbeae5f271f46b0f9ff608e0155a9aa02bcdd8474037719cd64a31
SYUA_HUMAN,SYUA_HUMAN.pdb,1-140,1,163223,ea73f4ebca9ab6222683b072dc5edd159d42c3d7f544b728f9c906d2f716e859
TADBP_HUMAN,TADBP_HUMAN.pdb,1-414,1,495890,16a2effc325a361ad54d93c8fa95d4754f8d220518e4c058a5206d1736bd66f5
TAT_HV1BR,TAT_HV1BR.pdb,1-86,1,110816,78a3923f23598eee5b83e6b99422343f8e2eb0339f4f52728d0bb55e7e60869e
TCRG1_MOUSE,TCRG1_MOUSE.pdb,1-37,1,48446,069f836256c91e8861b1d25408ce706125aebf24985c64c6ed3eb7e11122472d
THO1_YEAST,THO1_YEAST.pdb,1-41,1,53711,5a1aa48a2b0a0ba3a7aa3a3da964aa229b83279be6da47aeb2b90671653c9eb4
TNKS2_HUMAN,TNKS2_HUMAN.pdb,1-59,1,81413,8b4e1f19c22fb2663810550ed8f24093d66d31375e74581f6f893516a090ea29
TPK1_HUMAN,TPK1_HUMAN.pdb,1-243,1,309428,e0066d478f3ecfe9a6366ff446aa9ed077fa00d3a83dace9b10fbe506033afff
TPMT_HUMAN,TPMT_HUMAN.pdb,1-245,1,319229,7227ab60c7d4d72e7b06025e51f740c823fd85ca1ec0ef35aac519ceff455702
TPOR_HUMAN,TPOR_HUMAN.pdb,1-635,1,799721,9a966dfd873e245fd5ad6db94c2b16f36f3100deb933ef019832bae8abb98ef1
TRPC_SACS2,TRPC_SACS2.pdb,1-248,1,332189,0cf8f0668345cec4a0fce823bc586e5a8c9071628d6e6887c4f7854c827be1ae
TRPC_THEMA,TRPC_THEMA.pdb,1-252,1,332189,983ee256e21d458648b64c72aa4b4f06980ee69e8e41755c242b8cd7d2452cfa
UBC9_HUMAN,UBC9_HUMAN.pdb,1-159,1,207368,0ec03dc0f3686fe3dbbdd04d67e55071af63f246236311532cc92fed4e7adbce
UBE4B_HUMAN,UBE4B_HUMAN.pdb,1-69,1,90728,8fd6a316ee05505972d71d293082071eddc2e9ad76947bf9937784c354bf9a24
UBE4B_MOUSE,UBE4B_MOUSE.pdb,1-1173,1,1513250,c6b703ee6d197ee1e86201fe1a0d20e47901c2b9a74b8111547fdccbefba7cf1
UBR5_HUMAN,UBR5_HUMAN.pdb,1-58,1,75581,9eb7d29f5e9eae15e96e454c2c01f77fcc7d9297bcebd7ae3341606e7f8696af
VG08_BPP22,VG08_BPP22.pdb,1-40,1,51038,b43ee11a063e975076ac4a1e17590bfa49ff67f07b033a12288046ebefb77599
VILI_CHICK,VILI_CHICK.pdb,1-65,1,85058,d73c306908fc29cf46cc5d904ab852c9df57420df73dfc81bc91fb8efb49876d
VKOR1_HUMAN,VKOR1_HUMAN.pdb,1-163,2,210446,5901bee540ec556f9f3c8595cd93ffa0c782b4641a8af8f80f4fb4caa630c878
VRPI_BPT7,VRPI_BPT7.pdb,1-56,1,70964,d8577c7113f158513ac56fc7eccbc1538929187142e949c11275474e71ec6e83
YAIA_ECOLI,YAIA_ECOLI.pdb,1-52,1,67805,6a8c12d3a93f595d7c6720234fe5d86f7e70abe96cdad01f2487987155585880
YNZC_BACSU,YNZC_BACSU.pdb,1-39,1,52010,5e5619209e96f1c452d2980d74fc787a0408982a8c21c3281da856aa670e6fd5
