assay_id,uniprot_id,sequence_sha256,sequence_length,model,embedding_dimension,embedding_path,embedding_bytes,embedding_sha256,device
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,2525c4c880a947f46b4d75c90e17d85e653fcf632fc7dc9d0c64a75625d36e61,64,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-2525c4c880a947f46b4d.npz,76702,974a2c1c7121497fb6098a55489226f7ace832ac48b4d504d6936ada276995a4,mps
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,52217b8f546a530e571458023a304c953759d573a4fd0d88ea5fa2c5d02f2ef6,52,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-52217b8f546a530e5714.npz,62400,fe8214ce5dabcd77d92a75421d40cd008f5d459b215398483c2c17a6765fbca6,mps
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-c9c4ef97b0e66cb20b51.npz,340648,007cf2363c692f1f4e7b40509bc61fa713e6ee4760ff92bd3f7395e9dcd91072,mps
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-c9c4ef97b0e66cb20b51.npz,340648,007cf2363c692f1f4e7b40509bc61fa713e6ee4760ff92bd3f7395e9dcd91072,mps
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-c9c4ef97b0e66cb20b51.npz,340648,007cf2363c692f1f4e7b40509bc61fa713e6ee4760ff92bd3f7395e9dcd91072,mps
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-c9c4ef97b0e66cb20b51.npz,340648,007cf2363c692f1f4e7b40509bc61fa713e6ee4760ff92bd3f7395e9dcd91072,mps
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,1863,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-80d7199c8d1550a5ba83.npz,2209374,3648d313f9f987dd9645d1dbcaa61374db2e757720646c7b574385b10b2b7a86,mps
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,3b98d980444bef3941477dad6f361a3b513d7ba1f3e882d09ed58ae03e1a7289,566,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-3b98d980444bef394147.npz,671342,38bb60739b0f2084c675fe747a884870828036e272e786cb41f2d9a4249df6dd,mps
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,4a9f2f38a0afe61f9cd35d05788764536c1b394551a521687d0e537ad2760ff5,149,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-4a9f2f38a0afe61f9cd3.npz,177834,9464ba4a2f849a91d0af29f596d8c7b444b509df1216a0419f7143cf090a84c3,mps
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,3544f4fb2e91766d29fe30811a367b3c8c62676eda35e8e111c3f586d75fa82d,735,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-3544f4fb2e91766d29fe.npz,871147,54229cbb1ce5ae9993a9bd5979db637e8f3969b1c9d03571cee242d6583876dc,mps
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,23f728c9d0c885671d837a1b3d5cbe24609c3cf38f54a65dc6eccf6291f5964f,1154,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-23f728c9d0c885671d83.npz,1368121,c4c690f528ab2951195d0afa81a91a55a220a90b7df21113ba39d179247de560,mps
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,23f728c9d0c885671d837a1b3d5cbe24609c3cf38f54a65dc6eccf6291f5964f,1154,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-23f728c9d0c885671d83.npz,1368121,c4c690f528ab2951195d0afa81a91a55a220a90b7df21113ba39d179247de560,mps
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,0b7df5a184af9a6086e68775743c9f88f90fc81cf58931719cfa4b8e48d3f6ef,1368,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0b7df5a184af9a6086e6.npz,1621125,c78db0e250ec34489b2cc04554a016ccece32c188e93244f06255257c6f858aa,mps
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,db97616a542053832f57e3a6f83b89c1b80a10c679889c6e23b20550d1cd50a1,258,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-db97616a542053832f57.npz,307184,51598169d20cba734c2ee7e88777fb8ab26c5af1a0f3e64fe9df1eda90950e56,mps
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,213d8a15168ffdd0daf05c2809f9abb65a26baf3ef866577883b57e4897baad0,281,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-213d8a15168ffdd0daf0.npz,334411,ac4ec0a82d85ec648fcb7cd1a9aa9f54b47e3bb9c5ebed21a1602bc27b004983,mps
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,4a857f87c1521ea1e2f09320d79dce72b4b3e73b0074a1d690cefae199ecaf09,72,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-4a857f87c1521ea1e2f0.npz,86321,56bf8b64aa3d8011cf969c024621ba85eed3dfaa3a5f442996c2e3c3a5f660d8,mps
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,1e3ef36e6f48278b72d807af43813f85842196d3427c0c282298d4504d882d08,72,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-1e3ef36e6f48278b72d8.npz,86101,6708d8591863d0dd45002521eb08d8f7bd678c0552d59b2cc997cc58637cd58c,mps
CBS_HUMAN_Sun_2020,CBS_HUMAN,1e7cf97e465052ebc9f35a7bc9c299a509c5a73495086332a256b67cca3e5f78,551,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-1e7cf97e465052ebc9f3.npz,654419,b0d70bb87fa5b213970175e0b2209a918118e6d1c1d271ebfde917262bb37236,mps
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,98af4350fbb819c7ff347e0a3d2cef6e324feb76ec19f8a98231519888ff80f2,50,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-98af4350fbb819c7ff34.npz,59999,c709a1ea1943c8f2973f7ec359b812117851cb21128c524f38a226d97f218673,mps
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,6e91f0a6f45fbc1a48f83962b1b5d9ed4c905a8cd214d0856b2468a0abde6a8e,101,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-6e91f0a6f45fbc1a48f8.npz,120494,37e9cf4ec1b6a4630941d097a0250e324e047ff76ba79064169779c6cb23128e,mps
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85,352,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-7474668859b42bd1928b.npz,418968,f0abd7d71773c95ecd1d54f963b45dda6b2c383e4622dd77e286d76d4d12498e,mps
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e,556,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-955c8406920379b400b2.npz,660726,1808fa23144d04e141428aca46fd99676d14af89423a6004ea43d6472d3f5a71,mps
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-3f891626b6684fc43355.npz,583212,115107a086abdf7b131598492622a8b6ff7972447e74ea7d8dc6693841326e3d,mps
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-3f891626b6684fc43355.npz,583212,115107a086abdf7b131598492622a8b6ff7972447e74ea7d8dc6693841326e3d,mps
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,a69eaa08212aac44b625129ba0a4c61c8ea2124d3b990c750e31f75b68ee2495,72,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-a69eaa08212aac44b625.npz,86163,331cc59420b191dd6654f65a5eb0a3eb1ea9d6444486c8c672fd6cdbff07fde3,mps
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,b2392b0d2a495db39e70d8421336138428327b7cd074191fa13eaac4e4209ce9,52,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-b2392b0d2a495db39e70.npz,62400,cd54db5f7456cf0acb0e701eb7225cfaa9d029531fc87680af4f316b29089ccd,mps
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,4d9e0f52986dfa520a66afcf32d1d335eaac5009dd8fe6bcf3d2579a218e47d9,235,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-4d9e0f52986dfa520a66.npz,279217,b3ce2d3e782025d715e7a9f9d0a2a7929fe1e3de19390c1e9840aa81c2230593,mps
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-eaa4e0dc7e76ccef71fb.npz,859715,e9cfe27b6c38827f03387d9e43dacf9bb563ef168dfc15499f84d10503e537d7,mps
DLG4_RAT_McLaughlin_2012,DLG4_RAT,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-58cc4abb44f5cbd0c63d.npz,859762,36ea3b11b940ba14411e2751097c2119d7d6d8c5c4697e23303bf4b2dbf20c5c,mps
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,8edf0f5b4fd2e640716fcb35278a6a90f8b8cd4c910fd251223ad29c63ebc544,55,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-8edf0f5b4fd2e640716f.npz,65946,7f8994dd511c957e690dcbec755ceada58143b34752e227cfa6e7cbe9bd19398,mps
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,0d16c663f2eff74cc073caf31e803e63ea2ba35ca5b94b9a809434a252995a64,65,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0d16c663f2eff74cc073.npz,78094,ead918e279414117bd416f898d46a6f1bafcbcba7eb62b130d29c3e4ce8f0b48,mps
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,46962bab94c5ab950729fe64da9d7ad0d86cae4ee4ee4b45bd4fb86caa1433ce,66,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-46962bab94c5ab950729.npz,79245,afdff151e242c6ecb0b6f83668b59838a22f0ca20be9c69b3967a525489c6284,mps
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,e193a4b689d70ba3b38c9f812a9b212e4ec24cec07f6c90f0600341c8b0c77f5,159,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-e193a4b689d70ba3b38c.npz,189446,c8ade69615f3e52966d6921c8b5832d0a0d928dc704d5b36048d27d6fa48220e,mps
DYR_ECOLI_Thompson_2019,DYR_ECOLI,e193a4b689d70ba3b38c9f812a9b212e4ec24cec07f6c90f0600341c8b0c77f5,159,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-e193a4b689d70ba3b38c.npz,189446,c8ade69615f3e52966d6921c8b5832d0a0d928dc704d5b36048d27d6fa48220e,mps
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,8b63e161229a988015d53cc39023e3b4664f32cf7710b6820d8ea83eddfc71fb,60,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-8b63e161229a988015d5.npz,72071,1f0c2da9ecd216cadc833cf873a36160a54b116f19067ad7552240a4cc66c0e0,mps
ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-be4105b663987f7c9629.npz,1020592,136be965befdb83562a0d57f22652ad5dbc6a9c010db7868ba18d4dfc4a44946,mps
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,27e98b8983705757c0c60405efdb8f475cdf4c799d33c4f7345c6e64118e3318,66,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-27e98b8983705757c0c6.npz,78973,46cf0bf48c4cfcaf0da0d358e179c9ffae90e5566552f327049c5e5926380c94,mps
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,8a9ea05c5d2953b5b143b591bea6014aec631be96a4842b274fb3e91ee4907d7,212,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-8a9ea05c5d2953b5b143.npz,252386,97f1dd6be5338352922aab9068f5659711fe7d7007139c03d8494a79e3e2425a,mps
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,9db12e3352b4369f97639f6efdec429bb874a2c3c8e98454ee3413c7b2b41d19,72,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-9db12e3352b4369f9763.npz,86065,2b0ef23f9cd37a9b034a61630ce67270d98bfa2a1f8debcf6aa16fc08a846f65,mps
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,22de585899af7e94250a30dd5566bc1d6e23307ea5a4131ea4d3746b07510a5f,69,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-22de585899af7e94250a.npz,82519,9729604c7021e4daf09543004e602b7ab55e9ddc293251933f44c36cf1d2238d,mps
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,67adc73e545d5fa5e29591ac740f6f2748ed3cf5ea7e2b62a8c617285e893dba,881,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-67adc73e545d5fa5e295.npz,1046080,8401086d30e7dc43a8ca6fb57ff811a4fab44a028c9a94917e510454069bf4f0,mps
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,151cd778d4fb53f442fb1fcee3b51f9aea5a707a54a4ea4f4fafb2353492727f,447,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-151cd778d4fb53f442fb.npz,530555,86baafd39a15124d8b510984f677d4e0167202a293f1807233c8602c4e369e3a,mps
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,9be57dbaa8e6d8b324cd1a84684901808c38b3b84f940c08e00a0323f4215e9f,238,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-9be57dbaa8e6d8b324cd.npz,282646,9fd07ec30ddc5da2e264fa3432ffb0161d80e391eaf03ee40b9f43bb70236889,mps
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,da732b5e8d2d70df356a38fcb7dcb1f2c8c200f00268f7978afe49f9a7b1783d,217,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-da732b5e8d2d70df356a.npz,258451,c2e2e110631fc2181c2b03492f066fd5664428f5ed96c71ba35e77ea89a16b53,mps
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,7e7e14808e7fb18df489c477979e76cf55eb47147a8b96e908a0079a514fb626,55,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-7e7e14808e7fb18df489.npz,65947,894a526207f0aa449d4a515a2a71d3db361012d1cbb9691b4bd7dfa392466412,mps
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,d11d776b9031b71dc023044e5b734a7407ac498d7147976c36ab7b627cae7e75,72,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-d11d776b9031b71dc023.npz,86097,39c313a7b0d5f3d21cd1675d07e7a084c42a4029fb3270fed6e58390334b8a4f,mps
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,0357a836b3f2fc54e934b9cab6530110c24fa0bccf95d2ad315b1f3c477685a3,361,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-0357a836b3f2fc54e934.npz,429057,89e3471153c0a2e31aab8cb15f1f6468efd1dc648b02c4445b75d8a333835b5c,mps
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,53ca26e9a4eeb6dc55931307bed794b7dde0c3f5bdbdfb91ea34506062a3e318,888,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-53ca26e9a4eeb6dc5593.npz,1052999,9d7e7af058778ef946641c7364f9a7af27f88a26bc44911ba92a1331cb838411,mps
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-a23da6027d1547e2d928.npz,841512,74b41306aa0d6b320e360d7b53bb6635fe039fc9471b30985cc46aa3ebfc4699,mps
HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-a23da6027d1547e2d928.npz,841512,74b41306aa0d6b320e360d7b53bb6635fe039fc9471b30985cc46aa3ebfc4699,mps
HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-a23da6027d1547e2d928.npz,841512,74b41306aa0d6b320e360d7b53bb6635fe039fc9471b30985cc46aa3ebfc4699,mps
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,esm2_t6_8M_UR50D,320,data/raw/proteingym/esm2_t6_8M_embeddings/esm2_t6_8M_UR50D-48ae6d5533dd7faf386b.npz,552567,8f56f40d6f4c967271f0d415fedc68b824a46e11b01a1100b5f3058a011acf8a,mps
