curated_group_id,protein_a,protein_b,protein_a_family_id,protein_b_family_id
CL0010,GRB2_HUMAN,HECD1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,GRB2_HUMAN,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,GRB2_HUMAN,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,GRB2_HUMAN,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,GRB2_HUMAN,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,GRB2_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,HECD1_HUMAN,MYO3_YEAST,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,HECD1_HUMAN,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,HECD1_HUMAN,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,HECD1_HUMAN,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,HECD1_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,MYO3_YEAST,PSAE_PICP2,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,MYO3_YEAST,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,MYO3_YEAST,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,MYO3_YEAST,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,PSAE_PICP2,SR43C_ARATH,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,PSAE_PICP2,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,PSAE_PICP2,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,SR43C_ARATH,SRBS1_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,SR43C_ARATH,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0010,SRBS1_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,KKA2_KLEPN,MET_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,KKA2_KLEPN,MK01_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,KKA2_KLEPN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,MET_HUMAN,MK01_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,MET_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0016,MK01_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,MSH2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,Q837P4_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,Q837P5_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,RASH_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_HUMAN,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_RAT,MSH2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_RAT,Q837P4_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_RAT,Q837P5_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_RAT,RASH_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,DLG4_RAT,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,MSH2_HUMAN,Q837P4_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,MSH2_HUMAN,Q837P5_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,MSH2_HUMAN,RASH_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,MSH2_HUMAN,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,Q837P4_ENTFA,Q837P5_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,Q837P4_ENTFA,RASH_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,Q837P4_ENTFA,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,Q837P5_ENTFA,RASH_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,Q837P5_ENTFA,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0023,RASH_HUMAN,RASK_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0025,ENVZ_ECOLI,HSP82_YEAST,cssc_c038c4631e09,cssc_c038c4631e09
CL0036,MTHR_HUMAN,P84126_THETH,cssc_09853598f5f0,cssc_09853598f5f0
CL0036,MTHR_HUMAN,TRPC_SACS2,cssc_09853598f5f0,cssc_09853598f5f0
CL0036,MTHR_HUMAN,TRPC_THEMA,cssc_09853598f5f0,cssc_09853598f5f0
CL0036,P84126_THETH,TRPC_SACS2,cssc_09853598f5f0,cssc_09853598f5f0
CL0036,P84126_THETH,TRPC_THEMA,cssc_09853598f5f0,cssc_09853598f5f0
CL0036,TRPC_SACS2,TRPC_THEMA,cssc_09853598f5f0,cssc_09853598f5f0
CL0063,CBS_HUMAN,GDIA_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,CBS_HUMAN,MTH3_HAEAE,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,CBS_HUMAN,OTC_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,CBS_HUMAN,OXDA_RHOTO,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,CBS_HUMAN,POLG_DEN26,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,CBS_HUMAN,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,GDIA_HUMAN,MTH3_HAEAE,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,GDIA_HUMAN,OTC_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,GDIA_HUMAN,OXDA_RHOTO,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,GDIA_HUMAN,POLG_DEN26,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,GDIA_HUMAN,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,MTH3_HAEAE,OTC_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,MTH3_HAEAE,OXDA_RHOTO,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,MTH3_HAEAE,POLG_DEN26,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,MTH3_HAEAE,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,OTC_HUMAN,OXDA_RHOTO,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,OTC_HUMAN,POLG_DEN26,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,OTC_HUMAN,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,OXDA_RHOTO,POLG_DEN26,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,OXDA_RHOTO,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0063,POLG_DEN26,TPMT_HUMAN,cssc_2aec2e528c86,cssc_2aec2e528c86
CL0069,D7PM05_CLYGR,GFP_AEQVI,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0069,D7PM05_CLYGR,Q6WV12_9MAXI,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0069,D7PM05_CLYGR,Q8WTC7_9CNID,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0069,GFP_AEQVI,Q6WV12_9MAXI,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0069,GFP_AEQVI,Q8WTC7_9CNID,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0069,Q6WV12_9MAXI,Q8WTC7_9CNID,cssc_cba7b508de0e,cssc_cba7b508de0e
CL0072,PRKN_HUMAN,RL40A_YEAST,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,PRKN_HUMAN,SPG1_STRSG,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,PRKN_HUMAN,SPG2_STRSG,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,PRKN_HUMAN,SUMO1_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,RL40A_YEAST,SPG1_STRSG,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,RL40A_YEAST,SPG2_STRSG,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,RL40A_YEAST,SUMO1_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,SPG1_STRSG,SPG2_STRSG,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,SPG1_STRSG,SUMO1_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0072,SPG2_STRSG,SUMO1_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0093,CASP3_HUMAN,CASP7_HUMAN,cssc_99e3b36fb3c0,cssc_99e3b36fb3c0
CL0108,HXK4_HUMAN,LGK_LIPST,cssc_f7eef26f497d,cssc_f7eef26f497d
CL0123,ARGR_ECOLI,CSN4_MOUSE,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,ARGR_ECOLI,NKX31_HUMAN,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,ARGR_ECOLI,PITX2_HUMAN,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,ARGR_ECOLI,RAD_ANTMA,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,ARGR_ECOLI,RCRO_LAMBD,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,ARGR_ECOLI,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,CSN4_MOUSE,NKX31_HUMAN,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,CSN4_MOUSE,PITX2_HUMAN,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,CSN4_MOUSE,RAD_ANTMA,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,CSN4_MOUSE,RCRO_LAMBD,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,CSN4_MOUSE,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,NKX31_HUMAN,PITX2_HUMAN,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,NKX31_HUMAN,RAD_ANTMA,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,NKX31_HUMAN,RCRO_LAMBD,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,NKX31_HUMAN,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,PITX2_HUMAN,RAD_ANTMA,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,PITX2_HUMAN,RCRO_LAMBD,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,PITX2_HUMAN,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,RAD_ANTMA,RCRO_LAMBD,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,RAD_ANTMA,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0123,RCRO_LAMBD,RPC1_BP434,cssc_c35cf5df00ad,cssc_c35cf5df00ad
CL0159,KCNJ2_MOUSE,Q53Z42_HUMAN,cssc_67512007bfe9,cssc_67512007bfe9
CL0159,KCNJ2_MOUSE,TPOR_HUMAN,cssc_67512007bfe9,cssc_67512007bfe9
CL0159,Q53Z42_HUMAN,TPOR_HUMAN,cssc_67512007bfe9,cssc_67512007bfe9
CL0192,ADRB2_HUMAN,CCR5_HUMAN,cssc_516e14d168fd,cssc_516e14d168fd
CL0196,ILF3_HUMAN,RNC_ECOLI,cssc_a0ac9f2c6c49,cssc_a0ac9f2c6c49
CL0214,AMFR_HUMAN,CUE1_YEAST,cssc_a1269575757e,cssc_a1269575757e
CL0214,AMFR_HUMAN,OTU7A_HUMAN,cssc_a1269575757e,cssc_a1269575757e
CL0214,AMFR_HUMAN,RD23A_HUMAN,cssc_a1269575757e,cssc_a1269575757e
CL0214,AMFR_HUMAN,SQSTM_MOUSE,cssc_a1269575757e,cssc_a1269575757e
CL0214,CUE1_YEAST,OTU7A_HUMAN,cssc_a1269575757e,cssc_a1269575757e
CL0214,CUE1_YEAST,RD23A_HUMAN,cssc_a1269575757e,cssc_a1269575757e
CL0214,CUE1_YEAST,SQSTM_MOUSE,cssc_a1269575757e,cssc_a1269575757e
CL0214,OTU7A_HUMAN,RD23A_HUMAN,cssc_a1269575757e,cssc_a1269575757e
CL0214,OTU7A_HUMAN,SQSTM_MOUSE,cssc_a1269575757e,cssc_a1269575757e
CL0214,RD23A_HUMAN,SQSTM_MOUSE,cssc_a1269575757e,cssc_a1269575757e
CL0219,CAS9_STRP1,MSH2_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0220,CALM1_HUMAN,CATR_CHLRE,cssc_16d6e5408850,cssc_16d6e5408850
CL0221,PABP_YEAST,TADBP_HUMAN,cssc_99a238bc9e63,cssc_99a238bc9e63
CL0229,BRCA1_HUMAN,PRKN_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0229,BRCA1_HUMAN,UBE4B_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0229,BRCA1_HUMAN,UBE4B_MOUSE,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0229,PRKN_HUMAN,UBE4B_HUMAN,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0229,PRKN_HUMAN,UBE4B_MOUSE,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0229,UBE4B_HUMAN,UBE4B_MOUSE,cssc_de1c5e400a44,cssc_de1c5e400a44
CL0241,Q837P4_ENTFA,Q837P5_ENTFA,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0306,FKBP3_HUMAN,THO1_YEAST,cssc_686e99086a66,cssc_686e99086a66
CL0322,HMDH_HUMAN,NPC1_HUMAN,cssc_5e5c54cd042b,cssc_5e5c54cd042b
CL0466,DLG4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0541,GRB2_HUMAN,SRC_HUMAN,cssc_563b32cd16bb,cssc_563b32cd16bb
CL0680,PIN1_HUMAN,SAV1_MOUSE,cssc_6f0217bf6d08,cssc_6f0217bf6d08
CL0680,PIN1_HUMAN,TCRG1_MOUSE,cssc_6f0217bf6d08,cssc_6f0217bf6d08
CL0680,SAV1_MOUSE,TCRG1_MOUSE,cssc_6f0217bf6d08,cssc_6f0217bf6d08
CL0828,PABP_YEAST,UBR5_HUMAN,cssc_99a238bc9e63,cssc_99a238bc9e63
PF00506,I6TAH8_I68A0,NCAP_I34A1,cssc_ac5654d2afd9,cssc_ac5654d2afd9
PF10600,DLG4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
PF10608,DLG4_HUMAN,DLG4_RAT,cssc_563b32cd16bb,cssc_563b32cd16bb
