uniprot_accession,uniprot_id,canonical_length,canonical_sequence_sha256
P05434,CATR_CHLRE,169,cb9d31422d82f17bbf3f79c0b7fc7673a0fa1b36ac49b5ba1c5768dc10f070ef
P48052,CBPA2_HUMAN,419,a9dcd87116c202495476334c8b856bcf5c0d2ce9a4f6224debd51e37d9fe2207
P35520,CBS_HUMAN,551,1e7cf97e465052ebc9f35a7bc9c299a509c5a73495086332a256b67cca3e5f78
O00257,CBX4_HUMAN,560,d040b00cc12fdfad9a0adf1073e41775711b73c1df6c46ecb359f645eca9217d
P62554,CCDB_ECOLI,101,6e91f0a6f45fbc1a48f83962b1b5d9ed4c905a8cd214d0856b2468a0abde6a8e
P51681,CCR5_HUMAN,352,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85
P15391,CD19_HUMAN,556,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e
P11712,CP2C9_HUMAN,490,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24
O88544,CSN4_MOUSE,406,dc58140c3434ba4d6a3d636a730be95906e8f56ea0968062ae553466b199765c
P38428,CUE1_YEAST,203,1cee2d93ae5bdbdab62baf464ea2877f05258ca463430a93667b66b4ff5c95c9
P32302,CXCR5_HUMAN,372,d15489f2a503ff480764bfa7b9e3566a3f4695e70b94fb4ec4528b764d422f2b
D7PM05,D7PM05_CLYGR,235,4d9e0f52986dfa520a66afcf32d1d335eaac5009dd8fe6bcf3d2579a218e47d9
P78352,DLG4_HUMAN,724,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e
P31016,DLG4_RAT,724,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8
P61991,DN7A_SACS2,64,054d0e858db2786299ce4986aa25085563717b08460c0c0355fba8b6f400520e
P31689,DNJA1_HUMAN,397,af5cfcff8e06f1e03fbd2bec6b5195352ba2f1d05a977e3cb8c61baac233a2aa
Q8BUR4,DOCK1_MOUSE,1865,f40f52f1e2d1f28e5262f9c475f1d5cb74d1f3bc07e93dd6f22936098b0cadf3
P0ABQ4,DYR_ECOLI,159,e193a4b689d70ba3b38c9f812a9b212e4ec24cec07f6c90f0600341c8b0c77f5
P0AEJ4,ENVZ_ECOLI,450,aa13d606ade5090b042c74a86d2a3e9b7129717accfe918fa9f47724f6f62be8
P03377,ENV_HV1BR,861,4999f48bb161cc52af33b89dcc3f6d4ebb8a1a8796fd8bd900775d0ac2582f87
P29323,EPHB2_HUMAN,1055,0e2a4212efe4db1230afb680c18df3d12accbe13c325d91ac006a87635d9d000
P37957,ESTA_BACSU,212,8a9ea05c5d2953b5b143b591bea6014aec631be96a4842b274fb3e91ee4907d7
P13036,FECA_ECOLI,774,b8a9c9f50d4a78b314d8f71209caae10542f769416e673aa5d5b781800c07269
Q00688,FKBP3_HUMAN,224,76a6b606c38a0ef88b5366efbf02f32fb26f7acc8be1047042f7f674ad061fa9
P04386,GAL4_YEAST,881,67adc73e545d5fa5e29591ac740f6f2748ed3cf5ea7e2b62a8c617285e893dba
P31150,GDIA_HUMAN,447,151cd778d4fb53f442fb1fcee3b51f9aea5a707a54a4ea4f4fafb2353492727f
P42212,GFP_AEQVI,238,44f2688342a00e4b01e82be5e655b26499f981515d5da9a6076315627355b403
P62993,GRB2_HUMAN,217,da732b5e8d2d70df356a38fcb7dcb1f2c8c200f00268f7978afe49f9a7b1783d
P68660,HCP_LAMBD,68,9f5a716e1e63bdcef77e31879299c2e0183c61768a0f3f0e66d7b61976daa97b
Q9ULT8,HECD1_HUMAN,2610,5b9adfcb976b01b2b2685a556f2a77531d6001c696b7731943503c8e3d0e77ef
P08397,HEM3_HUMAN,361,0357a836b3f2fc54e934b9cab6530110c24fa0bccf95d2ad315b1f3c477685a3
P04035,HMDH_HUMAN,888,53ca26e9a4eeb6dc55931307bed794b7dde0c3f5bdbdfb91ea34506062a3e318
P02829,HSP82_YEAST,709,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627
P35557,HXK4_HUMAN,465,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664
I6TAH8,I6TAH8_I68A0,498,047e14194ab8a5f678415efb1c98c92684e67e02626bf959de09f569c022f335
P69222,IF1_ECOLI,72,7693d167bfae34fc5345154a75e21dc6db164f9d80a2c79eb79999814eb0b62f
Q12906,ILF3_HUMAN,894,38007c86c8964651573614630370c28d12e674fbbfd29ef28f32aad9ff298b37
Q8NW39,ISDH_STAAW,895,05894c49d4be537bf62651237546c57f6ddc61107a0a80d18845a71e912ef79f
P15382,KCNE1_HUMAN,129,07505bc0d400eb52c0f69a9efdfea1944fb17a7261c3008f1842f3eac5714f18
P35561,KCNJ2_MOUSE,428,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575
P00552,KKA2_KLEPN,264,acbf1fe51a97a2e90c2bcd13adabec985a63c501fae0f2a2cfcb46258abda56e
B3VI55,LGK_LIPST,439,9cdb9b9fd2dac4958cd857b7422cb0ce3fd2581dbe56541ec94ef416ab926923
O54790,MAFG_MOUSE,162,dea6e8e7fd81a4f317f69c7a27f8fbb60708c2f4b995902d44b692df09616158
Q9LW00,MBD11_ARATH,254,7d61cbd3f69a729619c9298b527c4ecacd38479430af88bf2f3a73b282d5e1f9
P08581,MET_HUMAN,1390,cc24e8701a5717fd1fa418174adb3b6cbaeae8a76f78b33a995f44c5bb394056
P28482,MK01_HUMAN,360,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49
P0ADV7,MLAC_ECOLI,211,ae25940acad7662fe6055d8ad9219b7b2bc19a4e98fa934a31161c688f47fdfd
P43246,MSH2_HUMAN,934,e27b898beec9c370e421fdcb5b7e37dd8801c81224cd397a021ec76dbe4096ea
P20589,MTH3_HAEAE,330,4eb2dee3063172ab07921b35f282e3a8445c17246f73c8e4e0eec560e3785af1
P42898,MTHR_HUMAN,656,afd5e62b903eb642953b991f683bae2f9fc5b6220f2ea855627910d55974d7b4
P36006,MYO3_YEAST,1272,193d87c7ff642fb03620308ca8b644a3e8c92a3cb19ac2bab87b95ef3d2072ae
P03466,NCAP_I34A1,498,603391c59133e6e1484cd91f89d665933abd7ededbf3bc77bbd4bc6aa10094c9
Q99801,NKX31_HUMAN,234,dcce223c48fbfcc0c3e1e74e0d77124585a8e31d90b361d00251de5365e0f807
O15118,NPC1_HUMAN,1278,4e24d009a2ddd244a0a0eb2cdff86a7c7afe8006103d97c723616088876f494e
Q9NV35,NUD15_HUMAN,164,14995400edc57f8b57e4c51846467559530c436ed34a22c00d6085db53c79549
P0AFF6,NUSA_ECOLI,495,6b8ff8f7b25c2a43cbdf1f4115c08e8dd7d66db8dbe55a45a1743c10c2d1e370
P9WIU9,NUSG_MYCTU,238,5bb5daeba8096bc2fb030b64c6c812efc291cb3903e1d0883114b0f7396a5d9e
Q5VST9,OBSCN_HUMAN,7968,55494b4d5e5953445ba59f52c35329b619177b127af711b119429aff9e39fc1c
P11961,ODP2_GEOSE,428,8e96e5da13e85cd47353fab9e692dff7af8b017c297e0c759b1e54cc4a021509
P00480,OTC_HUMAN,354,35d9672d82f6d9568b8af25ab5534caa47a1bdda9b27e554ad90f564f969cba4
Q8TE49,OTU7A_HUMAN,926,a7578552cb7acff000e4ee3c768a7218afb02bd21457560033cbe696db79aaae
P80324,OXDA_RHOTO,368,9469c9351a105ac82d8c3b5d19c56102701368573b4c784d69115a89aa49d473
P04637,P53_HUMAN,393,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3
P84126,P84126_THETH,254,b7cf0832061e7437b4309c358ae2b5cca04d45e932da7e44257d640095432d81
P04147,PABP_YEAST,577,2a5b4c57f9bda382849bd13eb1b7bcd4431d5c6c112150ca982df5735975fbc6
P05121,PAI1_HUMAN,402,85dcfe09ecc84ccb794ab1798f9ec2cc76cf5baf8cd55ead4a44e26bb3cebc08
P03433,PA_I34A1,716,d63dac9f5688131e7e7cc90de73ec5ba65bec283577307796640c933b88a8655
Q8LPD9,PHOT_CHLRE,749,ad98fae1973ee53ac5f0a8d6df8b222859c2715ef4a0e232c7482de1bf24e400
Q13526,PIN1_HUMAN,163,d8766228613d90eec8b5d683e0b08d0ac0a267d8b20d557e73af40590e9ea5bb
Q99697,PITX2_HUMAN,317,72399c53da3505f92eb0fb0c6ff558906277a627d0f43722fb43cce1914a698b
Q16512,PKN1_HUMAN,942,a7001577aa879ab33c257f22bf187999ac0e4031ae5d1dd03ea40d1268bd1f5f
P03313,POLG_CXB3N,2185,e1907e7d31c96494cee5a725820fd422c5fddace103720474a368a2d5b8c5fca
P29990,POLG_DEN26,3391,6cd8235fe0bb6e7784ad1636bee7bd2066d6375705e1531df1ce97c03480e998
Q99IB8,POLG_HCVJF,3033,daba117a7023a84ea607ed0117293d81b783c2f0bccf47483817abae6989c7ae
Q9QEJ5,POLG_PESV,2254,dac3e1926398c712b069263706c763068dea906e75c62062eb9558c9f0ddc5c8
P37231,PPARG_HUMAN,505,1a9d5667abcfbe96d50f29121e815eef32ae5fbfb3de52728d9a2de30d764b20
O15297,PPM1D_HUMAN,605,eb3fd6e991149629c673cea22531ccc0b99d845872752b1d2dd72e6ee36abe10
O75400,PR40A_HUMAN,957,822e1f68c174abf6b67ce811c1085dc5d792eb23506c2bb32ab4437825e65fe6
O60260,PRKN_HUMAN,465,f1c95f90cb66ef3fe563de977581980576e42b59b10fe827126dfc9ead1003d3
P31969,PSAE_PICP2,70,0ac119fbf78a05b4e6afb5f04b7d38b7fe2317adc26a68d698bfa8c4375e7880
P60484,PTEN_HUMAN,403,2675a6cc946076d70342977845afe793269c5987a998382100bede64d1e61b42
Q53Z42,Q53Z42_HUMAN,365,a77c8fd26c1e0b5d0034384309cd3600fb1e3f8775e1979363d5db3a185be675
Q6WV12,Q6WV12_9MAXI,222,b27043fc9c0d03dc8b6cc4ad68dcaf03d8a5bf3ddd073ac364dbe74b90995c09
Q837P4,Q837P4_ENTFA,589,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd
Q837P5,Q837P5_ENTFA,571,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749
Q8WTC7,Q8WTC7_9CNID,238,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8
P0DTD1,R1AB_SARS2,7096,edbd5d8a5deb16bfd31ff3029c7897b816b752cb26cd0dcf23d089dcdd841586
Q58FS3,RAD_ANTMA,93,2502403e7427eb2f87cf0ac087ae96a410b8c19edca999ed6bbc9653349c5728
P01112,RASH_HUMAN,189,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c
P01116,RASK_HUMAN,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a
Q15311,RBP1_HUMAN,655,a59083a8b4605605d15aa3c836d76942207c4abf4d8fb850a10128169be71ba4
Q8RY59,RCD1_ARATH,589,0618caf71f8dacf33ccbe23f7c523b533c3fd9189093f252f49a6c7e9a8c6353
P03040,RCRO_LAMBD,66,11be86de776779ee51231af8f3fef1bdd367a6c2ed8fd4b146e10a7cd59c04f6
P54725,RD23A_HUMAN,363,cc5c4c20c67dd01191c7e5a0eb4b3975c59caac6851f83905351c47a2f9ecfc8
P03430,RDRP_I33A0,757,2fe9f77e6349d3fe15e9e58baa3c45f3521f004eee905e1da1312eddf60aed81
P04618,REV_HV1H2,116,c7c3db52d8956a03f001b2cdf76b9c55e59d0a5728a3f2b20d160d881758f15f
P0AFW0,RFAH_ECOLI,162,f5d6cc7e8c318ce7a37c3931de53483c96caac07f9364e03c9b3071e55300d9c
O67086,RL20_AQUAE,118,4a1d737440cc41fede4e0eb8b4ee3dafad2ea50753e9b4355da402a622028422
P0CH08,RL40A_YEAST,128,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9
P0A7Y0,RNC_ECOLI,226,55249da877dc897d5de314c2b4a023ec52b5a5d892054bb094a2fc13aeede3a5
P16117,RPC1_BP434,95,ca9feb82505d1e5c9b9e773fb194f57eb81b4b70233f5298e838c49d888b9a82
P05766,RS15_GEOSE,89,1d4b06b45145782ff8d62d025095e4bd5c9873c5b938005b2a72377deaa22eca
O15245,S22A1_HUMAN,554,778bbff5b6a1ccd69b017f065a73ce67ab1feb729ac24df41c8cc93a93da56dc
Q8VEB2,SAV1_MOUSE,386,9ed9e347d2f468199f5f7322f085e7b6cf715af6ef8164fe86a138b8feda4d49
Q931F4,SBI_STAAM,426,c26231b9c3c86dc14805f6a4d6967cf3c3321d1498b46384a33131d6e62a10b9
P31645,SC6A4_HUMAN,630,08ab69187b319cff68eba5e95e6d06f77a7a8e75e4b1a83c000f7ed2c160d37f
P26748,SCAF_BPP22,303,bdd293b2a1a0524331491d3c07c4a61a780159d818b5a83cb65d7f36c8595750
Q6GFB4,SCIN_STAAR,116,31f9f18eb6415fdd95b09bf178f9392bdfcc059f5957d355c02aa2ae915a9879
Q7WY62,SDA_BACSU,52,954c46d479daa4ac567c7bdec4cdb9c4b6c739254619bf99c21fc799d4e91523
Q9Y617,SERC_HUMAN,370,47ac6e9f63a78f48d4b7c4695d9271ae3d7b713159ee6909746fca1f43d8778f
Q9UQ13,SHOC2_HUMAN,582,f7c01224ad8e3f540f7346297cba253f13fd910ff86409e25862e5f392e87e31
O94993,SOX30_HUMAN,753,3c9bf049416a6d46b1ab0f130ca9699ebe16e56004c7398d6ed63d177b3f150a
P38507,SPA_STAAU,508,e59ad94e67fec4f53d6abdbab58f13d465328724515259328d66b8a3aad84e49
P06654,SPG1_STRSG,448,9b987f26e70e8d868b3f79863627e3e5e9333506ccb1cd19ac041ea364741e28
P19909,SPG2_STRSG,593,a589c969cf31ee501857a4d8304bc2e91d7cdce62eb8d12df2db61b21bb0ca74
P0DTC2,SPIKE_SARS2,1273,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d
P07751,SPTN1_CHICK,2477,78bf9234aacc0f27ee53b62410b91a1004303443ed940569444bd7efa78d7c0c
Q64337,SQSTM_MOUSE,442,87a76a158ee5913ca6e4ef7ab340a48e1526c6e12238a7c3f3e7cafae1d24899
O22265,SR43C_ARATH,373,61aad8abcb5425cb14acec584d1620ad2e82697fd67d57cebbe0906837aaf6ea
Q9BX66,SRBS1_HUMAN,1292,ca07dc8a959a78af28836075d16923d0b3ffc1f336d30857ef9f249a26839e96
P12931,SRC_HUMAN,536,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8
P63165,SUMO1_HUMAN,101,2f67b0398c769dc5deb575f46362e1cad7c5a647adac36d48ce8538043ff075d
P37840,SYUA_HUMAN,140,9a06387610edd099466d614941c42a433f444feb6a8f25375bb0b6ad8ec9c6f4
Q13148,TADBP_HUMAN,414,db904fb6bea3d836fa9c2d870a738e324e79a98b89b69b5f2492e9772b7efbb7
P04610,TAT_HV1BR,86,c59ebb712a0035421c9d77a797c88c30c58d6242a6bd6761b62ad7d6e3a15bbd
Q8CGF7,TCRG1_MOUSE,1100,7c5b33678c0dfaea46f4d6b3fb79eff4664d040bb9d1a1723c46f0e656b38abd
P40040,THO1_YEAST,218,fc4df009ee75dd855c3b585cea7a12ff5c4134627628455cdff7a49367e24d8e
Q9H2K2,TNKS2_HUMAN,1166,43b649a8e088a5c0054cc47c614cb08dbb1eac2e071a42ec86f2ab44f117d073
Q9H3S4,TPK1_HUMAN,243,f0559a57916fe3476edde5fcf068226659ef805c10686332ab7582655fa2ffc7
P51580,TPMT_HUMAN,245,059d7c2c8feb87a96ccef6fc7f4866895687212f5bb9393c910970133e134081
P40238,TPOR_HUMAN,635,61da292a0dae7936eff33d3c0909040d846053dc4925c3fb94d6a9bbe00d7c12
Q06121,TRPC_SACS2,248,a5678301cecc2d1e42270d7e64a76f678362100308cd5657af6effe43adc8e9c
Q56319,TRPC_THEMA,252,2a527c476879438346bee49141baaad4b993a60a4b0bd3d245851b605cd64127
P63279,UBC9_HUMAN,158,6142db5eafe756bef6dc78c524f340e76dea6f48ae465a38a2a518c962631d47
O95155,UBE4B_HUMAN,1302,23b6bc0d6c66f431fa1bb2b2c9faea3da3d2cb4d3f21e27d556707a91b7f33d7
Q9ES00,UBE4B_MOUSE,1173,e41f60f5bb7eefdd457c22b691222a67cc22093ad2cac6ab76d6943375d37c53
O95071,UBR5_HUMAN,2799,b1afc860a844b6cdf6732901742bb9852b3d8e637d23fb25a1f2145a03930d59
P02640,VILI_CHICK,826,2d78fe116ff18ba83d76c3ee2ae5a3cc4651e4fe627d52d2a377f2cef5dbbeb8
Q9BQB6,VKOR1_HUMAN,163,f8e6c25683dd1eb29c9ddee6be595cb5ac278018a028b0d07316b906a864763d
P03704,VRPI_BPT7,64,4c3ae0fe505f84a68c07dce1769f7fc0f31ca4e425952a924cd7f15b65df8324
P0AAN5,YAIA_ECOLI,63,65aadaf16ea0aa3824dbe2bd8185818065aa9ec5a96ba86fa18bc2debe40eb3b
O31818,YNZC_BACSU,77,55d7ecb834c603058fd9d31e2a7f69d74072a86ff91e26063e9fa22facea7c9f
