uniprot_id,family_id,family_size,family_members,base_family_id,sequence_family_id,structure_added_relationship,assay_count,assayed_sequence_count
A0A192B1T2_9HIV1,cssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,ssf_1bf288bd319a,sf_1bf288bd319a,False,1,1
ENV_HV1BR,cssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,ssf_1bf288bd319a,sf_1bf288bd319a,False,1,1
Q2N0S5_9HIV1,cssf_1bf288bd319a,3,A0A192B1T2_9HIV1;ENV_HV1BR;Q2N0S5_9HIV1,ssf_1bf288bd319a,sf_1bf288bd319a,False,1,1
CD19_HUMAN,cssf_1ca77773c7d8,1,CD19_HUMAN,ssf_1ca77773c7d8,sf_1ca77773c7d8,False,1,1
BLAT_ECOLX,cssf_1ca89f8f1279,1,BLAT_ECOLX,ssf_1ca89f8f1279,sf_1ca89f8f1279,False,4,1
CP2C9_HUMAN,cssf_1d3a8e32222c,1,CP2C9_HUMAN,ssf_1d3a8e32222c,sf_1d3a8e32222c,False,2,1
POLG_DEN26,cssf_1d81bb997017,1,POLG_DEN26,ssf_1d81bb997017,sf_1d81bb997017,False,1,1
MLAC_ECOLI,cssf_2185c9b20e14,1,MLAC_ECOLI,ssf_2185c9b20e14,sf_2185c9b20e14,False,1,1
BRCA1_HUMAN,cssf_234425dd63e3,1,BRCA1_HUMAN,ssf_234425dd63e3,sf_234425dd63e3,False,1,1
OTU7A_HUMAN,cssf_24059a2f71bf,1,OTU7A_HUMAN,ssf_24059a2f71bf,sf_24059a2f71bf,False,1,1
AMFR_HUMAN,cssf_265b55e38391,2,AMFR_HUMAN;CUE1_YEAST,ssf_cf49a18e12cd,sf_cf49a18e12cd,False,1,1
CUE1_YEAST,cssf_265b55e38391,2,AMFR_HUMAN;CUE1_YEAST,ssf_7dd9b66382a6,sf_7dd9b66382a6,False,1,1
MK01_HUMAN,cssf_29a8f9564eb0,1,MK01_HUMAN,ssf_29a8f9564eb0,sf_29a8f9564eb0,False,1,1
GAL4_YEAST,cssf_2be67f569203,1,GAL4_YEAST,ssf_2be67f569203,sf_2be67f569203,False,1,1
ENVZ_ECOLI,cssf_2ee5fd080c0f,1,ENVZ_ECOLI,ssf_2ee5fd080c0f,sf_2ee5fd080c0f,False,1,1
CAS9_STRP1,cssf_2fb7a12de8e4,1,CAS9_STRP1,ssf_2fb7a12de8e4,sf_2fb7a12de8e4,False,1,1
RL20_AQUAE,cssf_310c599ef29a,1,RL20_AQUAE,ssf_310c599ef29a,sf_310c599ef29a,False,1,1
PHOT_CHLRE,cssf_3193156583c0,1,PHOT_CHLRE,ssf_3193156583c0,sf_3193156583c0,False,1,1
CSN4_MOUSE,cssf_322a3fa1e236,1,CSN4_MOUSE,ssf_322a3fa1e236,sf_322a3fa1e236,False,1,1
RCD1_ARATH,cssf_329d15de34fe,1,RCD1_ARATH,ssf_329d15de34fe,sf_329d15de34fe,False,1,1
PKN1_HUMAN,cssf_32b373a919b9,1,PKN1_HUMAN,ssf_32b373a919b9,sf_32b373a919b9,False,1,1
RD23A_HUMAN,cssf_3998cbaed1a7,1,RD23A_HUMAN,ssf_3998cbaed1a7,sf_3998cbaed1a7,False,1,1
BCHB_CHLTE,cssf_39e5faa59a41,1,BCHB_CHLTE,ssf_39e5faa59a41,sf_39e5faa59a41,False,1,1
SDA_BACSU,cssf_3a5047c87583,1,SDA_BACSU,ssf_3a5047c87583,sf_3a5047c87583,False,1,1
DNJA1_HUMAN,cssf_3bc8071abc2c,1,DNJA1_HUMAN,ssf_3bc8071abc2c,sf_3bc8071abc2c,False,1,1
TPK1_HUMAN,cssf_3c2e5ceba3be,1,TPK1_HUMAN,ssf_3c2e5ceba3be,sf_3c2e5ceba3be,False,1,1
NKX31_HUMAN,cssf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,ssf_3de478b56341,sf_3de478b56341,False,1,1
PITX2_HUMAN,cssf_3de478b56341,2,NKX31_HUMAN;PITX2_HUMAN,ssf_3de478b56341,sf_3de478b56341,False,1,1
PRKN_HUMAN,cssf_40b8ae05fc9a,2,PRKN_HUMAN;RL40A_YEAST,ssf_044a6e3db01c,sf_044a6e3db01c,False,1,1
RL40A_YEAST,cssf_40b8ae05fc9a,2,PRKN_HUMAN;RL40A_YEAST,ssf_09950e3c22ee,sf_09950e3c22ee,False,3,1
P84126_THETH,cssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
TRPC_SACS2,cssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
TRPC_THEMA,cssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,ssf_415fc4c4433b,sf_415fc4c4433b,False,1,1
HECD1_HUMAN,cssf_45f2530c8897,1,HECD1_HUMAN,ssf_45f2530c8897,sf_45f2530c8897,False,1,1
MSH2_HUMAN,cssf_48cbc265b524,1,MSH2_HUMAN,ssf_48cbc265b524,sf_48cbc265b524,False,1,1
HSP82_YEAST,cssf_4ba74830b6b6,1,HSP82_YEAST,ssf_4ba74830b6b6,sf_4ba74830b6b6,False,3,1
REV_HV1H2,cssf_4ddd0adc0328,1,REV_HV1H2,ssf_4ddd0adc0328,sf_4ddd0adc0328,False,1,1
ADRB2_HUMAN,cssf_516e14d168fd,2,ADRB2_HUMAN;CCR5_HUMAN,ssf_e2a3e4f1f860,sf_e2a3e4f1f860,False,1,1
CCR5_HUMAN,cssf_516e14d168fd,2,ADRB2_HUMAN;CCR5_HUMAN,ssf_2fd7d813c6f4,sf_2fd7d813c6f4,False,1,1
PAI1_HUMAN,cssf_51cbf66f0934,1,PAI1_HUMAN,ssf_51cbf66f0934,sf_51cbf66f0934,False,1,1
TPOR_HUMAN,cssf_540579521118,1,TPOR_HUMAN,ssf_540579521118,sf_540579521118,False,1,1
RASH_HUMAN,cssf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,ssf_550503ae0437,sf_550503ae0437,False,1,1
RASK_HUMAN,cssf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,ssf_550503ae0437,sf_550503ae0437,False,2,1
POLG_HCVJF,cssf_55f4d290e887,1,POLG_HCVJF,ssf_55f4d290e887,sf_55f4d290e887,False,1,1
SC6A4_HUMAN,cssf_5602ca7080fe,1,SC6A4_HUMAN,ssf_5602ca7080fe,sf_5602ca7080fe,False,1,1
UBE4B_HUMAN,cssf_57451dbef5f4,2,UBE4B_HUMAN;UBE4B_MOUSE,ssf_a47101dcf200,sf_a47101dcf200,False,1,1
UBE4B_MOUSE,cssf_57451dbef5f4,2,UBE4B_HUMAN;UBE4B_MOUSE,ssf_2d1d2debf9a5,sf_2d1d2debf9a5,False,1,1
A4GRB6_PSEAI,cssf_579275b2407d,1,A4GRB6_PSEAI,ssf_579275b2407d,sf_579275b2407d,False,1,1
SPA_STAAU,cssf_5e471b6b3e5d,1,SPA_STAAU,ssf_5e471b6b3e5d,sf_5e471b6b3e5d,False,1,1
HMDH_HUMAN,cssf_5e5c54cd042b,2,HMDH_HUMAN;NPC1_HUMAN,ssf_a470df240675,sf_a470df240675,False,1,1
NPC1_HUMAN,cssf_5e5c54cd042b,2,HMDH_HUMAN;NPC1_HUMAN,ssf_9d5fffe3ecc6,sf_9d5fffe3ecc6,False,1,1
SBI_STAAM,cssf_60dadcbd5371,1,SBI_STAAM,ssf_60dadcbd5371,sf_60dadcbd5371,False,1,1
CBX4_HUMAN,cssf_63a1a4e89751,2,CBX4_HUMAN;SR43C_ARATH,ssf_63a1a4e89751,sf_2ed9fd8d158e,True,1,1
SR43C_ARATH,cssf_63a1a4e89751,2,CBX4_HUMAN;SR43C_ARATH,ssf_63a1a4e89751,sf_3b0bdc6eb756,True,1,1
ACE2_HUMAN,cssf_67d793b1df10,1,ACE2_HUMAN,ssf_67d793b1df10,sf_67d793b1df10,False,1,1
POLG_CXB3N,cssf_6872ef7481de,1,POLG_CXB3N,ssf_6872ef7481de,sf_6872ef7481de,False,1,1
A4_HUMAN,cssf_6a1f189f4e62,1,A4_HUMAN,ssf_6a1f189f4e62,sf_6a1f189f4e62,False,1,1
SOX30_HUMAN,cssf_6cc095ce3976,1,SOX30_HUMAN,ssf_6cc095ce3976,sf_6cc095ce3976,False,1,1
PPARG_HUMAN,cssf_6d98a5313455,1,PPARG_HUMAN,ssf_6d98a5313455,sf_6d98a5313455,False,1,1
PIN1_HUMAN,cssf_6f0217bf6d08,3,PIN1_HUMAN;SAV1_MOUSE;TCRG1_MOUSE,ssf_27b2fd965bcd,sf_27b2fd965bcd,False,1,1
SAV1_MOUSE,cssf_6f0217bf6d08,3,PIN1_HUMAN;SAV1_MOUSE;TCRG1_MOUSE,ssf_0d40c1bb820d,sf_0d40c1bb820d,False,1,1
TCRG1_MOUSE,cssf_6f0217bf6d08,3,PIN1_HUMAN;SAV1_MOUSE;TCRG1_MOUSE,ssf_a21d29addbd9,sf_a21d29addbd9,False,1,1
SHOC2_HUMAN,cssf_6f5083a5504d,1,SHOC2_HUMAN,ssf_6f5083a5504d,sf_6f5083a5504d,False,1,1
KKA2_KLEPN,cssf_72f0344ad526,1,KKA2_KLEPN,ssf_72f0344ad526,sf_72f0344ad526,False,1,1
SPIKE_SARS2,cssf_761ae81d509c,1,SPIKE_SARS2,ssf_761ae81d509c,sf_761ae81d509c,False,2,1
Q53Z42_HUMAN,cssf_77b576379330,1,Q53Z42_HUMAN,ssf_77b576379330,sf_77b576379330,False,2,1
BBC1_YEAST,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_09af8f8b7309,sf_c5f7073ffbdb,True,1,1
DLG4_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_d98da1f7d712,sf_d98da1f7d712,False,1,1
DLG4_RAT,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_d98da1f7d712,sf_d98da1f7d712,False,1,1
DOCK1_MOUSE,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_09af8f8b7309,sf_b63fd9507fc4,True,1,1
GRB2_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_a2995dce9367,sf_a2995dce9367,False,1,1
MET_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_9e206bd97a80,sf_9e206bd97a80,False,1,1
MYO3_YEAST,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_09af8f8b7309,sf_ce83c8e2ec6e,True,1,1
OBSCN_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_09af8f8b7309,sf_1512f7c11353,True,1,1
SRBS1_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_09af8f8b7309,sf_fd69b9c71495,True,1,1
SRC_HUMAN,cssf_784e4bfd3195,10,BBC1_YEAST;DLG4_HUMAN;DLG4_RAT;DOCK1_MOUSE;GRB2_HUMAN;MET_HUMAN;MYO3_YEAST;OBSCN_HUMAN;SRBS1_HUMAN;SRC_HUMAN,ssf_c38d9b4005f8,sf_c38d9b4005f8,False,3,1
NUD15_HUMAN,cssf_7dd15a2e7599,1,NUD15_HUMAN,ssf_7dd15a2e7599,sf_7dd15a2e7599,False,1,1
OTC_HUMAN,cssf_85ec1183d131,1,OTC_HUMAN,ssf_85ec1183d131,sf_85ec1183d131,False,1,1
KCNE1_HUMAN,cssf_8626537a0620,1,KCNE1_HUMAN,ssf_8626537a0620,sf_8626537a0620,False,2,1
SYUA_HUMAN,cssf_87dffde05f09,1,SYUA_HUMAN,ssf_87dffde05f09,sf_87dffde05f09,False,1,1
ANCSZ,cssf_88339869d8cb,1,ANCSZ,ssf_88339869d8cb,sf_88339869d8cb,False,1,1
GDIA_HUMAN,cssf_8931019bd293,1,GDIA_HUMAN,ssf_8931019bd293,sf_8931019bd293,False,1,1
VKOR1_HUMAN,cssf_893ea5ec829f,1,VKOR1_HUMAN,ssf_893ea5ec829f,sf_893ea5ec829f,False,2,1
ARGR_ECOLI,cssf_8af86fe1b209,1,ARGR_ECOLI,ssf_8af86fe1b209,sf_8af86fe1b209,False,1,1
ISDH_STAAW,cssf_952abe758b6a,1,ISDH_STAAW,ssf_952abe758b6a,sf_952abe758b6a,False,1,1
A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,1,A0A1I9GEU1_NEIME,ssf_977f4be4ca9f,sf_977f4be4ca9f,False,1,1
A0A2Z5U3Z0_9INFA,cssf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,ssf_97ae43962602,sf_97ae43962602,False,2,1
C6KNH7_9INFA,cssf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,ssf_97ae43962602,sf_97ae43962602,False,1,1
PABP_YEAST,cssf_99a238bc9e63,3,PABP_YEAST;TADBP_HUMAN;UBR5_HUMAN,ssf_a34f78cda012,sf_a34f78cda012,False,1,1
TADBP_HUMAN,cssf_99a238bc9e63,3,PABP_YEAST;TADBP_HUMAN;UBR5_HUMAN,ssf_b0af6d5185b3,sf_b0af6d5185b3,False,1,1
UBR5_HUMAN,cssf_99a238bc9e63,3,PABP_YEAST;TADBP_HUMAN;UBR5_HUMAN,ssf_059a8d032aa4,sf_059a8d032aa4,False,1,1
CASP3_HUMAN,cssf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,ssf_99e3b36fb3c0,sf_99e3b36fb3c0,False,1,1
CASP7_HUMAN,cssf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,ssf_99e3b36fb3c0,sf_99e3b36fb3c0,False,1,1
FECA_ECOLI,cssf_9a3ea6c0c19c,1,FECA_ECOLI,ssf_9a3ea6c0c19c,sf_9a3ea6c0c19c,False,1,1
MTH3_HAEAE,cssf_9a90786f7320,1,MTH3_HAEAE,ssf_9a90786f7320,sf_9a90786f7320,False,1,1
Q59976_STRSQ,cssf_9ddcf4dec5c1,1,Q59976_STRSQ,ssf_9ddcf4dec5c1,sf_9ddcf4dec5c1,False,1,1
R1AB_SARS2,cssf_9fc1ecf8307b,1,R1AB_SARS2,ssf_9fc1ecf8307b,sf_9fc1ecf8307b,False,1,1
ILF3_HUMAN,cssf_a0ac9f2c6c49,2,ILF3_HUMAN;RNC_ECOLI,ssf_8239bef973ac,sf_8239bef973ac,False,1,1
RNC_ECOLI,cssf_a0ac9f2c6c49,2,ILF3_HUMAN;RNC_ECOLI,ssf_692c79c706c4,sf_692c79c706c4,False,1,1
MAFG_MOUSE,cssf_a1eda43852c5,1,MAFG_MOUSE,ssf_a1eda43852c5,sf_a1eda43852c5,False,1,1
P53_HUMAN,cssf_a3526b63cbae,1,P53_HUMAN,ssf_a3526b63cbae,sf_a3526b63cbae,False,4,2
THO1_YEAST,cssf_a523304d9a92,1,THO1_YEAST,ssf_a523304d9a92,sf_a523304d9a92,False,1,1
A0A140D2T1_ZIKV,cssf_a5d49b9502ef,1,A0A140D2T1_ZIKV,ssf_a5d49b9502ef,sf_a5d49b9502ef,False,1,1
ODP2_GEOSE,cssf_a7d25cc6753c,1,ODP2_GEOSE,ssf_a7d25cc6753c,sf_a7d25cc6753c,False,1,1
PTEN_HUMAN,cssf_a81536eee23e,1,PTEN_HUMAN,ssf_a81536eee23e,sf_a81536eee23e,False,2,1
NUSA_ECOLI,cssf_a92a5d40f0e3,1,NUSA_ECOLI,ssf_a92a5d40f0e3,sf_a92a5d40f0e3,False,1,1
UBC9_HUMAN,cssf_ab8b39992872,1,UBC9_HUMAN,ssf_ab8b39992872,sf_ab8b39992872,False,1,1
IF1_ECOLI,cssf_ab9383c4e9ad,1,IF1_ECOLI,ssf_ab9383c4e9ad,sf_ab9383c4e9ad,False,1,1
YAIA_ECOLI,cssf_ac44f5c3e836,1,YAIA_ECOLI,ssf_ac44f5c3e836,sf_ac44f5c3e836,False,1,1
I6TAH8_I68A0,cssf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,ssf_ac5654d2afd9,sf_ac5654d2afd9,False,1,1
NCAP_I34A1,cssf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,ssf_ac5654d2afd9,sf_ac5654d2afd9,False,1,1
HEM3_HUMAN,cssf_afe0fb52df15,1,HEM3_HUMAN,ssf_afe0fb52df15,sf_afe0fb52df15,False,1,1
SPTN1_CHICK,cssf_b0e1111705e5,1,SPTN1_CHICK,ssf_b0e1111705e5,sf_b0e1111705e5,False,1,1
HXK4_HUMAN,cssf_b10f2912eeeb,1,HXK4_HUMAN,ssf_b10f2912eeeb,sf_b10f2912eeeb,False,2,1
PSAE_PICP2,cssf_b20798b8020c,1,PSAE_PICP2,ssf_b20798b8020c,sf_b20798b8020c,False,1,1
SPG1_STRSG,cssf_b501bf9efe41,2,SPG1_STRSG;SPG2_STRSG,ssf_db4b6fc031cf,sf_db4b6fc031cf,False,1,1
SPG2_STRSG,cssf_b501bf9efe41,2,SPG1_STRSG;SPG2_STRSG,ssf_67e127763d3d,sf_67e127763d3d,False,1,1
TPMT_HUMAN,cssf_b5a772423035,1,TPMT_HUMAN,ssf_b5a772423035,sf_b5a772423035,False,1,1
LGK_LIPST,cssf_bba3db8a5a23,1,LGK_LIPST,ssf_bba3db8a5a23,sf_bba3db8a5a23,False,1,1
RBP1_HUMAN,cssf_bc19e1d23319,1,RBP1_HUMAN,ssf_bc19e1d23319,sf_bc19e1d23319,False,1,1
RS15_GEOSE,cssf_bcab9ac142f5,1,RS15_GEOSE,ssf_bcab9ac142f5,sf_bcab9ac142f5,False,1,1
RDRP_I33A0,cssf_bcc2d8a187a4,1,RDRP_I33A0,ssf_bcc2d8a187a4,sf_bcc2d8a187a4,False,1,1
CBS_HUMAN,cssf_c188af622fce,1,CBS_HUMAN,ssf_c188af622fce,sf_c188af622fce,False,1,1
CAPSD_AAV2S,cssf_c257cf3223e7,1,CAPSD_AAV2S,ssf_c257cf3223e7,sf_c257cf3223e7,False,1,1
PPM1D_HUMAN,cssf_c26e504ac4d4,1,PPM1D_HUMAN,ssf_c26e504ac4d4,sf_c26e504ac4d4,False,1,1
A4D664_9INFA,cssf_c55b9af61b07,1,A4D664_9INFA,ssf_c55b9af61b07,sf_c55b9af61b07,False,1,1
VRPI_BPT7,cssf_c5c95e85f55b,1,VRPI_BPT7,ssf_c5c95e85f55b,sf_c5c95e85f55b,False,1,1
RCRO_LAMBD,cssf_c6c5a726cc75,1,RCRO_LAMBD,ssf_c6c5a726cc75,sf_c6c5a726cc75,False,1,1
AACC1_PSEAI,cssf_c8ac09285ada,1,AACC1_PSEAI,ssf_c8ac09285ada,sf_c8ac09285ada,False,1,1
A0A247D711_LISMN,cssf_c9df9de4e934,1,A0A247D711_LISMN,ssf_c9df9de4e934,sf_c9df9de4e934,False,1,1
YNZC_BACSU,cssf_ca121528f828,1,YNZC_BACSU,ssf_ca121528f828,sf_ca121528f828,False,1,1
D7PM05_CLYGR,cssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,ssf_cba7b508de0e,sf_d5ee7a876864,True,1,1
GFP_AEQVI,cssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,ssf_cba7b508de0e,sf_d5ee7a876864,True,1,1
Q6WV12_9MAXI,cssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,ssf_cba7b508de0e,sf_e786ad53cfe1,True,1,1
Q8WTC7_9CNID,cssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,ssf_cba7b508de0e,sf_d5ee7a876864,True,1,1
Q837P4_ENTFA,cssf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,ssf_cdfaa4cd70ca,sf_cdfaa4cd70ca,False,1,1
Q837P5_ENTFA,cssf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,ssf_cdfaa4cd70ca,sf_cdfaa4cd70ca,False,1,1
SCIN_STAAR,cssf_cf940c8da196,1,SCIN_STAAR,ssf_cf940c8da196,sf_cf940c8da196,False,1,1
POLG_PESV,cssf_dc63c2b3ba7c,1,POLG_PESV,ssf_dc63c2b3ba7c,sf_dc63c2b3ba7c,False,1,1
S22A1_HUMAN,cssf_dedbcf3c34ac,1,S22A1_HUMAN,ssf_dedbcf3c34ac,sf_dedbcf3c34ac,False,2,1
CCDB_ECOLI,cssf_e2b2659337b1,1,CCDB_ECOLI,ssf_e2b2659337b1,sf_e2b2659337b1,False,1,1
ESTA_BACSU,cssf_eb7894768bb9,1,ESTA_BACSU,ssf_eb7894768bb9,sf_eb7894768bb9,False,1,1
PA_I34A1,cssf_ec35c0fe8f0c,1,PA_I34A1,ssf_ec35c0fe8f0c,sf_ec35c0fe8f0c,False,1,1
SERC_HUMAN,cssf_f2035d659d6a,1,SERC_HUMAN,ssf_f2035d659d6a,sf_f2035d659d6a,False,1,1
KCNJ2_MOUSE,cssf_f35e7c0d2382,1,KCNJ2_MOUSE,ssf_f35e7c0d2382,sf_f35e7c0d2382,False,2,1
CBPA2_HUMAN,cssf_f46e1f61009b,1,CBPA2_HUMAN,ssf_f46e1f61009b,sf_f46e1f61009b,False,1,1
HCP_LAMBD,cssf_f4afbafe8fe3,1,HCP_LAMBD,ssf_f4afbafe8fe3,sf_f4afbafe8fe3,False,1,1
PR40A_HUMAN,cssf_f662b12b6174,1,PR40A_HUMAN,ssf_f662b12b6174,sf_f662b12b6174,False,1,1
SQSTM_MOUSE,cssf_fd3d638b0af8,1,SQSTM_MOUSE,ssf_fd3d638b0af8,sf_fd3d638b0af8,False,1,1
VG08_BPP22,cssf_ffaeeb6011e9,1,VG08_BPP22,ssf_ffaeeb6011e9,sf_ffaeeb6011e9,False,1,1
RPC1_BP434,cssf_ffbe89385f32,1,RPC1_BP434,ssf_ffbe89385f32,sf_ffbe89385f32,False,1,1
