uniprot_id,family_id,family_size,family_members,sequence_family_id,structure_added_relationship,assay_count,assayed_sequence_count
TRPC_SACS2,ssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,sf_415fc4c4433b,False,1,1
TRPC_THEMA,ssf_415fc4c4433b,3,P84126_THETH;TRPC_SACS2;TRPC_THEMA,sf_415fc4c4433b,False,1,1
HECD1_HUMAN,ssf_45f2530c8897,1,HECD1_HUMAN,sf_45f2530c8897,False,1,1
MSH2_HUMAN,ssf_48cbc265b524,1,MSH2_HUMAN,sf_48cbc265b524,False,1,1
HSP82_YEAST,ssf_4ba74830b6b6,1,HSP82_YEAST,sf_4ba74830b6b6,False,3,1
REV_HV1H2,ssf_4ddd0adc0328,1,REV_HV1H2,sf_4ddd0adc0328,False,1,1
PAI1_HUMAN,ssf_51cbf66f0934,1,PAI1_HUMAN,sf_51cbf66f0934,False,1,1
TPOR_HUMAN,ssf_540579521118,1,TPOR_HUMAN,sf_540579521118,False,1,1
RASH_HUMAN,ssf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,sf_550503ae0437,False,1,1
RASK_HUMAN,ssf_550503ae0437,2,RASH_HUMAN;RASK_HUMAN,sf_550503ae0437,False,2,1
POLG_HCVJF,ssf_55f4d290e887,1,POLG_HCVJF,sf_55f4d290e887,False,1,1
SC6A4_HUMAN,ssf_5602ca7080fe,1,SC6A4_HUMAN,sf_5602ca7080fe,False,1,1
A4GRB6_PSEAI,ssf_579275b2407d,1,A4GRB6_PSEAI,sf_579275b2407d,False,1,1
SPA_STAAU,ssf_5e471b6b3e5d,1,SPA_STAAU,sf_5e471b6b3e5d,False,1,1
SBI_STAAM,ssf_60dadcbd5371,1,SBI_STAAM,sf_60dadcbd5371,False,1,1
CATR_CHLRE,ssf_61777c3573dc,1,CATR_CHLRE,sf_61777c3573dc,False,1,1
CBX4_HUMAN,ssf_63a1a4e89751,2,CBX4_HUMAN;SR43C_ARATH,sf_2ed9fd8d158e,True,1,1
SR43C_ARATH,ssf_63a1a4e89751,2,CBX4_HUMAN;SR43C_ARATH,sf_3b0bdc6eb756,True,1,1
ACE2_HUMAN,ssf_67d793b1df10,1,ACE2_HUMAN,sf_67d793b1df10,False,1,1
SPG2_STRSG,ssf_67e127763d3d,1,SPG2_STRSG,sf_67e127763d3d,False,1,1
POLG_CXB3N,ssf_6872ef7481de,1,POLG_CXB3N,sf_6872ef7481de,False,1,1
RNC_ECOLI,ssf_692c79c706c4,1,RNC_ECOLI,sf_692c79c706c4,False,1,1
A4_HUMAN,ssf_6a1f189f4e62,1,A4_HUMAN,sf_6a1f189f4e62,False,1,1
SOX30_HUMAN,ssf_6cc095ce3976,1,SOX30_HUMAN,sf_6cc095ce3976,False,1,1
PPARG_HUMAN,ssf_6d98a5313455,1,PPARG_HUMAN,sf_6d98a5313455,False,1,1
SHOC2_HUMAN,ssf_6f5083a5504d,1,SHOC2_HUMAN,sf_6f5083a5504d,False,1,1
KKA2_KLEPN,ssf_72f0344ad526,1,KKA2_KLEPN,sf_72f0344ad526,False,1,1
SPIKE_SARS2,ssf_761ae81d509c,1,SPIKE_SARS2,sf_761ae81d509c,False,2,1
Q53Z42_HUMAN,ssf_77b576379330,1,Q53Z42_HUMAN,sf_77b576379330,False,2,1
NUD15_HUMAN,ssf_7dd15a2e7599,1,NUD15_HUMAN,sf_7dd15a2e7599,False,1,1
CUE1_YEAST,ssf_7dd9b66382a6,1,CUE1_YEAST,sf_7dd9b66382a6,False,1,1
ILF3_HUMAN,ssf_8239bef973ac,1,ILF3_HUMAN,sf_8239bef973ac,False,1,1
OTC_HUMAN,ssf_85ec1183d131,1,OTC_HUMAN,sf_85ec1183d131,False,1,1
KCNE1_HUMAN,ssf_8626537a0620,1,KCNE1_HUMAN,sf_8626537a0620,False,2,1
SYUA_HUMAN,ssf_87dffde05f09,1,SYUA_HUMAN,sf_87dffde05f09,False,1,1
ANCSZ,ssf_88339869d8cb,1,ANCSZ,sf_88339869d8cb,False,1,1
GDIA_HUMAN,ssf_8931019bd293,1,GDIA_HUMAN,sf_8931019bd293,False,1,1
VKOR1_HUMAN,ssf_893ea5ec829f,1,VKOR1_HUMAN,sf_893ea5ec829f,False,2,1
ARGR_ECOLI,ssf_8af86fe1b209,1,ARGR_ECOLI,sf_8af86fe1b209,False,1,1
CALM1_HUMAN,ssf_90261541b92a,1,CALM1_HUMAN,sf_90261541b92a,False,1,1
ISDH_STAAW,ssf_952abe758b6a,1,ISDH_STAAW,sf_952abe758b6a,False,1,1
A0A1I9GEU1_NEIME,ssf_977f4be4ca9f,1,A0A1I9GEU1_NEIME,sf_977f4be4ca9f,False,1,1
A0A2Z5U3Z0_9INFA,ssf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,sf_97ae43962602,False,2,1
C6KNH7_9INFA,ssf_97ae43962602,2,A0A2Z5U3Z0_9INFA;C6KNH7_9INFA,sf_97ae43962602,False,1,1
CASP3_HUMAN,ssf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,sf_99e3b36fb3c0,False,1,1
CASP7_HUMAN,ssf_99e3b36fb3c0,2,CASP3_HUMAN;CASP7_HUMAN,sf_99e3b36fb3c0,False,1,1
FECA_ECOLI,ssf_9a3ea6c0c19c,1,FECA_ECOLI,sf_9a3ea6c0c19c,False,1,1
MTH3_HAEAE,ssf_9a90786f7320,1,MTH3_HAEAE,sf_9a90786f7320,False,1,1
NPC1_HUMAN,ssf_9d5fffe3ecc6,1,NPC1_HUMAN,sf_9d5fffe3ecc6,False,1,1
Q59976_STRSQ,ssf_9ddcf4dec5c1,1,Q59976_STRSQ,sf_9ddcf4dec5c1,False,1,1
MET_HUMAN,ssf_9e206bd97a80,1,MET_HUMAN,sf_9e206bd97a80,False,1,1
R1AB_SARS2,ssf_9fc1ecf8307b,1,R1AB_SARS2,sf_9fc1ecf8307b,False,1,1
MAFG_MOUSE,ssf_a1eda43852c5,1,MAFG_MOUSE,sf_a1eda43852c5,False,1,1
TCRG1_MOUSE,ssf_a21d29addbd9,1,TCRG1_MOUSE,sf_a21d29addbd9,False,1,1
GRB2_HUMAN,ssf_a2995dce9367,1,GRB2_HUMAN,sf_a2995dce9367,False,1,1
PABP_YEAST,ssf_a34f78cda012,1,PABP_YEAST,sf_a34f78cda012,False,1,1
P53_HUMAN,ssf_a3526b63cbae,1,P53_HUMAN,sf_a3526b63cbae,False,4,2
HMDH_HUMAN,ssf_a470df240675,1,HMDH_HUMAN,sf_a470df240675,False,1,1
UBE4B_HUMAN,ssf_a47101dcf200,1,UBE4B_HUMAN,sf_a47101dcf200,False,1,1
THO1_YEAST,ssf_a523304d9a92,1,THO1_YEAST,sf_a523304d9a92,False,1,1
A0A140D2T1_ZIKV,ssf_a5d49b9502ef,1,A0A140D2T1_ZIKV,sf_a5d49b9502ef,False,1,1
ODP2_GEOSE,ssf_a7d25cc6753c,1,ODP2_GEOSE,sf_a7d25cc6753c,False,1,1
PTEN_HUMAN,ssf_a81536eee23e,1,PTEN_HUMAN,sf_a81536eee23e,False,2,1
NUSA_ECOLI,ssf_a92a5d40f0e3,1,NUSA_ECOLI,sf_a92a5d40f0e3,False,1,1
UBC9_HUMAN,ssf_ab8b39992872,1,UBC9_HUMAN,sf_ab8b39992872,False,1,1
IF1_ECOLI,ssf_ab9383c4e9ad,1,IF1_ECOLI,sf_ab9383c4e9ad,False,1,1
YAIA_ECOLI,ssf_ac44f5c3e836,1,YAIA_ECOLI,sf_ac44f5c3e836,False,1,1
I6TAH8_I68A0,ssf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,sf_ac5654d2afd9,False,1,1
NCAP_I34A1,ssf_ac5654d2afd9,2,I6TAH8_I68A0;NCAP_I34A1,sf_ac5654d2afd9,False,1,1
HEM3_HUMAN,ssf_afe0fb52df15,1,HEM3_HUMAN,sf_afe0fb52df15,False,1,1
TADBP_HUMAN,ssf_b0af6d5185b3,1,TADBP_HUMAN,sf_b0af6d5185b3,False,1,1
SPTN1_CHICK,ssf_b0e1111705e5,1,SPTN1_CHICK,sf_b0e1111705e5,False,1,1
HXK4_HUMAN,ssf_b10f2912eeeb,1,HXK4_HUMAN,sf_b10f2912eeeb,False,2,1
PSAE_PICP2,ssf_b20798b8020c,1,PSAE_PICP2,sf_b20798b8020c,False,1,1
TPMT_HUMAN,ssf_b5a772423035,1,TPMT_HUMAN,sf_b5a772423035,False,1,1
LGK_LIPST,ssf_bba3db8a5a23,1,LGK_LIPST,sf_bba3db8a5a23,False,1,1
RBP1_HUMAN,ssf_bc19e1d23319,1,RBP1_HUMAN,sf_bc19e1d23319,False,1,1
RS15_GEOSE,ssf_bcab9ac142f5,1,RS15_GEOSE,sf_bcab9ac142f5,False,1,1
RDRP_I33A0,ssf_bcc2d8a187a4,1,RDRP_I33A0,sf_bcc2d8a187a4,False,1,1
CBS_HUMAN,ssf_c188af622fce,1,CBS_HUMAN,sf_c188af622fce,False,1,1
CAPSD_AAV2S,ssf_c257cf3223e7,1,CAPSD_AAV2S,sf_c257cf3223e7,False,1,1
PPM1D_HUMAN,ssf_c26e504ac4d4,1,PPM1D_HUMAN,sf_c26e504ac4d4,False,1,1
SRC_HUMAN,ssf_c38d9b4005f8,1,SRC_HUMAN,sf_c38d9b4005f8,False,3,1
A4D664_9INFA,ssf_c55b9af61b07,1,A4D664_9INFA,sf_c55b9af61b07,False,1,1
VRPI_BPT7,ssf_c5c95e85f55b,1,VRPI_BPT7,sf_c5c95e85f55b,False,1,1
RCRO_LAMBD,ssf_c6c5a726cc75,1,RCRO_LAMBD,sf_c6c5a726cc75,False,1,1
AACC1_PSEAI,ssf_c8ac09285ada,1,AACC1_PSEAI,sf_c8ac09285ada,False,1,1
A0A247D711_LISMN,ssf_c9df9de4e934,1,A0A247D711_LISMN,sf_c9df9de4e934,False,1,1
YNZC_BACSU,ssf_ca121528f828,1,YNZC_BACSU,sf_ca121528f828,False,1,1
D7PM05_CLYGR,ssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,sf_d5ee7a876864,True,1,1
GFP_AEQVI,ssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,sf_d5ee7a876864,True,1,1
Q6WV12_9MAXI,ssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,sf_e786ad53cfe1,True,1,1
Q8WTC7_9CNID,ssf_cba7b508de0e,4,D7PM05_CLYGR;GFP_AEQVI;Q6WV12_9MAXI;Q8WTC7_9CNID,sf_d5ee7a876864,True,1,1
Q837P4_ENTFA,ssf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,sf_cdfaa4cd70ca,False,1,1
Q837P5_ENTFA,ssf_cdfaa4cd70ca,2,Q837P4_ENTFA;Q837P5_ENTFA,sf_cdfaa4cd70ca,False,1,1
AMFR_HUMAN,ssf_cf49a18e12cd,1,AMFR_HUMAN,sf_cf49a18e12cd,False,1,1
SCIN_STAAR,ssf_cf940c8da196,1,SCIN_STAAR,sf_cf940c8da196,False,1,1
DLG4_HUMAN,ssf_d98da1f7d712,2,DLG4_HUMAN;DLG4_RAT,sf_d98da1f7d712,False,1,1
DLG4_RAT,ssf_d98da1f7d712,2,DLG4_HUMAN;DLG4_RAT,sf_d98da1f7d712,False,1,1
SPG1_STRSG,ssf_db4b6fc031cf,1,SPG1_STRSG,sf_db4b6fc031cf,False,1,1
POLG_PESV,ssf_dc63c2b3ba7c,1,POLG_PESV,sf_dc63c2b3ba7c,False,1,1
S22A1_HUMAN,ssf_dedbcf3c34ac,1,S22A1_HUMAN,sf_dedbcf3c34ac,False,2,1
ADRB2_HUMAN,ssf_e2a3e4f1f860,1,ADRB2_HUMAN,sf_e2a3e4f1f860,False,1,1
CCDB_ECOLI,ssf_e2b2659337b1,1,CCDB_ECOLI,sf_e2b2659337b1,False,1,1
ESTA_BACSU,ssf_eb7894768bb9,1,ESTA_BACSU,sf_eb7894768bb9,False,1,1
PA_I34A1,ssf_ec35c0fe8f0c,1,PA_I34A1,sf_ec35c0fe8f0c,False,1,1
SERC_HUMAN,ssf_f2035d659d6a,1,SERC_HUMAN,sf_f2035d659d6a,False,1,1
KCNJ2_MOUSE,ssf_f35e7c0d2382,1,KCNJ2_MOUSE,sf_f35e7c0d2382,False,2,1
CBPA2_HUMAN,ssf_f46e1f61009b,1,CBPA2_HUMAN,sf_f46e1f61009b,False,1,1
HCP_LAMBD,ssf_f4afbafe8fe3,1,HCP_LAMBD,sf_f4afbafe8fe3,False,1,1
PR40A_HUMAN,ssf_f662b12b6174,1,PR40A_HUMAN,sf_f662b12b6174,False,1,1
SQSTM_MOUSE,ssf_fd3d638b0af8,1,SQSTM_MOUSE,sf_fd3d638b0af8,False,1,1
VG08_BPP22,ssf_ffaeeb6011e9,1,VG08_BPP22,sf_ffaeeb6011e9,False,1,1
RPC1_BP434,ssf_ffbe89385f32,1,RPC1_BP434,sf_ffbe89385f32,False,1,1
