protein_a,protein_b,direction_count,reciprocal_minimum_tm_score,reciprocal_minimum_coverage,reciprocal_minimum_lddt,reciprocal_minimum_homology_probability,maximum_sequence_identity,maximum_alignment_length,minimum_e_value,minimum_bit_score,qualifies_structure_edge,protein_a_family_id,protein_b_family_id
A0A140D2T1_ZIKV,CASP3_HUMAN,2,0.1424,0.895,0.1982,0.01,0.016,600,0.1859,14,False,ssf_a5d49b9502ef,ssf_99e3b36fb3c0
A0A140D2T1_ZIKV,CASP7_HUMAN,2,0.1313,0.718,0.194,0.009,0.007,529,0.167,13,False,ssf_a5d49b9502ef,ssf_99e3b36fb3c0
A0A140D2T1_ZIKV,CATR_CHLRE,2,0.07524,0.131,0.3212,0.0,0.087,98,0.1946,7,False,ssf_a5d49b9502ef,ssf_61777c3573dc
A0A140D2T1_ZIKV,CBPA2_HUMAN,2,0.09313,0.145,0.2853,0.0,0.059,84,0.2521,9,False,ssf_a5d49b9502ef,ssf_f46e1f61009b
A0A140D2T1_ZIKV,CBS_HUMAN,2,0.178,0.841,0.202,0.016,0.007,776,0.1839,17,False,ssf_a5d49b9502ef,ssf_c188af622fce
A0A140D2T1_ZIKV,CBX4_HUMAN,2,0.05051,0.339,0.2506,0.0,0.011,200,0.1686,5,False,ssf_a5d49b9502ef,ssf_63a1a4e89751
A0A140D2T1_ZIKV,CCDB_ECOLI,2,0.1037,0.851,0.2021,0.0,0.004,449,0.2076,10,False,ssf_a5d49b9502ef,ssf_e2b2659337b1
A0A140D2T1_ZIKV,CCR5_HUMAN,2,0.1783,0.651,0.2314,0.02,0.023,604,0.2045,18,False,ssf_a5d49b9502ef,ssf_2fd7d813c6f4
A0A140D2T1_ZIKV,CD19_HUMAN,2,0.1409,0.513,0.1688,0.01,0.021,556,0.1452,14,False,ssf_a5d49b9502ef,ssf_1ca77773c7d8
A0A140D2T1_ZIKV,CP2C9_HUMAN,2,0.1762,0.875,0.1796,0.016,0.008,719,0.1778,17,False,ssf_a5d49b9502ef,ssf_1d3a8e32222c
A0A140D2T1_ZIKV,CSN4_MOUSE,2,0.08822,0.587,0.2533,0.0,0.006,304,0.2512,8,False,ssf_a5d49b9502ef,ssf_322a3fa1e236
A0A140D2T1_ZIKV,CUE1_YEAST,2,0.06325,0.722,0.1822,0.0,0.002,378,0.2037,6,False,ssf_a5d49b9502ef,ssf_7dd9b66382a6
A0A140D2T1_ZIKV,D7PM05_CLYGR,2,0.1191,0.784,0.2354,0.007,0.015,514,0.1631,11,False,ssf_a5d49b9502ef,ssf_cba7b508de0e
A0A140D2T1_ZIKV,DLG4_HUMAN,2,0.1238,0.893,0.1921,0.008,0.011,1075,0.1425,12,False,ssf_a5d49b9502ef,ssf_d98da1f7d712
A0A140D2T1_ZIKV,DLG4_RAT,2,0.1373,0.962,0.2025,0.009,0.011,1043,0.1571,13,False,ssf_a5d49b9502ef,ssf_d98da1f7d712
A0A140D2T1_ZIKV,DN7A_SACS2,2,0.06506,0.377,0.1814,0.0,0.014,201,0.1863,6,False,ssf_a5d49b9502ef,ssf_0500559dbf7c
A0A140D2T1_ZIKV,DNJA1_HUMAN,2,0.09149,0.109,0.5315,0.0,0.05,60,0.2994,9,False,ssf_a5d49b9502ef,ssf_3bc8071abc2c
A0A140D2T1_ZIKV,DOCK1_MOUSE,2,0.07229,0.188,0.2117,0.0,0.018,439,0.1843,7,False,ssf_a5d49b9502ef,ssf_09af8f8b7309
A0A140D2T1_ZIKV,DYR_ECOLI,2,0.1266,0.95,0.1824,0.008,0.009,549,0.2119,12,False,ssf_a5d49b9502ef,ssf_0932cd92de6e
A0A140D2T1_ZIKV,ENVZ_ECOLI,2,0.08779,0.585,0.5217,0.0,0.006,303,0.2982,8,False,ssf_a5d49b9502ef,ssf_2ee5fd080c0f
A0A140D2T1_ZIKV,ENV_HV1BR,2,0.1511,0.616,0.2168,0.011,0.015,844,0.1879,15,False,ssf_a5d49b9502ef,ssf_1bf288bd319a
A0A140D2T1_ZIKV,EPHB2_HUMAN,2,0.07827,0.163,0.3447,0.0,0.029,103,0.2139,7,False,ssf_a5d49b9502ef,ssf_1a40a2a2ccdc
A0A140D2T1_ZIKV,ESTA_BACSU,2,0.1489,0.75,0.2363,0.01,0.012,466,0.2127,14,False,ssf_a5d49b9502ef,ssf_eb7894768bb9
A0A140D2T1_ZIKV,FECA_ECOLI,2,0.08015,0.72,0.2193,0.0,0.01,380,0.1915,8,False,ssf_a5d49b9502ef,ssf_9a3ea6c0c19c
A0A140D2T1_ZIKV,FKBP3_HUMAN,2,0.08548,0.742,0.1946,0.0,0.012,385,0.2146,8,False,ssf_a5d49b9502ef,ssf_178ecc1910b6
A0A140D2T1_ZIKV,GAL4_YEAST,2,0.1357,0.583,0.2084,0.009,0.011,825,0.1708,13,False,ssf_a5d49b9502ef,ssf_2be67f569203
A0A140D2T1_ZIKV,GDIA_HUMAN,2,0.2561,0.881,0.2064,0.057,0.017,699,0.2679,25,False,ssf_a5d49b9502ef,ssf_8931019bd293
A0A140D2T1_ZIKV,GFP_AEQVI,2,0.1756,0.808,0.2452,0.016,0.014,483,0.2397,17,False,ssf_a5d49b9502ef,ssf_cba7b508de0e
A0A140D2T1_ZIKV,GRB2_HUMAN,2,0.142,0.968,0.1893,0.01,0.011,604,0.2049,14,False,ssf_a5d49b9502ef,ssf_a2995dce9367
A0A140D2T1_ZIKV,HCP_LAMBD,2,0.05734,0.062,0.4511,0.0,0.018,55,0.2362,5,False,ssf_a5d49b9502ef,ssf_f4afbafe8fe3
A0A140D2T1_ZIKV,HECD1_HUMAN,2,0.06173,0.367,0.2104,0.0,0.028,285,0.1529,6,False,ssf_a5d49b9502ef,ssf_45f2530c8897
A0A140D2T1_ZIKV,HEM3_HUMAN,2,0.1612,0.879,0.1796,0.02,0.013,662,0.1827,18,False,ssf_a5d49b9502ef,ssf_afe0fb52df15
A0A140D2T1_ZIKV,HMDH_HUMAN,2,0.1178,0.48,0.215,0.007,0.02,936,0.1493,11,False,ssf_a5d49b9502ef,ssf_a470df240675
A0A140D2T1_ZIKV,HSP82_YEAST,2,0.1758,0.734,0.2237,0.016,0.018,753,0.2012,17,False,ssf_a5d49b9502ef,ssf_4ba74830b6b6
A0A140D2T1_ZIKV,HXK4_HUMAN,2,0.2351,0.852,0.209,0.045,0.011,711,0.2419,23,False,ssf_a5d49b9502ef,ssf_b10f2912eeeb
A0A140D2T1_ZIKV,I6TAH8_I68A0,2,0.2405,0.918,0.1796,0.051,0.017,742,0.2415,24,False,ssf_a5d49b9502ef,ssf_ac5654d2afd9
A0A140D2T1_ZIKV,IF1_ECOLI,2,0.07109,0.423,0.2202,0.0,0.012,398,0.2025,7,False,ssf_a5d49b9502ef,ssf_ab9383c4e9ad
A0A140D2T1_ZIKV,ILF3_HUMAN,2,0.08049,0.696,0.2431,0.0,0.008,365,0.2191,8,False,ssf_a5d49b9502ef,ssf_8239bef973ac
A0A140D2T1_ZIKV,ISDH_STAAW,2,0.07617,0.089,0.5754,0.0,0.044,45,0.3114,7,False,ssf_a5d49b9502ef,ssf_952abe758b6a
A0A140D2T1_ZIKV,KCNE1_HUMAN,2,0.07265,0.302,0.2685,0.0,0.009,414,0.1481,8,False,ssf_a5d49b9502ef,ssf_8626537a0620
A0A140D2T1_ZIKV,KCNJ2_MOUSE,2,0.1824,0.708,0.209,0.02,0.017,526,0.1938,18,False,ssf_a5d49b9502ef,ssf_f35e7c0d2382
A0A140D2T1_ZIKV,KKA2_KLEPN,2,0.1532,0.815,0.1651,0.011,0.003,511,0.1989,15,False,ssf_a5d49b9502ef,ssf_72f0344ad526
A0A140D2T1_ZIKV,LGK_LIPST,2,0.195,0.927,0.1919,0.024,0.026,722,0.2054,19,False,ssf_a5d49b9502ef,ssf_bba3db8a5a23
A0A140D2T1_ZIKV,MAFG_MOUSE,2,0.05539,0.063,0.3963,0.0,0.121,33,0.3004,5,False,ssf_a5d49b9502ef,ssf_a1eda43852c5
A0A140D2T1_ZIKV,MBD11_ARATH,2,0.07403,0.56,0.296,0.0,0.013,389,0.2245,7,False,ssf_a5d49b9502ef,ssf_029b997580c1
A0A140D2T1_ZIKV,MET_HUMAN,2,0.1682,0.889,0.2192,0.014,0.013,588,0.2099,16,False,ssf_a5d49b9502ef,ssf_9e206bd97a80
A0A140D2T1_ZIKV,MK01_HUMAN,2,0.1705,0.806,0.1954,0.016,0.019,567,0.1935,17,False,ssf_a5d49b9502ef,ssf_29a8f9564eb0
A0A140D2T1_ZIKV,MLAC_ECOLI,2,0.1258,0.7,0.2546,0.008,0.013,454,0.1837,12,False,ssf_a5d49b9502ef,ssf_2185c9b20e14
A0A140D2T1_ZIKV,MSH2_HUMAN,2,0.1359,0.533,0.1869,0.011,0.013,846,0.1772,15,False,ssf_a5d49b9502ef,ssf_48cbc265b524
A0A140D2T1_ZIKV,MTH3_HAEAE,2,0.1875,0.888,0.2297,0.02,0.019,655,0.2216,18,False,ssf_a5d49b9502ef,ssf_9a90786f7320
A0A140D2T1_ZIKV,MTHR_HUMAN,2,0.1903,0.88,0.1872,0.024,0.007,876,0.2103,19,False,ssf_a5d49b9502ef,ssf_095a60e097b5
A0A140D2T1_ZIKV,MYO3_YEAST,2,0.06056,0.589,0.1275,0.0,0.01,371,0.1718,6,False,ssf_a5d49b9502ef,ssf_09af8f8b7309
A0A140D2T1_ZIKV,NCAP_I34A1,2,0.2374,0.916,0.1767,0.045,0.012,739,0.2382,23,False,ssf_a5d49b9502ef,ssf_ac5654d2afd9
A0A140D2T1_ZIKV,NKX31_HUMAN,2,0.07359,0.119,0.3918,0.0,0.041,73,0.2303,7,False,ssf_a5d49b9502ef,ssf_3de478b56341
A0A140D2T1_ZIKV,NPC1_HUMAN,2,0.1418,0.714,0.1747,0.01,0.012,1069,0.2124,14,False,ssf_a5d49b9502ef,ssf_9d5fffe3ecc6
A0A140D2T1_ZIKV,NUD15_HUMAN,2,0.1082,0.945,0.1739,0.0,0.005,573,0.1697,10,False,ssf_a5d49b9502ef,ssf_7dd15a2e7599
A0A140D2T1_ZIKV,NUSA_ECOLI,2,0.07617,0.573,0.4155,0.0,0.016,311,0.2506,7,False,ssf_a5d49b9502ef,ssf_a92a5d40f0e3
A0A140D2T1_ZIKV,NUSG_MYCTU,2,0.06983,0.351,0.3708,0.0,0.01,191,0.281,6,False,ssf_a5d49b9502ef,ssf_12ebdb52f01c
A0A140D2T1_ZIKV,OBSCN_HUMAN,2,0.07542,0.315,0.2725,0.0,0.005,174,0.2164,7,False,ssf_a5d49b9502ef,ssf_09af8f8b7309
A0A140D2T1_ZIKV,ODP2_GEOSE,2,0.04061,0.512,0.3506,0.0,0.003,280,0.196,4,False,ssf_a5d49b9502ef,ssf_a7d25cc6753c
A0A140D2T1_ZIKV,OTC_HUMAN,2,0.1708,0.898,0.1851,0.014,0.013,679,0.1935,16,False,ssf_a5d49b9502ef,ssf_85ec1183d131
A0A140D2T1_ZIKV,OTU7A_HUMAN,2,0.04108,0.194,0.3437,0.0,0.026,309,0.2044,4,False,ssf_a5d49b9502ef,ssf_24059a2f71bf
A0A140D2T1_ZIKV,OXDA_RHOTO,2,0.1678,0.77,0.1711,0.014,0.012,636,0.1893,16,False,ssf_a5d49b9502ef,ssf_08db490a0d52
A0A140D2T1_ZIKV,P53_HUMAN,2,0.1512,0.823,0.15,0.011,0.019,623,0.1661,15,False,ssf_a5d49b9502ef,ssf_a3526b63cbae
A0A140D2T1_ZIKV,P84126_THETH,2,0.1338,0.823,0.2198,0.009,0.017,573,0.177,13,False,ssf_a5d49b9502ef,ssf_415fc4c4433b
A0A140D2T1_ZIKV,PABP_YEAST,2,0.1751,0.681,0.2323,0.016,0.009,708,0.1837,17,False,ssf_a5d49b9502ef,ssf_a34f78cda012
A0A140D2T1_ZIKV,PAI1_HUMAN,2,0.1806,0.891,0.1885,0.02,0.014,711,0.1958,18,False,ssf_a5d49b9502ef,ssf_51cbf66f0934
A0A140D2T1_ZIKV,PA_I34A1,2,0.1611,0.574,0.2401,0.014,0.011,690,0.1858,16,False,ssf_a5d49b9502ef,ssf_ec35c0fe8f0c
A0A140D2T1_ZIKV,PHOT_CHLRE,2,0.1143,0.839,0.2101,0.007,0.006,451,0.2183,11,False,ssf_a5d49b9502ef,ssf_3193156583c0
A0A140D2T1_ZIKV,PIN1_HUMAN,2,0.05223,0.474,0.1888,0.0,0.008,248,0.1754,5,False,ssf_a5d49b9502ef,ssf_27b2fd965bcd
A0A140D2T1_ZIKV,PITX2_HUMAN,2,0.07568,0.119,0.4258,0.0,0.071,70,0.2741,7,False,ssf_a5d49b9502ef,ssf_3de478b56341
A0A140D2T1_ZIKV,PKN1_HUMAN,2,0.09845,0.589,0.5341,0.0,0.013,300,0.3189,9,False,ssf_a5d49b9502ef,ssf_32b373a919b9
A0A140D2T1_ZIKV,POLG_CXB3N,2,0.08931,0.913,0.1546,0.0,0.005,2245,0.184,8,False,ssf_a5d49b9502ef,ssf_6872ef7481de
A0A140D2T1_ZIKV,POLG_DEN26,2,0.1551,0.599,0.199,0.011,0.018,768,0.1958,15,False,ssf_a5d49b9502ef,ssf_1d81bb997017
A0A140D2T1_ZIKV,POLG_HCVJF,2,0.1493,0.955,0.1872,0.01,0.011,620,0.1993,14,False,ssf_a5d49b9502ef,ssf_55f4d290e887
A0A140D2T1_ZIKV,POLG_PESV,2,0.06996,0.855,0.1668,0.0,0.002,439,0.1997,6,False,ssf_a5d49b9502ef,ssf_dc63c2b3ba7c
A0A140D2T1_ZIKV,PPARG_HUMAN,2,0.2354,0.832,0.264,0.045,0.016,715,0.2356,23,False,ssf_a5d49b9502ef,ssf_6d98a5313455
A0A140D2T1_ZIKV,PPM1D_HUMAN,2,0.2109,0.744,0.2326,0.029,0.01,733,0.225,20,False,ssf_a5d49b9502ef,ssf_c26e504ac4d4
A0A140D2T1_ZIKV,PR40A_HUMAN,2,0.07141,0.115,0.4048,0.0,0.037,81,0.2232,7,False,ssf_a5d49b9502ef,ssf_f662b12b6174
A0A140D2T1_ZIKV,PRKN_HUMAN,2,0.1971,0.643,0.2247,0.024,0.013,582,0.2021,19,False,ssf_a5d49b9502ef,ssf_044a6e3db01c
A0A140D2T1_ZIKV,PSAE_PICP2,2,0.06635,0.395,0.2594,0.0,0.022,226,0.1776,6,False,ssf_a5d49b9502ef,ssf_b20798b8020c
A0A140D2T1_ZIKV,PTEN_HUMAN,2,0.1758,0.724,0.18,0.016,0.016,558,0.1906,17,False,ssf_a5d49b9502ef,ssf_a81536eee23e
A0A140D2T1_ZIKV,Q2N0S5_9HIV1,2,0.1597,0.609,0.2109,0.011,0.011,771,0.2002,15,False,ssf_a5d49b9502ef,ssf_1bf288bd319a
A0A140D2T1_ZIKV,Q53Z42_HUMAN,2,0.1602,0.726,0.2427,0.014,0.012,554,0.1814,16,False,ssf_a5d49b9502ef,ssf_77b576379330
A0A140D2T1_ZIKV,Q59976_STRSQ,2,0.2377,0.888,0.1972,0.045,0.012,718,0.2382,23,False,ssf_a5d49b9502ef,ssf_9ddcf4dec5c1
A0A140D2T1_ZIKV,Q6WV12_9MAXI,2,0.1645,0.74,0.2689,0.014,0.015,455,0.2355,16,False,ssf_a5d49b9502ef,ssf_cba7b508de0e
A0A140D2T1_ZIKV,Q837P4_ENTFA,2,0.2225,0.788,0.2112,0.04,0.013,655,0.2353,22,False,ssf_a5d49b9502ef,ssf_cdfaa4cd70ca
A0A140D2T1_ZIKV,Q837P5_ENTFA,2,0.228,0.784,0.2196,0.04,0.012,639,0.2384,22,False,ssf_a5d49b9502ef,ssf_cdfaa4cd70ca
A0A140D2T1_ZIKV,Q8WTC7_9CNID,2,0.1744,0.808,0.247,0.016,0.014,484,0.2378,17,False,ssf_a5d49b9502ef,ssf_cba7b508de0e
A0A140D2T1_ZIKV,R1AB_SARS2,2,0.1715,0.931,0.2105,0.016,0.01,659,0.2111,17,False,ssf_a5d49b9502ef,ssf_9fc1ecf8307b
A0A140D2T1_ZIKV,RAD_ANTMA,2,0.05948,0.109,0.3663,0.0,0.029,75,0.2175,6,False,ssf_a5d49b9502ef,ssf_0eef6f01f081
A0A140D2T1_ZIKV,RASH_HUMAN,2,0.1345,0.899,0.2693,0.009,0.016,533,0.2042,13,False,ssf_a5d49b9502ef,ssf_550503ae0437
A0A140D2T1_ZIKV,RASK_HUMAN,2,0.1233,0.831,0.212,0.008,0.017,525,0.1871,12,False,ssf_a5d49b9502ef,ssf_550503ae0437
A0A140D2T1_ZIKV,RBP1_HUMAN,2,0.08417,0.466,0.5155,0.0,0.012,296,0.2636,8,False,ssf_a5d49b9502ef,ssf_bc19e1d23319
A0A140D2T1_ZIKV,RCD1_ARATH,2,0.07663,0.841,0.2681,0.0,0.004,435,0.2405,7,False,ssf_a5d49b9502ef,ssf_329d15de34fe
A0A140D2T1_ZIKV,RCRO_LAMBD,2,0.06493,0.361,0.2678,0.0,0.0,188,0.1997,6,False,ssf_a5d49b9502ef,ssf_c6c5a726cc75
A0A140D2T1_ZIKV,RD23A_HUMAN,2,0.04545,0.115,0.2968,0.0,0.04,74,0.2034,4,False,ssf_a5d49b9502ef,ssf_3998cbaed1a7
A0A140D2T1_ZIKV,RDRP_I33A0,2,0.1902,0.704,0.1877,0.024,0.021,708,0.2229,19,False,ssf_a5d49b9502ef,ssf_bcc2d8a187a4
A0A140D2T1_ZIKV,REV_HV1H2,2,0.09843,0.53,0.2553,0.0,0.014,272,0.2074,9,False,ssf_a5d49b9502ef,ssf_4ddd0adc0328
A0A140D2T1_ZIKV,RFAH_ECOLI,2,0.06441,0.484,0.2721,0.0,0.003,258,0.1905,6,False,ssf_a5d49b9502ef,ssf_12ebdb52f01c
A0A140D2T1_ZIKV,RL20_AQUAE,2,0.06014,0.119,0.3701,0.0,0.058,86,0.2106,6,False,ssf_a5d49b9502ef,ssf_310c599ef29a
A0A140D2T1_ZIKV,RL40A_YEAST,2,0.1024,0.48,0.1781,0.0,0.006,303,0.1948,10,False,ssf_a5d49b9502ef,ssf_09950e3c22ee
A0A140D2T1_ZIKV,RNC_ECOLI,2,0.1855,0.85,0.2464,0.02,0.014,498,0.2565,18,False,ssf_a5d49b9502ef,ssf_692c79c706c4
A0A140D2T1_ZIKV,RPC1_BP434,2,0.06936,0.282,0.2335,0.0,0.019,251,0.1769,7,False,ssf_a5d49b9502ef,ssf_ffbe89385f32
A0A140D2T1_ZIKV,RS15_GEOSE,2,0.07316,0.079,0.462,0.0,0.02,95,0.2588,7,False,ssf_a5d49b9502ef,ssf_bcab9ac142f5
A0A140D2T1_ZIKV,S22A1_HUMAN,2,0.2277,0.922,0.1891,0.04,0.016,775,0.2349,22,False,ssf_a5d49b9502ef,ssf_dedbcf3c34ac
A0A140D2T1_ZIKV,SAV1_MOUSE,2,0.05484,0.157,0.2427,0.0,0.048,281,0.1879,5,False,ssf_a5d49b9502ef,ssf_0d40c1bb820d
A0A140D2T1_ZIKV,SBI_STAAM,2,0.07286,0.083,0.5624,0.0,0.0,43,0.2856,7,False,ssf_a5d49b9502ef,ssf_60dadcbd5371
A0A140D2T1_ZIKV,SC6A4_HUMAN,2,0.2081,0.803,0.1873,0.029,0.018,752,0.2275,20,False,ssf_a5d49b9502ef,ssf_5602ca7080fe
A0A140D2T1_ZIKV,SCIN_STAAR,2,0.08152,0.462,0.4441,0.0,0.012,238,0.2744,8,False,ssf_a5d49b9502ef,ssf_cf940c8da196
A0A140D2T1_ZIKV,SDA_BACSU,2,0.06492,0.095,0.4929,0.0,0.058,51,0.2341,6,False,ssf_a5d49b9502ef,ssf_3a5047c87583
A0A140D2T1_ZIKV,SERC_HUMAN,2,0.2156,0.768,0.2228,0.034,0.019,619,0.2445,21,False,ssf_a5d49b9502ef,ssf_f2035d659d6a
A0A140D2T1_ZIKV,SHOC2_HUMAN,2,0.1469,0.634,0.151,0.01,0.016,854,0.1545,14,False,ssf_a5d49b9502ef,ssf_6f5083a5504d
A0A140D2T1_ZIKV,SOX30_HUMAN,2,0.06889,0.433,0.3624,0.0,0.012,233,0.2147,6,False,ssf_a5d49b9502ef,ssf_6cc095ce3976
A0A140D2T1_ZIKV,SPA_STAAU,2,0.05986,0.079,0.4299,0.0,0.066,45,0.2306,5,False,ssf_a5d49b9502ef,ssf_5e471b6b3e5d
A0A140D2T1_ZIKV,SPG1_STRSG,2,0.1717,0.864,0.1591,0.016,0.016,714,0.1796,17,False,ssf_a5d49b9502ef,ssf_db4b6fc031cf
A0A140D2T1_ZIKV,SPG2_STRSG,2,0.05691,0.163,0.3566,0.0,0.01,436,0.2173,5,False,ssf_a5d49b9502ef,ssf_67e127763d3d
A0A140D2T1_ZIKV,SPIKE_SARS2,2,0.1289,0.339,0.227,0.008,0.039,604,0.1979,12,False,ssf_a5d49b9502ef,ssf_761ae81d509c
A0A140D2T1_ZIKV,SPTN1_CHICK,2,0.07764,0.502,0.241,0.0,0.03,260,0.2223,7,False,ssf_a5d49b9502ef,ssf_b0e1111705e5
A0A140D2T1_ZIKV,SQSTM_MOUSE,2,0.04901,0.595,0.1405,0.0,0.006,440,0.1822,5,False,ssf_a5d49b9502ef,ssf_fd3d638b0af8
A0A140D2T1_ZIKV,SR43C_ARATH,2,0.07651,0.183,0.2985,0.0,0.042,94,0.284,7,False,ssf_a5d49b9502ef,ssf_63a1a4e89751
A0A140D2T1_ZIKV,SRBS1_HUMAN,2,0.06945,0.579,0.1853,0.0,0.003,303,0.1769,6,False,ssf_a5d49b9502ef,ssf_09af8f8b7309
A0A140D2T1_ZIKV,SRC_HUMAN,2,0.2084,0.802,0.1964,0.029,0.012,708,0.2123,20,False,ssf_a5d49b9502ef,ssf_c38d9b4005f8
A0A140D2T1_ZIKV,SUMO1_HUMAN,2,0.09392,0.188,0.2549,0.0,0.027,111,0.2029,9,False,ssf_a5d49b9502ef,ssf_19622d9f3f73
A0A140D2T1_ZIKV,SYUA_HUMAN,2,0.103,0.619,0.1246,0.0,0.011,347,0.1794,10,False,ssf_a5d49b9502ef,ssf_87dffde05f09
A0A140D2T1_ZIKV,TADBP_HUMAN,2,0.138,0.365,0.2422,0.009,0.018,545,0.1484,13,False,ssf_a5d49b9502ef,ssf_b0af6d5185b3
A0A140D2T1_ZIKV,TAT_HV1BR,2,0.06303,0.849,0.155,0.0,0.002,484,0.1474,6,False,ssf_a5d49b9502ef,ssf_0d06a357cd85
A0A140D2T1_ZIKV,TCRG1_MOUSE,2,0.03903,0.069,0.2667,0.0,0.035,56,0.1538,3,False,ssf_a5d49b9502ef,ssf_a21d29addbd9
A0A140D2T1_ZIKV,THO1_YEAST,2,0.04369,0.51,0.367,0.0,0.002,433,0.2035,4,False,ssf_a5d49b9502ef,ssf_a523304d9a92
A0A140D2T1_ZIKV,TNKS2_HUMAN,2,0.06242,0.103,0.3447,0.0,0.044,98,0.2015,7,False,ssf_a5d49b9502ef,ssf_1a40a2a2ccdc
A0A140D2T1_ZIKV,TPK1_HUMAN,2,0.1649,0.893,0.2177,0.014,0.01,589,0.2227,16,False,ssf_a5d49b9502ef,ssf_3c2e5ceba3be
A0A140D2T1_ZIKV,TPMT_HUMAN,2,0.1489,0.898,0.1926,0.01,0.004,603,0.2008,14,False,ssf_a5d49b9502ef,ssf_b5a772423035
A0A140D2T1_ZIKV,TPOR_HUMAN,2,0.1455,0.224,0.1811,0.01,0.05,803,0.1605,14,False,ssf_a5d49b9502ef,ssf_540579521118
