assay_id,uniprot_id,uniprot_accession,mapping_coverage,canonical_start,canonical_end,pfam_accession,pfam_name,clan_accession,clan_name,domain_start,domain_end,domain_score,overlap_residues,overlap_fraction_of_shorter,qualifies_curated_domain
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,1.0,1.0,1863.0,PF00533,BRCA1 C Terminus (BRCT) domain,CL0459,BRCT-like,1758,1841,1.2e-07,84,1.0,True
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,P38398,1.0,1.0,1863.0,PF12820,Serine-rich domain associated with BRCT,,,345,508,2.8e-77,164,1.0,True
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,C6KNH7,0.9946996466431095,1.0,566.0,PF00509,Haemagglutinin,,,29,566,0.0,538,1.0,True
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,P0DP23,1.0,1.0,149.0,PF13499,EF-hand domain pair,CL0220,EF_hand,12,73,3.3e-14,62,1.0,True
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,P0DP23,1.0,1.0,149.0,PF13499,EF-hand domain pair,CL0220,EF_hand,83,147,2.5e-19,65,1.0,True
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,P03135,1.0,1.0,735.0,PF00740,Parvovirus coat protein VP1/VP2,CL0605,ssDNA_NP_VP,213,708,0.0,496,1.0,True
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,P03135,1.0,1.0,735.0,PF08398,Phospholipase A2-like domain,CL0629,PLA2,43,122,5.3e-30,80,1.0,True
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Q9BXL7,1.0,1.0,1154.0,PF00619,Caspase recruitment domain,CL0041,Death,23,108,1.7e-14,86,1.0,True
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Q9BXL7,1.0,1.0,1154.0,PF00619,Caspase recruitment domain,CL0041,Death,23,108,1.7e-14,86,1.0,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,1.0,1.0,1368.0,PF13395,HNH endonuclease,CL0263,His-Me_finger,821,871,1.8e-12,51,1.0,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,1.0,1.0,1368.0,PF16592,REC lobe of CRISPR-associated endonuclease Cas9,CL0693,Cas9_lobe,181,712,0.0,532,1.0,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,1.0,1.0,1368.0,PF16593,Bridge helix of CRISPR-associated endonuclease Cas9,,,62,94,2.5e-10,33,1.0,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,1.0,1.0,1368.0,PF16595,PAM-interacting domain of CRISPR-associated endonuclease Cas9,,,1102,1358,2.1e-56,257,1.0,True
CAS9_STRP1_Spencer_2017_positive,CAS9_STRP1,Q99ZW2,1.0,1.0,1368.0,PF22702,Cas9 RuvC domain,CL0219,RNase_H,925,1099,7.6e-63,175,1.0,True
CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,P42574,0.9651162790697675,29.0,277.0,PF00656,Caspase domain,CL0093,Peptidase_CD,45,274,5.3e-71,230,1.0,True
CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,P55210,0.99644128113879,24.0,303.0,PF00656,Caspase domain,CL0093,Peptidase_CD,68,300,9.3e-71,233,1.0,True
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,P05434,1.0,21.0,92.0,PF13499,EF-hand domain pair,CL0220,EF_hand,28,91,1.5e-16,64,1.0,True
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,P05434,1.0,21.0,92.0,PF13499,EF-hand domain pair,CL0220,EF_hand,101,164,1.6e-11,0,0.0,False
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,P48052,1.0,23.0,94.0,PF00246,Zinc carboxypeptidase,CL0865,ZnExoPePases,129,405,2.7e-103,0,0.0,False
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,P48052,1.0,23.0,94.0,PF02244,Carboxypeptidase activation peptide,CL0570,PPP-I,29,102,1.5e-19,66,0.9166666666666666,True
CBS_HUMAN_Sun_2020,CBS_HUMAN,P35520,1.0,1.0,551.0,PF00291,Pyridoxal-phosphate dependent enzyme,CL0063,NADP_Rossmann,81,376,1.3e-71,296,1.0,True
CBS_HUMAN_Sun_2020,CBS_HUMAN,P35520,1.0,1.0,551.0,PF00571,CBS domain,,,420,468,0.001,49,1.0,True
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,O00257,1.0,12.0,61.0,PF00385,Chromo (CHRromatin Organisation MOdifier) domain,CL0010,SH3,11,60,7.7e-15,49,0.98,True
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,O00257,1.0,12.0,61.0,PF17218,CBX family C-terminal motif,,,534,559,2.4e-08,0,0.0,False
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,P62554,1.0,1.0,101.0,PF01845,CcdB protein,CL0010,SH3,2,100,6.7e-29,99,1.0,True
CCR5_HUMAN_Gill_2023,CCR5_HUMAN,P51681,1.0,1.0,352.0,PF00001,7 transmembrane receptor (rhodopsin family),CL0192,GPCR_A,47,297,8.6e-63,251,1.0,True
CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,P15391,1.0,1.0,556.0,PF28825,CD19 transmembrane domain,,,280,315,7.3e-16,36,1.0,True
CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,P11712,1.0,1.0,490.0,PF00067,Cytochrome P450,,,30,487,0.0,458,1.0,True
CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,P11712,1.0,1.0,490.0,PF00067,Cytochrome P450,,,30,487,0.0,458,1.0,True
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,O88544,0.9583333333333334,296.0,364.0,PF01399,PCI domain,CL0123,HTH,289,362,3.6e-15,67,0.9710144927536232,True
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,O88544,0.9583333333333334,296.0,364.0,PF18420,CSN4/RPN5/eIF3a helix turn helix domain,CL0123,HTH,365,406,3.5e-22,0,0.0,False
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,O88544,0.9583333333333334,296.0,364.0,PF22241,"PSMD12/CSN4, N-terminal",CL0020,TPR,5,219,2.6e-51,0,0.0,False
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,P38428,1.0,61.0,112.0,PF02845,CUE domain,CL0214,UBA,67,105,8.1e-09,39,1.0,True
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,P38428,1.0,61.0,112.0,PF18499,Ubc7p-binding region of Cue1,,,151,202,1.6e-20,0,0.0,False
D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,D7PM05,1.0,1.0,235.0,PF01353,Green fluorescent protein,CL0069,GFP,17,229,1.6e-57,213,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF00018,SH3 domain,CL0010,SH3,434,490,0.0004,57,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,65,149,1.5e-18,85,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,161,243,2.8e-17,83,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,314,388,4.8e-19,75,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF00625,Guanylate kinase,CL0023,P-loop_NTPase,534,710,1.6e-65,177,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF10600,PDZ-associated domain of NMDA receptors,,,245,312,5.7e-28,68,1.0,True
DLG4_HUMAN_Faure_2021,DLG4_HUMAN,P78352,1.0,1.0,724.0,PF10608,Polyubiquitination (PEST) N-terminal domain of MAGUK,,,31,64,1.3e-06,34,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF00018,SH3 domain,CL0010,SH3,434,490,0.002,57,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,65,149,1.5e-18,85,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,161,243,2.8e-17,83,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF00595,PDZ domain,CL0466,PDZ-like,314,388,4.8e-19,75,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF00625,Guanylate kinase,CL0023,P-loop_NTPase,534,710,1.6e-65,177,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF10600,PDZ-associated domain of NMDA receptors,,,245,312,5.7e-28,68,1.0,True
DLG4_RAT_McLaughlin_2012,DLG4_RAT,P31016,1.0,1.0,724.0,PF10608,Polyubiquitination (PEST) N-terminal domain of MAGUK,,,31,64,1.3e-06,34,1.0,True
DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,P61991,1.0,3.0,57.0,PF02294,7kD DNA-binding domain,CL0010,SH3,3,61,2.6e-36,55,1.0,True
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,1.0,5.0,69.0,PF00226,DnaJ domain,CL0392,Chaperone-J,6,65,8.9e-24,60,1.0,True
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,1.0,5.0,69.0,PF00684,DnaJ central domain,CL0895,DnaJ_CRD,134,200,5.9e-11,0,0.0,False
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,1.0,5.0,69.0,PF01556,DnaJ C terminal domain,,,108,133,1.3e-37,0,0.0,False
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,P31689,1.0,5.0,69.0,PF01556,DnaJ C terminal domain,,,201,329,1.3e-37,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF00018,SH3 domain,CL0010,SH3,15,62,6.7e-06,48,1.0,True
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF06920,"DHR-2, Lobe A",CL0020,TPR,1202,1330,5.6e-15,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF14429,C2 domain in Dock180 and Zizimin proteins,CL0154,C2,421,617,3.3e-61,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF16172,DOCK N-terminus,,,73,416,8.4e-96,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF20421,"DHR-2, Lobe C",CL0020,TPR,1508,1610,4.7e-18,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF20422,"DHR-2, Lobe B",,,1388,1468,1.5e-10,0,0.0,False
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE,Q8BUR4,1.0,4.0,69.0,PF23554,Dedicator of cytokinesis (DOCK) TPR region,CL0020,TPR,629,1152,0.0,0,0.0,False
DYR_ECOLI_Nguyen_2023,DYR_ECOLI,P0ABQ4,1.0,1.0,159.0,PF00186,Dihydrofolate reductase,CL0387,DHFred,1,158,6.1e-57,158,1.0,True
DYR_ECOLI_Thompson_2019,DYR_ECOLI,P0ABQ4,1.0,1.0,159.0,PF00186,Dihydrofolate reductase,CL0387,DHFred,1,158,6.1e-57,158,1.0,True
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,P0AEJ4,1.0,230.0,289.0,PF00512,His Kinase A (phospho-acceptor) domain,CL0025,His_Kinase_A,234,290,9.4e-09,56,0.9824561403508771,True
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,P0AEJ4,1.0,230.0,289.0,PF00672,HAMP domain,CL0681,HAMP,177,226,0.00026,0,0.0,False
ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,P0AEJ4,1.0,230.0,289.0,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A,334,439,5.2e-21,0,0.0,False
ENV_HV1BR_Haddox_2016,ENV_HV1BR,P03377,0.9988385598141696,1.0,861.0,PF00516,Envelope glycoprotein GP120,,,34,516,0.0,483,1.0,True
ENV_HV1BR_Haddox_2016,ENV_HV1BR,P03377,0.9988385598141696,1.0,861.0,PF00517,Retroviral envelope protein,,,535,724,1.7e-48,190,1.0,True
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF00041,Fibronectin type III domain,CL0159,E-set,326,423,6.4e-07,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF00041,Fibronectin type III domain,CL0159,E-set,439,523,5.5e-12,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF00536,SAM domain (Sterile alpha motif),CL0003,SAM,911,975,1.3e-17,62,0.9538461538461539,True
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF01404,Ephrin receptor ligand binding domain,CL0202,GBD,21,197,1.9e-72,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,CL0001,EGF,268,302,0.0011,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF07714,Protein tyrosine and serine/threonine kinase,CL0016,PKinase,621,880,4.9e-97,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF14575,Ephrin type-A receptor 2 transmembrane domain,,,544,617,4e-22,0,0.0,False
EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,P29323,1.0,914.0,979.0,PF25599,Ephrin cysteine rich domain,CL0001,EGF,198,256,8.9e-18,0,0.0,False
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,P37957,1.0,1.0,212.0,PF01674,Lipase (class 2),CL0028,AB_hydrolase,35,129,1.1e-09,95,1.0,True
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,P13036,1.0,35.0,106.0,PF00593,"TonB dependent receptor-like, beta-barrel",CL0193,MBB,325,741,9.1e-48,0,0.0,False
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,P13036,1.0,35.0,106.0,PF07660,Secretin and TonB N terminus short domain,CL0751,Secretin_N0,57,107,2.9e-07,50,0.9803921568627451,True
FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,P13036,1.0,35.0,106.0,PF07715,TonB-dependent Receptor Plug Domain,,,132,244,1.2e-16,0,0.0,False
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Q00688,1.0,5.0,73.0,PF00254,FKBP-type peptidyl-prolyl cis-trans isomerase,CL0487,FKBP,123,221,1.2e-28,0,0.0,False
FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,Q00688,1.0,5.0,73.0,PF18410,Basic tilted helix bundle domain,CL0306,HeH,6,77,6.2e-31,68,0.9855072463768116,True
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,P04386,1.0,1.0,881.0,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain,CL0914,Zn2_Cys6,9,47,2.6e-07,39,1.0,True
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,P04386,1.0,1.0,881.0,PF03902,Gal4-like dimerisation domain,,,50,93,3.5e-06,44,1.0,True
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,P04386,1.0,1.0,881.0,PF04082,Fungal specific transcription factor domain,CL0507,Fungal_trans,244,446,8e-21,203,1.0,True
GDIA_HUMAN_Silverstein_2021,GDIA_HUMAN,P31150,1.0,1.0,447.0,PF00996,GDP dissociation inhibitor,CL0063,NADP_Rossmann,1,435,0.0,435,1.0,True
GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,P42212,0.9957983193277311,1.0,238.0,PF01353,Green fluorescent protein,CL0069,GFP,14,227,8.9e-60,214,1.0,True
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,P62993,1.0,1.0,217.0,PF00017,SH2 domain,CL0541,SH2-like,60,135,1.2e-22,76,1.0,True
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,P62993,1.0,1.0,217.0,PF00018,SH3 domain,CL0010,SH3,4,50,4.5e-13,47,1.0,True
GRB2_HUMAN_Faure_2021,GRB2_HUMAN,P62993,1.0,1.0,217.0,PF00018,SH3 domain,CL0010,SH3,162,206,3.8e-13,45,1.0,True
HCP_LAMBD_Tsuboyama_2023_2L6Q,HCP_LAMBD,P68660,0.9818181818181818,3.0,56.0,PF02831,gpW,,,1,67,1.6e-34,54,1.0,True
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,0.9166666666666666,1269.0,1336.0,PF00632,HECT-domain (ubiquitin-transferase),CL0552,Hect,2232,2609,1.1e-59,0,0.0,False
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,0.9166666666666666,1269.0,1336.0,PF06701,Mib_herc2,CL0010,SH3,1277,1335,3.2e-15,59,1.0,True
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,0.9166666666666666,1269.0,1336.0,PF07738,Sad1 / UNC-like C-terminal,CL0202,GBD,1112,1239,5.8e-18,0,0.0,False
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,0.9166666666666666,1269.0,1336.0,PF12796,Ankyrin repeats (3 copies),CL0465,Ank,429,480,0.0031,0,0.0,False
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Q9ULT8,0.9166666666666666,1269.0,1336.0,PF18410,Basic tilted helix bundle domain,CL0306,HeH,1900,1959,3.6e-13,0,0.0,False
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,P08397,1.0,1.0,361.0,PF01379,"Porphobilinogen deaminase, dipyromethane cofactor binding domain",CL0177,PBP,21,232,9.9e-81,212,1.0,True
HEM3_HUMAN_Loggerenberg_2023,HEM3_HUMAN,P08397,1.0,1.0,361.0,PF03900,"Porphobilinogen deaminase, C-terminal domain",,,245,317,6.5e-17,73,1.0,True
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,P04035,1.0,1.0,888.0,PF00368,Hydroxymethylglutaryl-coenzyme A reductase,,,492,871,0.0,380,1.0,True
HMDH_HUMAN_Jiang_2019,HMDH_HUMAN,P04035,1.0,1.0,888.0,PF12349,Sterol-sensing domain of SREBP cleavage-activation,CL0322,RND_permease,87,222,6.7e-13,136,1.0,True
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,P02829,1.0,1.0,709.0,PF00183,Hsp90 protein,,,183,693,0.0,511,1.0,True
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,P02829,1.0,1.0,709.0,PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A,30,145,0.00035,116,1.0,True
HSP82_YEAST_Flynn_2019,HSP82_YEAST,P02829,1.0,1.0,709.0,PF00183,Hsp90 protein,,,183,693,0.0,511,1.0,True
HSP82_YEAST_Flynn_2019,HSP82_YEAST,P02829,1.0,1.0,709.0,PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A,30,145,0.00035,116,1.0,True
HSP82_YEAST_Mishra_2016,HSP82_YEAST,P02829,1.0,1.0,709.0,PF00183,Hsp90 protein,,,183,693,0.0,511,1.0,True
HSP82_YEAST_Mishra_2016,HSP82_YEAST,P02829,1.0,1.0,709.0,PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A,30,145,0.00035,116,1.0,True
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,P35557,1.0,1.0,465.0,PF00349,Hexokinase,CL0108,Actin_ATPase,16,215,2.3e-71,200,1.0,True
HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,P35557,1.0,1.0,465.0,PF03727,Hexokinase,CL0108,Actin_ATPase,222,455,3.8e-74,234,1.0,True
