panel_id,target_id,protein_id,sequence_sha256,sequence_length,family_id,exact_sequence_unseen,mmseqs_family_unseen,foldseek_structure_family_status,foldseek_structure_family_unseen,foldseek_structure_family_overlap_ids,pfam_clan_status,pfam_clan_unseen,pfam_clan_overlap_ids
human-domainome-v1,O14776_PF01846_897,O14776,11cdf887ec6714af792a8d96fb8b0a49800cb9aa7d24eb1c7598e19216cee3a7,59,confirmation-family-1e2b5819d76d,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14776_PF01846_955,O14776,713ec78370eab2d2d13ac4c3650898e55ebc703f5a8bd9f2ce796f1c791c9b0e,56,confirmation-family-36e4617b28c8,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14813_PF00046_92,O14813,9c0f6e0eed1f649d4d20fc8fd3428ad21a85b8a27f3c4467ea820c6df5a10f61,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,O14901_PF00096_395,O14901,432e7622b48bcaf7edf3b7a16e20c503cf1737340fd0a93fbd9a2d0e260e90bb,24,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14936_PF00595_488,O14936,0ed6082c8c833da7ff492dd4d0722d902a189c6efd95ebb5d0270ce09a96d99a,82,confirmation-family-de1ca9399cc9,True,True,undocumented,,,undocumented,,
human-domainome-v1,O15151_PF00641_299,O15151,91a6ff78edd377e782874b09c4224be1444a50ea4879cc40fd28cfde151e8d7a,31,confirmation-family-86ceb3ee17ab,True,True,undocumented,,,undocumented,,
human-domainome-v1,O15265_PF08313_334,O15265,7c1251f8510ec303cb22b17b1921addc939669bb19cd8ba582dec4c7c2bd946b,61,confirmation-family-b0d6685b8c98,True,True,undocumented,,,undocumented,,
human-domainome-v1,O15266_PF00046_119,O15266,17ed4ae3c0dfd0821a357bb5886c871fea87298a5c020df2aeab1d1c4a4fda6e,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,O15405_PF00505_256,O15405,5039ea366e7710128956912137983233391cf7ea9c117667beb019a1bdf4301c,68,confirmation-family-52fceae55860,True,True,undocumented,,,undocumented,,
human-domainome-v1,O15541_PF00642_198,O15541,5d7b132dea91417f63d9094acc0222b7960ad766e538bf902ecee0704e52f89e,25,confirmation-family-ba243c1e7cec,True,True,undocumented,,,undocumented,,
human-domainome-v1,O43167_PF00096_351,O43167,9d979a80dd518b756ba4acd3e0874ded4d33341be51a9e3bffdcdbc6c1e1f191,22,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,O43167_PF00096_435,O43167,234393d3df65319f4f38c9ba79b1ad84af2d7938167c0718e3810cd29283124c,22,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,O43186_PF00046_41,O43186,16817fe0ae926b5537c569cdfc905b64091a22a272bf6486a0db0b240dc811db,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,O43295_PF00018_745,O43295,d4589044a988cc1524b7971ec77e065ba9ff890857b6acc6db0b8d746913c3c3,58,confirmation-family-7bd4ebfadfcf,True,False,undocumented,,,undocumented,,
human-domainome-v1,O43353_PF00619_438,O43353,3aa6c230bef8b97cfe8381d063e8264500b6d74949127604f1f524d8805222f3,81,confirmation-family-71785938f9a0,True,True,undocumented,,,undocumented,,
human-domainome-v1,O43395_PF01480_10,O43395,ef071bca7244cf141f01a96e1da8d701c08fac463c81e6fe97b850123144a108,68,confirmation-family-2564525f5f9f,True,True,undocumented,,,undocumented,,
human-domainome-v1,O43586_PF00018_361,O43586,c8e8c84b51514d66358d7bf0537c3f8175576c772e169dfa8aa3c51849e30e22,56,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,O60341_PF04433_186,O60341,6537a731ed27d6f03989ff8c220f079f45559ff916877fe7559bc1d54e646229,79,confirmation-family-662b9c42e403,True,True,undocumented,,,undocumented,,
human-domainome-v1,O60481_PF00096_389,O60481,9b570a34b8e4e840a23c5eba6649544b25d87114be877bb88bba481f1270ea1a,22,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,O60885_PF17035_607,O60885,65c469b7bb282657cb4c6786fac642b970c6c073ba4ab8128ab095fd6372becd,67,confirmation-family-7a4fb206f46d,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75112_PF00595_1,O75112,bcf6ce6eaaf65754a3a2e93b5dec39bde2dbbe9409ce8411d22e0b9f42d00be8,83,confirmation-family-86e9103c06cb,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75360_PF00046_71,O75360,dd4b4c75b95021ba7d8eb27cf724ed257271f76ee88e771165f6a5eca9dd83a3,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,O75366_PF02209_785,O75366,7d749ba2b3475ad6226c8eaf896e010a81b19e3aa1c508da70a66b34e3fd18a5,35,confirmation-family-7266bfdea5d8,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75369_PF00630_1423,O75369,df1fde84f566df50a0cea0e1f7da15bd28a0b3dfbadeb4376d430b0b82386aaa,90,confirmation-family-3766efc49b4e,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75369_PF00630_2109,O75369,b249d3aafa96c09bad799d40a8aca4774bbaa614c8a78db55e23f129fb59bee0,78,confirmation-family-10d4cb9c450c,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75382_PF00643_111,O75382,3cab7b37ed2375eadcfb91d3d381e226d412e0b3f797bae97afbbe6de384b8bc,44,confirmation-family-dcb41324ec31,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75400_PF00397_176,O75400,c5ed58a705f480873bff2531c3655b3256796d2d1475e871ecff7c7da53c7d5f,51,confirmation-family-bcf5cb061f62,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75400_PF01846_395,O75400,d863247402b5a24c80eb9fe894abdd77aa78f4fcc73daefa8b6ee5a7ab055a16,50,confirmation-family-504cce7dd406,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75400_PF01846_459,O75400,0c2e956d7be751ed4938c961c982eece975a48b7db558249c149ac8110cb600e,54,confirmation-family-f98d34643265,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75400_PF01846_670,O75400,2696056fab25f4fcd43e82ba7a858ac2ee7716d10bc5c0d5bb7706056b3786ee,55,confirmation-family-d96bae606eac,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75400_PF01846_745,O75400,fd1f58e53ec4433cadfea614d709b07c4a25046bb61a7e10bfd7601b3a57f842,60,confirmation-family-d82852b3b9c2,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75478_PF04433_375,O75478,4238dc85a735a46852be330550ff276367043bd7bf08f60b1ee6e6665cbd8d5d,66,confirmation-family-3f9e9c5871bd,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75534_PF00313_184,O75534,95d9b236ef9cc6615db30498fec43ee7717eca283bd2e2e537a55a1d0bf41119,71,confirmation-family-78be93c4f120,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75534_PF00313_23,O75534,fcf087dc4e5966ad15a7a038a1005aa97c7e68686c81b3417b8f3faf0a42633d,69,confirmation-family-c58d1e573dc2,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75534_PF00313_347,O75534,d6134bb1e34fe054078c38798eb5cb5398de847613f4b8ac9e4c830f6cbd5d0b,72,confirmation-family-78be93c4f120,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75554_PF06220_8,O75554,40cdb6a461b33539d697a3630d86df07a625b7de4f8feb4b036a27e573fadef3,36,confirmation-family-8d0930152996,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75970_PF00595_1003,O75970,72724f70b02aba11bb1b7d86b19434056378adba745f439d4ee41745dcbb1962,88,confirmation-family-de1ca9399cc9,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75970_PF00595_1860,O75970,a02428106742a4efff0c8be4e8af1351f1f93b9a852071dfa8b30b7ebd74b2a0,85,confirmation-family-de1ca9399cc9,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75970_PF00595_372,O75970,b23766691e68ddc04c3c0aa62af2529ea74935ea13ec870b0e07a50507006275,92,confirmation-family-de1ca9399cc9,True,True,undocumented,,,undocumented,,
human-domainome-v1,O75970_PF00595_693,O75970,c4e8be008f34c6a7c6bedf49517a013484d095cad141a558bca2794b913b1ee6,96,confirmation-family-de1ca9399cc9,True,True,undocumented,,,undocumented,,
human-domainome-v1,O94830_PF00536_389,O94830,2ceab73eee68602d1ce478627fa2d21759f6154d72b92aa96dc0be57c6355a51,59,confirmation-family-209c010b44c2,True,True,undocumented,,,undocumented,,
human-domainome-v1,O94885_PF00536_630,O94885,4396906f68c2bc7937e03dcc67ee2d5890b8c40ae8e58a494b4f0ad6fa44bf9f,71,confirmation-family-a5a2cf1c9f0c,True,True,undocumented,,,undocumented,,
human-domainome-v1,O94929_PF00412_149,O94929,5c3e82c20923bb8254ea3b603e312fe820c50b5f97769e2009ee24f3dae95ff5,58,confirmation-family-a93c8af9b167,True,True,undocumented,,,undocumented,,
human-domainome-v1,O94929_PF00412_210,O94929,c31c2957a31d9d5a384f11dbe4bc57db99dc0a5668e2dc06e8a13bb0ae9878ac,57,confirmation-family-ac1106aa978c,True,True,undocumented,,,undocumented,,
human-domainome-v1,O94993_PF00505_338,O94993,40971285e28d8ba3a53487dd336f64390f839d35858422125039c7f9e7acfbc6,67,confirmation-family-52fceae55860,True,False,undocumented,,,undocumented,,
human-domainome-v1,O95076_PF00046_155,O95076,c22de4252c1784ec7e12c92edd07ff9a17baa88a79681805ac1432858a93573d,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,O95155_PF04564_1229,O95155,8fab300cf4c0506c2c6637c77456c8fb762d7b5d22777c807b4934a52dc833c9,71,confirmation-family-ffb975fee7c7,True,False,undocumented,,,undocumented,,
human-domainome-v1,O95218_PF00641_11,O95218,14d229f4f8b5be52e8d7755aff11f3b439c5f609e76b9e821cd0aa60d33a606b,25,confirmation-family-718bacdce634,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95218_PF00641_9,O95218,d807f59387446e2bb00ecba015c12a24d0a86b70a6e6efd0670edcd59ca7ff54,27,confirmation-family-718bacdce634,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95267_PF00130_539,O95267,e4ebc6357f0f5e1b27f8926c78d8457d0c288bf59123bc5a5c3c5df64461dae4,55,confirmation-family-75f6239f880e,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95343_PF00046_212,O95343,954e99cdbd1c9878bbf76e8b42de9b947a4152f8d0ed0b1182aa040e308fd856,51,confirmation-family-a11ce8dfeaeb,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95475_PF00046_134,O95475,a7c15755263d0085a2c1527035109fb4b9d7a7fe183431f49ce6b84d9e7806b5,51,confirmation-family-a11ce8dfeaeb,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95718_PF00105_100,O95718,311b488d7d229216310a852ee4d70bcae39deea51a16043bf0ee7012a07e5057,77,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95789_PF06467_427,O95789,0f38f89122e8b97b72778b198545af7a2f599f6c3b737fc4216debd5020b253f,40,confirmation-family-9854c5329dcc,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95793_PF00035_183,O95793,f9f43907c1dc0b6648d30b3d78ff0823e70884a0b63cc7788c1b913acb0493a2,67,confirmation-family-53cabace6990,True,True,undocumented,,,undocumented,,
human-domainome-v1,O95817_PF00397_11,O95817,cb092bbf67b880f3318839c42ce896bd09323d3a1e858941f5fd7dc18cf7fe03,49,confirmation-family-5870b94d2d38,True,False,undocumented,,,undocumented,,
human-domainome-v1,O95835_PF00627_98,O95835,0f0d37c909f05f411c03fe2d3697b86f15435f116b51fe2a3d1203fdf758328f,44,confirmation-family-6aaf74116804,True,True,undocumented,,,undocumented,,
human-domainome-v1,P00519_PF00018_64,P00519,3dd47db91dcfe548561aab17acf719428fffc03fe55c6b00b39f3e269d530555,57,confirmation-family-7bd4ebfadfcf,True,False,undocumented,,,undocumented,,
human-domainome-v1,P02549_PF00018_979,P02549,5350f92cc33ec33f20b68d0d598b47f243dbcab73b824229799f9a533986883d,58,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P02585_PF13499_1,P02585,f6b12bf30e42f670554713fb0f74ff889c1bea0753514cabd33cb37186238155,83,confirmation-family-31e3ad06ba6c,True,False,undocumented,,,undocumented,,
human-domainome-v1,P04049_PF02196_58,P04049,3a14c517bcce2879831f8fbcf04aadeb5b95d8e7629d243a6d11d04e4791bd62,71,confirmation-family-34c75e4c05f6,True,True,undocumented,,,undocumented,,
human-domainome-v1,P04150_PF00105_419,P04150,eec791d7db033788f590620919f952201a20152f70c4fe7df1f98e7684fcaa71,76,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P05813_PF00030_31,P05813,12fa0e71057e2bffb090ad501beaff6235a11d96a86a48fab3f864f19db8affd,89,confirmation-family-1071ad5d9fb0,True,True,undocumented,,,undocumented,,
human-domainome-v1,P06239_PF00018_63,P06239,4877a28b5acfcf903d7360aea2def8580f1f4292cb44f350e969f147b0c15a4d,58,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P06241_PF00018_83,P06241,4c913494c94f02b48b7d13e33b0ec1356af9d643160ffb83a4b110035651c003,61,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P07315_PF00030_4,P07315,1447f9eb2d6476a1b4f75f288a952317e2083326dba39cfbdebbb14dd668319c,76,confirmation-family-1071ad5d9fb0,True,True,undocumented,,,undocumented,,
human-domainome-v1,P07315_PF00030_91,P07315,3c3fad9eda06c5ee427b3e9865fde2f93d290b3dad8ebb3ea1b633181c492c3b,80,confirmation-family-1071ad5d9fb0,True,True,undocumented,,,undocumented,,
human-domainome-v1,P07316_PF00030_1,P07316,4bb5f7079a5840aac09b9397f0506116b82c682e5c8d4a51f8d9cd84c714cf5e,84,confirmation-family-1071ad5d9fb0,True,True,undocumented,,,undocumented,,
human-domainome-v1,P07814_PF00458_827,P07814,67011c1a3abd98c986826670040d0171ccb6aae21df7799e68be46f4dd404bfd,52,confirmation-family-d64b72134163,True,True,undocumented,,,undocumented,,
human-domainome-v1,P08151_PF00096_363,P08151,74b7311b012a7a96e8da516e0cfbc336292ab80daa042d67d52f4e423961d51d,25,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P08235_PF00105_600,P08235,c0702ea71e754f3057fca8289f6055fe82a8152c51a35f05b29d46c9ee2e501a,76,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P08631_PF00018_80,P08631,769097865cafbfc057fcbc7fd3abe6ef170e357ab93ed9f6bf3c8b67e6f34d58,58,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P09086_PF00157_200,P09086,44fa5a87d7dff9dd5f01936e8c6733970a9ad5675b88abf1a6cc9dca639148c2,70,confirmation-family-08993b6a2043,True,True,undocumented,,,undocumented,,
human-domainome-v1,P09327_PF02209_793,P09327,d261ceefff8e52cf506e5daad90d593c1497e2313b84cdc2c05cb51e6bc13e22,35,confirmation-family-7266bfdea5d8,True,True,undocumented,,,undocumented,,
human-domainome-v1,P0CI26_PF00643_87,P0CI26,da10ac8636dc2e631e429b816c623432ec8a21745cb132ca51a23d8dee5164ae,47,confirmation-family-5aa8e3aa4684,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10070_PF00096_565,P10070,266991531e22436cd7c90fd19c07f57af5e0082da5cd4dbb58fa3d7142e262f6,25,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10071_PF00096_608,P10071,90183eb431ba10e0b5e3bdf273e5ede7808b725956dcb4671dc71ce779304426,25,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10242_PF00249_143,P10242,c8628afe14ba1d62b07c8ca52adf558f9e9b846762432daf08da9f8d3a3f5d0b,62,confirmation-family-340605dfde1b,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10242_PF00249_40,P10242,a3a0ff83bf1dd5fc0f4f05944e99e0dd06840ca49ce90aa74fd0dc5401c74645,47,confirmation-family-b931d986cfa5,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10275_PF00105_557,P10275,40dcb7979e529b82435803a7a386e9d7763a915cdadaa7b5212881ac5f5a99e5,76,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10398_PF02196_21,P10398,66833d3836e17c1d87426f887e2d18e89f0f76cd6507f19f2db8ddbb4cdf5951,69,confirmation-family-34c75e4c05f6,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10589_PF00105_83,P10589,de618fc288b0350719d20df6854aa95d3b3fca24b2e4a5b70d2fd609926f951f,77,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P10826_PF00105_85,P10826,6a09bd76cd6a058df9b4cc397de2a16876a433df937e1a7a1a94c59318c5aefe,77,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P11182_PF02817_171,P11182,dfa998646edd99c6a7b3f8544722da43e58d44c8f7dc35968e2a8180d9605a9a,44,confirmation-family-8233a0facd97,True,False,undocumented,,,undocumented,,
human-domainome-v1,P11308_PF02198_117,P11308,43e27d0348bd951bbe17110396d1d9f7da0bcfd037c7b661aa98f3066c6b74e9,81,confirmation-family-8b74a43560b4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P11844_PF00030_85,P11844,b77e24b4c84394a39a32c1d38aafb1f1fabd3c3ab4184fc6d11098dec09ba489,89,confirmation-family-1071ad5d9fb0,True,True,undocumented,,,undocumented,,
human-domainome-v1,P12931_PF00018_87,P12931,d2f8827713689939472a0d593c325797cc89afcc12c82c9e7863f9a073a08d5f,57,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P12956_PF02037_558,P12956,35d6f7b2dd033b447d34ecebb8f1c77f351450fcaafb166cd441b6c2b92cd17e,52,confirmation-family-eab8ee795a47,True,True,undocumented,,,undocumented,,
human-domainome-v1,P13796_PF13499_13,P13796,542739ae436a931d52dddbe3d55e12977e02caa93b4c7cf45ef2e218ce6aa5c8,84,confirmation-family-7f6cd277427d,True,True,undocumented,,,undocumented,,
human-domainome-v1,P13984_PF02270_177,P13984,78a06b607d3510cceaf0dc468946b3df855ddc5f58afaba68d16d2ecba6477bd,64,confirmation-family-7812bc84e010,True,True,undocumented,,,undocumented,,
human-domainome-v1,P14598_PF00018_157,P14598,3cce6ea190bc8e4ccb805dcb0a52ee62a9dd71f847e0efbdd51729b43c4716cf,66,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P14653_PF00046_208,P14653,de8a41010fc47676cdf4ae887b0747e0a51ab78994833c6192954d7f5907e65f,53,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,P14859_PF00157_285,P14859,2fa9f0d50f4a65fa9f1accc5da6b2a0f520cfe386083b4edffa06261bc48644c,70,confirmation-family-08993b6a2043,True,True,undocumented,,,undocumented,,
human-domainome-v1,P14921_PF02198_55,P14921,734c9040c4edbe8d7e415581d244b90d5a66e38c1c6b945c556532fc6c539eec,81,confirmation-family-8b74a43560b4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P15498_PF00018_592,P15498,eb962337edc30e5e403ff5dd4a1423827cb1ef4c0a01abe8485dfe83323268da,67,confirmation-family-2ccf110151f1,True,True,undocumented,,,undocumented,,
human-domainome-v1,P15498_PF00018_782,P15498,337d9f29092821a2e037b8e0bd5be793404285528c521f132bbc60e666d43473,61,confirmation-family-7bd4ebfadfcf,True,False,undocumented,,,undocumented,,
human-domainome-v1,P16157_PF00531_1405,P16157,3fbc5a02468fc410e10c433447a4231cd68173974735d251d439b93e94057c54,80,confirmation-family-9dbda8fa3363,True,True,undocumented,,,undocumented,,
human-domainome-v1,P16885_PF00018_772,P16885,71fbae8891dec0c42d2bb927d0826ff7d2b15b6fc9832e4791962816074dcef0,56,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P16989_PF00313_84,P16989,1e9b96d74e065046f3bfb4a7fd6faa2c0503625b971769b7a9c93735278e949d,86,confirmation-family-b7ef0e5ab309,True,True,undocumented,,,undocumented,,
human-domainome-v1,P17480_PF00505_408,P17480,ebf201031d20748d0e3d2648ad0ae6532ba2db413c8c3301f98e0422854e1f39,62,confirmation-family-9ea607ac1fbd,True,True,undocumented,,,undocumented,,
human-domainome-v1,P19793_PF00105_132,P19793,151068290c1377f9901b581656b4889671d5f63a7e150cf337992052193fa656,77,confirmation-family-fe7055e33512,True,True,undocumented,,,undocumented,,
human-domainome-v1,P19878_PF00018_241,P19878,614da9ad75b0abc1ef593a0f4e8868eeab1b7359ab7577c4cb3a99425f6c1b53,60,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P19878_PF00018_456,P19878,586006993ea2d8a9d8d16868345896e9886da732c7d9a325238117bccbb079b9,59,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P19878_PF00564_353,P19878,de4d9f391fdee9476159622543005e4cbdae835ce28855a8105f98f434d40fd4,75,confirmation-family-93c2ce78d43a,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20264_PF00046_408,P20264,885d19c83b45e3df77daf69c696c493cb1f63c050a7807cbe49a5f4c27318dd1,56,confirmation-family-a11ce8dfeaeb,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20264_PF00157_320,P20264,94a116a374786c416d02382e59f7c1b59e7624e543f1d4ab8f3b40544ab8f6ed,69,confirmation-family-08993b6a2043,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20265_PF00046_356,P20265,035f5b0460c0caf203e8de0f4ff5fdf429c4b18911ea99b2e7df5039e4083fcb,56,confirmation-family-a11ce8dfeaeb,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20265_PF00157_262,P20265,d0889e7fe57878a9a8af66a5b499863764362dbcf4e87e03aa8631a755bca21a,77,confirmation-family-08993b6a2043,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20929_PF14604_6609,P20929,e8fdd2a796c69e964a0f7c10d74c1d8adc126f1fe5d2bd996a673dc9e14a73aa,61,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P20936_PF00018_281,P20936,a074d69878a0913808692c44d900379aac1cf6bdd8f0f9be2bb22ae3395087c5,61,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,P22492_PF00538_44,P22492,684ae90a12afb5fcbf1d8b3106560230eb3f9694dc41490cb801c6eae47d9ac6,69,confirmation-family-52ab273cd2bb,True,True,undocumented,,,undocumented,,
human-domainome-v1,P22681_PF00627_854,P22681,8621a8c7cd10cf3ae8b7b9401b86b749abb4db12a7795fc7f14c07f7d1a31ef4,46,confirmation-family-c9e604516006,True,True,undocumented,,,undocumented,,
human-domainome-v1,P23759_PF00046_219,P23759,6ce871f5b509cbd53fecdb2bb84a42c20955a4d5f3242bd5860e07d6b36a9d0d,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,P25490_PF00096_384,P25490,5d9cf9e82ac1baa1a4a5f34fa2a2df9e25edc047602c5d84e90a156c57a0c9a8,24,confirmation-family-6125905587e4,True,True,undocumented,,,undocumented,,
human-domainome-v1,P25685_PF00226_4,P25685,87fc6439a0a1bc96557f5bdc2297253abd5252eb4395a2d3c7568fe799fe8ee8,62,confirmation-family-0492a8acc70c,True,False,undocumented,,,undocumented,,
human-domainome-v1,P26367_PF00046_213,P26367,ae367c5fa2360a1b5024dad61383acc02a5c5913bf101e9cdff9fedeae81b8de,55,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,P26651_PF00642_105,P26651,8b8a878d705c4d5a4b2578f2d90be9dff8ba84e85473d8f4c4d6c81da55dcdc3,25,confirmation-family-ba243c1e7cec,True,True,undocumented,,,undocumented,,
human-domainome-v1,P28069_PF00157_130,P28069,58f9a00a13a6045eabfaa9780da06d36a32a7e529ad2cdb0473231e70292b3d6,69,confirmation-family-08993b6a2043,True,True,undocumented,,,undocumented,,
human-domainome-v1,P28360_PF00046_174,P28360,b4734c844ef2384d9d59f5677cdfad4bcc4a03ee6b4166e4969bb257beced028,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,P32243_PF00046_40,P32243,43800732255f816870e46496332413ae33baffaa2255e3fcb39698fb3867ef39,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
human-domainome-v1,P35251_PF00533_405,P35251,34a01854ab7d0691360e08cffc6df18e75315603d028b70a63dc6f28b06f757a,75,confirmation-family-a5e96ca06062,True,True,undocumented,,,undocumented,,
human-domainome-v1,P35548_PF00046_144,P35548,99375709d7e729dceea324cc7a34106127da22c2fadb4c15087751ed2765f313,56,confirmation-family-a11ce8dfeaeb,True,False,undocumented,,,undocumented,,
