urn,target_name,protein_id,sequence_sha256,sequence_length,score_sha256,input_rows,parsed_rows,invalid_or_non_single_protein_codes,reference_mismatches,single_missense_variants,mutated_positions,unique_scores,duplicate_protein_consequence_rows,synonymous_controls,termination_controls,orientation,directed_analysis_eligible,eligible,exclusion_reasons
urn:mavedb:00001239-a-5,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,2557e3619078e1261d0b5ded13d422491a5b89f121cb1443b6a6f8ae1c329f51,19100,14054,0,0,14054,928,14052,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-6,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,e2ef662aa1d52cf5d8a7dac5f3a8fc2a9b7e13bb3b86fbdbd581c1dfad1f60e3,19100,13927,0,0,13927,928,13915,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001239-a-7,INSR,INSR,0e665f54d93e810c78eea449e57f7f5a7c73d455c8faf5b75c4e111ed4cecac6,955,04dd9d40997b14c348117878bb948deebe0a7833a534c5a938012e2fff410d7c,19100,14189,0,0,14189,928,14174,0,0,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001243-a-1,LMNA,LMNA,d1ba9877ad6626a2d6d1bf77fdadf06d0bb8fbc1aeeddf52b5da196b22b3ad45,664,74a335eb6c00ec1b374f9029c03d7096e1eae8233895d4559433e4211bc8d9ec,1766,1735,31,0,1650,95,1650,0,85,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001252-a-1,LetA,LetA,cd4c4a5265b6324b7639487f6a6550ec0ca34ca209542ad5559ad8dc0dc5bba3,427,1c517c0667c58d0a4bc67ee3f753eda98ce35a0f88e90e2fe1839360b4c17389,8967,8915,0,0,8065,427,8045,0,427,423,1.0,True,True,
urn:mavedb:00001252-a-2,LetA,LetA,cd4c4a5265b6324b7639487f6a6550ec0ca34ca209542ad5559ad8dc0dc5bba3,427,61eb9818c382d04825114e6c582d7194a2bbceeaecf480513d6fbdba256e6f0e,8967,8932,0,0,8080,427,8070,0,427,425,1.0,True,True,
urn:mavedb:00001266-0-1,G6PD,G6PD,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,515,f7c0987b6652a7be233ffe76cbd61d5d19f1d3b6adf90eda732f83b7abfc8b03,9504,9503,1,0,8570,507,8570,0,434,499,1.0,True,True,
urn:mavedb:00001266-a-1,G6PD,G6PD,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,515,a199785536b572ae3c4d539c7a3f673a0295f203751a04cc3aff02fb1e43dabc,10675,9132,1,0,8217,505,8217,0,434,481,1.0,True,True,
urn:mavedb:00001266-b-1,G6PD,G6PD,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,515,f94ce07b2641e536da4c2a777a0c979e430fb87d442fd240fd7c6da720e1d043,10674,10673,1,0,9676,511,9676,0,489,508,1.0,True,True,
urn:mavedb:00001266-c-1,G6PD,G6PD,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,515,ea6df5bbffe2423e280fbb3b927eb58108bee6379de3f5adf1592be704c287ae,9145,9142,3,0,8227,508,8227,0,434,481,1.0,True,True,
urn:mavedb:00001267-0-1,TSC2,TSC2,6c6795ffc0f62a83401b3f75c82c49bdd4e0f17500834047f393531c2a00b402,1807,c00cc89dbd3de7c5e952c42deaaac8f9a2a0a7a0a4c13885fb1b45e92ba876e0,9253,9253,0,0,8891,486,8891,0,362,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001267-0-2,TSC2,TSC2,6c6795ffc0f62a83401b3f75c82c49bdd4e0f17500834047f393531c2a00b402,1807,d1cf196f6a202a9657ff32c5efca4de008c4e48bc7818711d9ed14b18d0e4c22,9968,9841,127,0,8946,493,8946,0,423,472,1.0,True,True,
urn:mavedb:00001267-a-1,TSC2 Tuberin,TSC2,c7e1a72a053db5994b1db068f6f22f1899a398cbf997ca47c8c660b063ddb2ea,204,121fbb1d90d0be22c247952c386b6edbe54fd8cfb80352336ce650d3464b328e,3605,3605,0,0,3482,193,3482,0,123,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001267-a-2,TSC2 Tuberin,TSC2,c7e1a72a053db5994b1db068f6f22f1899a398cbf997ca47c8c660b063ddb2ea,204,a0a32bf494b19f1f835983c23cf735a658e8df942f489e4b0b9847dd2afd6002,3951,3896,55,0,3531,199,3531,0,179,186,1.0,True,True,
urn:mavedb:00001267-b-1,TSC2 RapGAP,TSC2,e28823e05f815e180de7285869186899339af929822f1d43d2a9bf0d540ebb9c,294,c75f9e21f2d6dac39e92127c89948dcbf0b66a52da49129df301e89569fc1941,5648,5648,0,0,5409,293,5409,0,239,0,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001267-b-2,TSC2 RapGAP,TSC2,e28823e05f815e180de7285869186899339af929822f1d43d2a9bf0d540ebb9c,294,9f666e7f14ca9b57c001cda8ffdef4beff2912d5b5592a36a37e225208543bb1,6017,5945,72,0,5415,294,5415,0,244,286,1.0,True,True,
urn:mavedb:00001269-a-1,LDLR,LDLR,36a68c5510827c435b046def3dd5413c4715085cfdc1fdcb4b05a83e805ef3a2,860,63704f6f39eb2de92a3514f91ca7ac9aa15e6bbe15b8001c07aa588877ecff55,17390,17033,357,0,15507,858,15486,0,713,813,1.0,True,True,
urn:mavedb:00001269-b-1,LDLR,LDLR,36a68c5510827c435b046def3dd5413c4715085cfdc1fdcb4b05a83e805ef3a2,860,089df05e5166e6a54393850a80a1227f01d14e6a3645e337bacba9c28c499069,16796,16502,294,0,15011,858,14947,0,691,800,1.0,True,True,
urn:mavedb:00001269-c-1,LDLR,LDLR,36a68c5510827c435b046def3dd5413c4715085cfdc1fdcb4b05a83e805ef3a2,860,1706fb7a844b2f5a34dc034c1e8e1ca01d16082fd19a4047667008ff2515dd67,7586,7414,172,0,6752,371,6743,0,308,354,1.0,True,True,
urn:mavedb:00001270-a-1,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,c7a27bc3984d7ad9e9af0391be8e96d082f05c01d1d90489945dcf1edd75901e,23723,23723,0,0,22536,1187,22536,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-10,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,4d29bdb7dba1c0b668dc1c1a633446ab1110faa88e2db374b3c22ed096b47113,23720,23720,0,0,22533,1187,22533,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-2,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,922861a3482373691fb1494af04448147efce6102ca98e4694154de29a3aabdd,23723,23723,0,0,22536,1187,22536,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-3,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,8cbb735cc4479541cf06d7f387deb17479cc43aa91ba06e9a3a6e6c38cd2c318,23719,23719,0,0,22533,1187,22533,0,0,1186,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-4,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,2808cb3054e405e8f85523f2edc538d51e9a06059f81df7b9fe0be5597e01a50,23723,23723,0,0,22536,1187,22536,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-5,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,979b2474eb2192b796f20ac86565d2f40c997d9f01b391c94f29252ab532155f,23720,23720,0,0,22533,1187,22533,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-6,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,81dfdb0b1310b025642aca328099b37f7c8f735d92a070784a642f685b5c9e10,23723,23723,0,0,22536,1187,22536,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-7,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,e2a901787d2245036c5dcbaed101accc61dfc7d81a5ae45b588b11659e665130,23719,23719,0,0,22533,1187,22533,0,0,1186,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-8,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,ff24e5847cf7a9564337d1e86e918663e4b7275eb45a17834718cb33cf24f5f2,23720,23720,0,0,22533,1187,22533,0,0,1187,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001270-a-9,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,4a4021fc77bcb86125f84bdcf4d8df0c68981c51824b2aa4c9016b3908a399da,23719,23719,0,0,22533,1187,22533,0,0,1186,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001271-a-1,TYK2,TYK2,3f6b27ef15f1a0769f6d67bc2e74c379d3b7bd9e36093cb9bb74486a4a241890,1187,b0fc29b915e81c73b3028a5fd393a938c3400e303524c5970ea96aee4eb9943d,23698,23698,0,0,22516,1187,22516,0,0,1182,,False,False,score_direction_not_predeclared_or_control_identifiable
urn:mavedb:00001273-a-1,PqiC,PqiC,35163d0e13e4a150d298ccca639143caff776af6606f5cb9121d365dec99e9f6,187,7853d0d6543ad65f741868acffcea05dace16f746f38b3c0c5ff0b7de85ec289,3927,3922,0,0,3548,187,3544,0,187,187,1.0,True,True,
urn:mavedb:00001278-a-1,PALB2,PALB2,848e1c837f05f81497688db39709751dda67d0c3c1044aad526d4341d64e5f6e,1186,dd9390c6a1fc2d0d6013713b527a66a67bb3bfec52685aa788f1dbb7fcfdb3ff,7100,7099,1,0,6718,359,6693,0,42,339,1.0,True,True,
urn:mavedb:00001280-a-1,CHEK2,CHEK2,e81f5dcd44302c3c277b4599449c71b5f2a7b3eb761bc2c584db236d9fbb8632,543,78074499f382c0ea3c28f03be3aa9e29c6f2fb02b0e180df5dcb2a308b7c06b8,3912,3912,0,0,3187,543,3187,0,530,195,-1.0,True,True,
urn:mavedb:00001282-a-1,CPOX,CPOX,eb29387ba7d732851ac442149fd14f7333324f258bf7a1c88bf5294f843839d1,454,00d520ca3d36e92e8d800d28c1b43547a401a080020a872f87ff9c0148a0bbe6,8212,8212,0,0,7446,453,7446,0,365,401,1.0,True,True,
urn:mavedb:00001282-a-2,CPOX,CPOX,eb29387ba7d732851ac442149fd14f7333324f258bf7a1c88bf5294f843839d1,454,e7d50ed248ac18c970d210c2ed94491cc2746685b480e798a6daed836102ce0b,7152,7152,0,0,6512,451,6512,0,389,251,1.0,True,True,
