panel_id,target_id,protein_id,pfam_accession,pfam_name,clan_accession,clan_name,pfam_clan_family_id,domain_start,domain_end,annotation_source
human-domainome-v1,O95218_PF00641_9,O95218,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,O95267_PF00130_539,O95267,PF00130,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,O95343_PF00046_212,O95343,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O95475_PF00046_134,O95475,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,O95718_PF00105_100,O95718,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,O95789_PF06467_427,O95789,PF06467,,CL0175,TRASH,clan:CL0175,,,panel
human-domainome-v1,O95793_PF00035_183,O95793,PF00035,,CL0196,DSRM,clan:CL0196,,,panel
human-domainome-v1,O95817_PF00397_11,O95817,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,O95835_PF00627_98,O95835,PF00627,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,P00519_PF00018_64,P00519,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P02549_PF00018_979,P02549,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P02585_PF13499_1,P02585,PF13499,,CL0220,EF_hand,clan:CL0220,,,panel
human-domainome-v1,P04049_PF02196_58,P04049,PF02196,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,P04150_PF00105_419,P04150,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P05813_PF00030_31,P05813,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P06239_PF00018_63,P06239,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P06241_PF00018_83,P06241,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P07315_PF00030_4,P07315,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P07315_PF00030_91,P07315,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P07316_PF00030_1,P07316,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P07814_PF00458_827,P07814,PF00458,,CL0600,S15_NS1,clan:CL0600,,,panel
human-domainome-v1,P08151_PF00096_363,P08151,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P08235_PF00105_600,P08235,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P08631_PF00018_80,P08631,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P09086_PF00157_200,P09086,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P09327_PF02209_793,P09327,PF02209,,,,pfam:PF02209,,,panel
human-domainome-v1,P0CI26_PF00643_87,P0CI26,PF00643,,CL0782,BBOX,clan:CL0782,,,panel
human-domainome-v1,P10070_PF00096_565,P10070,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P10071_PF00096_608,P10071,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P10242_PF00249_143,P10242,PF00249,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P10242_PF00249_40,P10242,PF00249,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P10275_PF00105_557,P10275,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P10398_PF02196_21,P10398,PF02196,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,P10589_PF00105_83,P10589,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P10826_PF00105_85,P10826,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P11182_PF02817_171,P11182,PF02817,,,,pfam:PF02817,,,panel
human-domainome-v1,P11308_PF02198_117,P11308,PF02198,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,P11844_PF00030_85,P11844,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P12931_PF00018_87,P12931,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P12956_PF02037_558,P12956,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,P13796_PF13499_13,P13796,PF13499,,CL0220,EF_hand,clan:CL0220,,,panel
human-domainome-v1,P13984_PF02270_177,P13984,PF02270,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P14598_PF00018_157,P14598,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P14653_PF00046_208,P14653,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P14859_PF00157_285,P14859,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P14921_PF02198_55,P14921,PF02198,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,P15498_PF00018_592,P15498,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P15498_PF00018_782,P15498,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P16157_PF00531_1405,P16157,PF00531,,CL0041,Death,clan:CL0041,,,panel
human-domainome-v1,P16885_PF00018_772,P16885,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P16989_PF00313_84,P16989,PF00313,,CL0021,OB,clan:CL0021,,,panel
human-domainome-v1,P17480_PF00505_408,P17480,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P19793_PF00105_132,P19793,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P19878_PF00018_241,P19878,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P19878_PF00018_456,P19878,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P19878_PF00564_353,P19878,PF00564,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,P20264_PF00046_408,P20264,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P20264_PF00157_320,P20264,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P20265_PF00046_356,P20265,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P20265_PF00157_262,P20265,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P20929_PF14604_6609,P20929,PF14604,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P20936_PF00018_281,P20936,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P22492_PF00538_44,P22492,PF00538,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P22681_PF00627_854,P22681,PF00627,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,P23759_PF00046_219,P23759,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P25490_PF00096_384,P25490,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P25685_PF00226_4,P25685,PF00226,,CL0392,Chaperone-J,clan:CL0392,,,panel
human-domainome-v1,P26367_PF00046_213,P26367,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P26651_PF00642_105,P26651,PF00642,,CL0537,CCCH_zf,clan:CL0537,,,panel
human-domainome-v1,P28069_PF00157_130,P28069,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P28360_PF00046_174,P28360,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P32243_PF00046_40,P32243,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P35251_PF00533_405,P35251,PF00533,,CL0459,BRCT-like,clan:CL0459,,,panel
human-domainome-v1,P35548_PF00046_144,P35548,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P35711_PF00505_557,P35711,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P35712_PF00505_622,P35712,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P35713_PF00505_87,P35713,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P35716_PF00505_50,P35716,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P37275_PF00096_933,P37275,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P39880_PF02376_548,P39880,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P39880_PF02376_941,P39880,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P41225_PF00505_140,P41225,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P41229_PF00628_319,P41229,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,P43320_PF00030_106,P43320,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P43354_PF00105_260,P43354,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,P45973_PF00385_21,P45973,PF00385,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P46934_PF00397_836,P46934,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,P46937_PF00397_162,P46937,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,P46937_PF00397_165,P46937,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,P46937_PF00397_226,P46937,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,P47974_PF00642_193,P47974,PF00642,,CL0537,CCCH_zf,clan:CL0537,,,panel
human-domainome-v1,P48431_PF00505_42,P48431,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P49335_PF00046_280,P49335,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P49792_PF00641_1414,P49792,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,P49792_PF00641_1478,P49792,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,P50539_PF00010_70,P50539,PF00010,,CL0827,bHLH,clan:CL0827,,,panel
human-domainome-v1,P51451_PF00018_59,P51451,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P51508_PF00096_331,P51508,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P51508_PF00096_555,P51508,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P51608_PF01429_91,P51608,PF01429,,CL0081,MBD-like,clan:CL0081,,,panel
human-domainome-v1,P51687_PF00173_87,P51687,PF00173,,,,pfam:PF00173,,,panel
human-domainome-v1,P53673_PF00030_14,P53673,PF00030,,CL0333,gCrystallin,clan:CL0333,,,panel
human-domainome-v1,P54277_PF00505_572,P54277,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,P54727_PF00627_186,P54727,PF00627,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,P54727_PF00627_361,P54727,PF00627,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,P54821_PF00046_96,P54821,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P55072_PF02359_26,P55072,PF02359,,CL0199,DPBB,clan:CL0199,,,panel
human-domainome-v1,P55895_PF13341_415,P55895,PF13341,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,P56915_PF00046_162,P56915,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P57071_PF00096_1085,P57071,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,P60002_PF05129_3,P60002,PF05129,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,P60321_PF05741_63,P60321,PF05741,,,,pfam:PF05741,,,panel
human-domainome-v1,P61024_PF01111_1,P61024,PF01111,,,,pfam:PF01111,,,panel
human-domainome-v1,P61086_PF00627_158,P61086,PF00627,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,P61960_PF03671_4,P61960,PF03671,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,P62993_PF00018_159,P62993,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,P67809_PF00313_52,P67809,PF00313,,CL0021,OB,clan:CL0021,,,panel
human-domainome-v1,P78352_PF00595_157,P78352,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,P78352_PF00595_309,P78352,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,P78352_PF00595_60,P78352,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,P78424_PF00046_609,P78424,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,P78545_PF02198_50,P78545,PF02198,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,P78563_PF00035_80,P78563,PF00035,,CL0196,DSRM,clan:CL0196,,,panel
human-domainome-v1,P82979_PF02037_3,P82979,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,P98175_PF00641_214,P98175,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,Q00839_PF02037_6,Q00839,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,Q00987_PF00641_299,Q00987,PF00641,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,Q01543_PF02198_116,Q01543,PF02198,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,Q01826_PF02376_371,Q01826,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q01826_PF02376_494,Q01826,PF02376,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q01826_PF16557_178,Q01826,PF16557,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q01851_PF00157_266,Q01851,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q01860_PF00157_134,Q01860,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q03052_PF00157_247,Q03052,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q03181_PF00105_71,Q03181,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q05066_PF00505_61,Q05066,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,Q05195_PF00010_58,Q05195,PF00010,,CL0827,bHLH,clan:CL0827,,,panel
human-domainome-v1,Q05655_PF00130_228,Q05655,PF00130,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q06187_PF00018_215,Q06187,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q06546_PF02198_172,Q06546,PF02198,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,Q06787_PF00013_217,Q06787,PF00013,,CL0007,KH,clan:CL0007,,,panel
human-domainome-v1,Q06945_PF00505_60,Q06945,PF00505,,CL0114,HMG-box,clan:CL0114,,,panel
human-domainome-v1,Q08881_PF00018_172,Q08881,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q12824_PF04855_181,Q12824,PF04855,,,,pfam:PF04855,,,panel
human-domainome-v1,Q12830_PF00628_2862,Q12830,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q12837_PF00157_256,Q12837,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q12873_PF00628_374,Q12873,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q12899_PF00643_97,Q12899,PF00643,,CL0782,BBOX,clan:CL0782,,,panel
human-domainome-v1,Q12929_PF00018_533,Q12929,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q12929_PF18016_720,Q12929,PF18016,,CL0003,SAM,clan:CL0003,,,panel
human-domainome-v1,Q12965_PF00018_1051,Q12965,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q13009_PF00595_843,Q13009,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,Q13148_PF18694_5,Q13148,PF18694,,,,pfam:PF18694,,,panel
human-domainome-v1,Q13163_PF00564_15,Q13163,PF00564,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,Q13263_PF00628_620,Q13263,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q13368_PF00595_132,Q13368,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,Q13424_PF00595_79,Q13424,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,Q13472_PF06839_812,Q13472,PF06839,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,Q13472_PF06839_896,Q13472,PF06839,,CL0167,Zn_Beta_Ribbon,clan:CL0167,,,panel
human-domainome-v1,Q13501_PF00569_120,Q13501,PF00569,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q13501_PF16577_389,Q13501,PF16577,,CL0214,UBA,clan:CL0214,,,panel
human-domainome-v1,Q13526_PF00397_1,Q13526,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,Q13642_PF00412_160,Q13642,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q13642_PF00412_99,Q13642,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q13813_PF13499_2327,Q13813,PF13499,,CL0220,EF_hand,clan:CL0220,,,panel
human-domainome-v1,Q14151_PF02037_27,Q14151,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,Q14160_PF00595_857,Q14160,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,Q14192_PF00412_38,Q14192,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q14202_PF06467_350,Q14202,PF06467,,CL0175,TRASH,clan:CL0175,,,panel
human-domainome-v1,Q14202_PF06467_405,Q14202,PF06467,,CL0175,TRASH,clan:CL0175,,,panel
human-domainome-v1,Q14839_PF00385_623,Q14839,PF00385,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q14839_PF00628_365,Q14839,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q14839_PF00628_444,Q14839,PF00628,,CL0229,RING,clan:CL0229,,,panel
human-domainome-v1,Q14863_PF00157_139,Q14863,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q14995_PF00105_103,Q14995,PF00105,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q14CM0_PF00595_75,Q14CM0,PF00595,,CL0466,PDZ-like,clan:CL0466,,,panel
human-domainome-v1,Q14CS0_PF00789_256,Q14CS0,PF00789,,CL0072,Ubiquitin,clan:CL0072,,,panel
human-domainome-v1,Q15319_PF00157_185,Q15319,PF00157,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15365_PF00013_278,Q15365,PF00013,,CL0007,KH,clan:CL0007,,,panel
human-domainome-v1,Q15424_PF02037_26,Q15424,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,Q15475_PF00046_131,Q15475,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15554_PF00249_489,Q15554,PF00249,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15699_PF00046_134,Q15699,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15811_PF00018_1003,Q15811,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q15811_PF00018_1156,Q15811,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q15811_PF00018_909,Q15811,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q15811_PF07653_1003,Q15811,PF07653,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q15911_PF00046_2244,Q15911,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15911_PF00046_2643,Q15911,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q15942_PF00412_504,Q15942,PF00412,,CL0839,Tbcl_zf,clan:CL0839,,,panel
human-domainome-v1,Q1KMD3_PF02037_1,Q1KMD3,PF02037,,CL0306,HeH,clan:CL0306,,,panel
human-domainome-v1,Q2Q1W2_PF00643_274,Q2Q1W2,PF00643,,CL0782,BBOX,clan:CL0782,,,panel
human-domainome-v1,Q5F1R6_PF12171_315,Q5F1R6,PF12171,,CL0361,C2H2-zf,clan:CL0361,,,panel
human-domainome-v1,Q5HYK7_PF00018_664,Q5HYK7,PF00018,,CL0010,SH3,clan:CL0010,,,panel
human-domainome-v1,Q5SQQ9_PF00046_102,Q5SQQ9,PF00046,,CL0123,HTH,clan:CL0123,,,panel
human-domainome-v1,Q5TCQ9_PF00397_287,Q5TCQ9,PF00397,,CL0680,WW,clan:CL0680,,,panel
human-domainome-v1,Q5U5Q3_PF00013_325,Q5U5Q3,PF00013,,CL0007,KH,clan:CL0007,,,panel
human-domainome-v1,Q5VTD9_PF00096_221,Q5VTD9,PF00096,,CL0361,C2H2-zf,clan:CL0361,,,panel
