assay_id,uniprot_id,pfam_accession,clan_accession,pfam_clan_family_id
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,PF01429,CL0081,clan:CL0081
MET_HUMAN_Estevam_2023,MET_HUMAN,PF07714,CL0016,clan:CL0016
MK01_HUMAN_Brenan_2016,MK01_HUMAN,PF00069,CL0016,clan:CL0016
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,PF05494,CL0051,clan:CL0051
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,PF00488,CL0023,clan:CL0023
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,PF01624,,pfam:PF01624
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,PF05188,CL0219,clan:CL0219
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,PF05190,,pfam:PF05190
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,PF05192,,pfam:PF05192
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,PF00145,CL0063,clan:CL0063
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,PF02219,CL0036,clan:CL0036
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,PF21895,CL0774,clan:CL0774
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,PF00018,CL0010,clan:CL0010
NCAP_I34A1_Doud_2015,NCAP_I34A1,PF00506,,pfam:PF00506
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,PF00046,CL0123,clan:CL0123
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,PF12349,CL0322,clan:CL0322
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,PF16414,CL0644,clan:CL0644
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,PF22314,CL0322,clan:CL0322
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,PF00293,CL0261,clan:CL0261
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,PF02817,,pfam:PF02817
OTC_HUMAN_Lo_2023,OTC_HUMAN,PF00185,CL0063,clan:CL0063
OTC_HUMAN_Lo_2023,OTC_HUMAN,PF02729,,pfam:PF02729
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,PF28552,CL0214,clan:CL0214
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,PF01266,CL0063,clan:CL0063
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,PF01266,CL0063,clan:CL0063
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,PF00870,CL0073,clan:CL0073
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,PF07710,,pfam:PF07710
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,PF08563,,pfam:PF08563
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,PF18521,,pfam:PF18521
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,PF00870,CL0073,clan:CL0073
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,PF07710,,pfam:PF07710
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,PF08563,,pfam:PF08563
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,PF18521,,pfam:PF18521
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,PF00870,CL0073,clan:CL0073
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,PF07710,,pfam:PF07710
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,PF08563,,pfam:PF08563
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,PF18521,,pfam:PF18521
P53_HUMAN_Kotler_2018,P53_HUMAN,PF00870,CL0073,clan:CL0073
P53_HUMAN_Kotler_2018,P53_HUMAN,PF07710,,pfam:PF07710
P53_HUMAN_Kotler_2018,P53_HUMAN,PF08563,,pfam:PF08563
P53_HUMAN_Kotler_2018,P53_HUMAN,PF18521,,pfam:PF18521
P84126_THETH_Chan_2017,P84126_THETH,PF00218,CL0036,clan:CL0036
PABP_YEAST_Melamed_2013,PABP_YEAST,PF00076,CL0221,clan:CL0221
PABP_YEAST_Melamed_2013,PABP_YEAST,PF00658,CL0828,clan:CL0828
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,PF00079,,pfam:PF00079
PA_I34A1_Wu_2015,PA_I34A1,PF00603,CL0236,clan:CL0236
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,PF13426,CL0183,clan:CL0183
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,PF00397,CL0680,clan:CL0680
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,PF00046,CL0123,clan:CL0123
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,PF02185,CL0899,clan:CL0899
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,PF00073,CL0055,clan:CL0055
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,PF02226,CL0055,clan:CL0055
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,PF22663,CL0055,clan:CL0055
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,PF00972,CL0027,clan:CL0027
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,PF01728,CL0063,clan:CL0063
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,PF20483,CL0027,clan:CL0027
POLG_HCVJF_Qi_2014,POLG_HCVJF,PF01506,,pfam:PF01506
POLG_HCVJF_Qi_2014,POLG_HCVJF,PF08300,,pfam:PF08300
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,PF20915,,pfam:PF20915
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,PF00104,,pfam:PF00104
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,PF00105,CL0839,clan:CL0839
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,PF12577,,pfam:PF12577
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,PF00481,CL0238,clan:CL0238
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,PF01846,CL0584,clan:CL0584
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,PF00240,CL0072,clan:CL0072
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,PF17976,CL0229,clan:CL0229
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,PF17978,CL0229,clan:CL0229
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,PF22605,CL0229,clan:CL0229
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,PF02427,CL0010,clan:CL0010
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,PF10409,CL0154,clan:CL0154
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,PF22785,CL0031,clan:CL0031
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,PF10409,CL0154,clan:CL0154
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,PF22785,CL0031,clan:CL0031
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,PF00129,CL0343,clan:CL0343
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,PF06623,,pfam:PF06623
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN,PF07654,CL0159,clan:CL0159
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,PF00129,CL0343,clan:CL0343
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,PF06623,,pfam:PF06623
Q53Z42_HUMAN_McShan_2019_expression,Q53Z42_HUMAN,PF07654,CL0159,clan:CL0159
Q6WV12_9MAXI_Somermeyer_2022,Q6WV12_9MAXI,PF01353,CL0069,clan:CL0069
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,PF00005,CL0023,clan:CL0023
Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,PF00664,CL0241,clan:CL0241
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,PF00005,CL0023,clan:CL0023
Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,PF00664,CL0241,clan:CL0241
Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,PF01353,CL0069,clan:CL0069
R1AB_SARS2_Flynn_2022,R1AB_SARS2,PF05409,CL0124,clan:CL0124
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,PF00249,CL0123,clan:CL0123
RASH_HUMAN_Bandaru_2017,RASH_HUMAN,PF00071,CL0023,clan:CL0023
RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,PF00071,CL0023,clan:CL0023
RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,PF00071,CL0023,clan:CL0023
RBP1_HUMAN_Tsuboyama_2023_2KWH,RBP1_HUMAN,PF20924,,pfam:PF20924
RCD1_ARATH_Tsuboyama_2023_5OAO,RCD1_ARATH,PF12174,,pfam:PF12174
RCRO_LAMBD_Tsuboyama_2023_1ORC,RCRO_LAMBD,PF09048,CL0123,clan:CL0123
RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,PF00627,CL0214,clan:CL0214
RDRP_I33A0_Li_2023,RDRP_I33A0,PF00602,,pfam:PF00602
REV_HV1H2_Fernandes_2016,REV_HV1H2,PF00424,,pfam:PF00424
RL20_AQUAE_Tsuboyama_2023_1GYZ,RL20_AQUAE,PF00453,,pfam:PF00453
RL40A_YEAST_Mavor_2016,RL40A_YEAST,PF00240,CL0072,clan:CL0072
RL40A_YEAST_Mavor_2016,RL40A_YEAST,PF01020,CL0167,clan:CL0167
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,PF00240,CL0072,clan:CL0072
RL40A_YEAST_Roscoe_2013,RL40A_YEAST,PF01020,CL0167,clan:CL0167
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,PF00240,CL0072,clan:CL0072
RL40A_YEAST_Roscoe_2014,RL40A_YEAST,PF01020,CL0167,clan:CL0167
RNC_ECOLI_Weeks_2023,RNC_ECOLI,PF00035,CL0196,clan:CL0196
RNC_ECOLI_Weeks_2023,RNC_ECOLI,PF14622,CL0539,clan:CL0539
RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,PF01381,CL0123,clan:CL0123
RS15_GEOSE_Tsuboyama_2023_1A32,RS15_GEOSE,PF00312,CL0600,clan:CL0600
S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN,PF00083,CL0015,clan:CL0015
S22A1_HUMAN_Yee_2023_activity,S22A1_HUMAN,PF00083,CL0015,clan:CL0015
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,PF00397,CL0680,clan:CL0680
SBI_STAAM_Tsuboyama_2023_2JVG,SBI_STAAM,PF11621,,pfam:PF11621
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,PF00209,CL0062,clan:CL0062
SC6A4_HUMAN_Young_2021,SC6A4_HUMAN,PF03491,,pfam:PF03491
SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,PF11546,,pfam:PF11546
SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,PF08970,,pfam:PF08970
SERC_HUMAN_Xie_2023,SERC_HUMAN,PF00266,CL0061,clan:CL0061
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,PF13855,CL0022,clan:CL0022
SHOC2_HUMAN_Kwon_2022,SHOC2_HUMAN,PF23598,CL0022,clan:CL0022
SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,PF00505,CL0114,clan:CL0114
SPG1_STRSG_Olson_2014,SPG1_STRSG,PF00746,,pfam:PF00746
SPG1_STRSG_Olson_2014,SPG1_STRSG,PF01378,CL0072,clan:CL0072
SPG1_STRSG_Olson_2014,SPG1_STRSG,PF17573,CL0598,clan:CL0598
SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,PF01378,CL0072,clan:CL0072
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,PF01601,CL0595,clan:CL0595
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,PF09408,,pfam:PF09408
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,PF16451,CL0004,clan:CL0004
SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,PF19209,,pfam:PF19209
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,PF01601,CL0595,clan:CL0595
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,PF09408,,pfam:PF09408
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,PF16451,CL0004,clan:CL0004
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,PF19209,,pfam:PF19209
SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,PF16577,CL0214,clan:CL0214
SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,PF00385,CL0010,clan:CL0010
SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,PF00018,CL0010,clan:CL0010
SRC_HUMAN_Ahler_2019,SRC_HUMAN,PF00017,CL0541,clan:CL0541
SRC_HUMAN_Ahler_2019,SRC_HUMAN,PF00018,CL0010,clan:CL0010
SRC_HUMAN_Ahler_2019,SRC_HUMAN,PF07714,CL0016,clan:CL0016
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,PF00017,CL0541,clan:CL0541
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,PF00018,CL0010,clan:CL0010
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,PF07714,CL0016,clan:CL0016
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,PF00017,CL0541,clan:CL0541
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,PF00018,CL0010,clan:CL0010
SRC_HUMAN_Nguyen_2022,SRC_HUMAN,PF07714,CL0016,clan:CL0016
SUMO1_HUMAN_Weile_2017,SUMO1_HUMAN,PF11976,CL0072,clan:CL0072
SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,PF01387,,pfam:PF01387
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,PF00076,CL0221,clan:CL0221
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,PF18694,,pfam:PF18694
TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,PF20910,,pfam:PF20910
TAT_HV1BR_Fernandes_2016,TAT_HV1BR,PF00539,,pfam:PF00539
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,PF00397,CL0680,clan:CL0680
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,PF02037,CL0306,clan:CL0306
TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,PF07647,CL0003,clan:CL0003
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,PF04263,CL0948,clan:CL0948
TPK1_HUMAN_Weile_2017,TPK1_HUMAN,PF04265,,pfam:PF04265
TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,PF05724,CL0063,clan:CL0063
TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,PF09067,CL0159,clan:CL0159
TRPC_SACS2_Chan_2017,TRPC_SACS2,PF00218,CL0036,clan:CL0036
TRPC_THEMA_Chan_2017,TRPC_THEMA,PF00218,CL0036,clan:CL0036
UBC9_HUMAN_Weile_2017,UBC9_HUMAN,PF00179,CL0208,clan:CL0208
UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBE4B_HUMAN,PF04564,CL0229,clan:CL0229
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,PF04564,CL0229,clan:CL0229
UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,PF10408,CL0020,clan:CL0020
UBR5_HUMAN_Tsuboyama_2023_1I2T,UBR5_HUMAN,PF00658,CL0828,clan:CL0828
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,PF02209,,pfam:PF02209
VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,PF07884,,pfam:PF07884
VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,PF07884,,pfam:PF07884
VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,PF16857,,pfam:PF16857
YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,PF16362,,pfam:PF16362
YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,PF05979,,pfam:PF05979
