mutant_file_id,doi
KAL2709656_de,doi.org/10.1021/acscatal.0c05607
KdAKR_activity,10.1002/biot.202300637
KE07_kcat,10.1038/nature06879
KE70_kcatkm,10.1038/nature06879
KmAKR_variant_3_activity,10.1016/j.bioorg.2021.104712
MN539024_1_km,10.1111/1751-7915.13812
MT038422_1_activity_hydrolysis,10.1016/j.enzmictec.2020.109644
MT038422_1_activity_transpeptidation,10.1016/j.enzmictec.2020.109644
MT038422_1_kcat,10.1016/j.enzmictec.2020.109644
MT038422_1_kcatkm,10.1016/j.enzmictec.2020.109644
MT038422_1_km,10.1016/j.enzmictec.2020.109644
myoglobin_ee,http://dx.doi.org/10.1016/j.chempr.2024.06.010
nitrilase_ee,?10.1021/ja035742h
O06543_activity,10.1074/jbc.M409704200
O52063_activity,10.1371/journal.pone.0137700
O54728_activity,10.1021/bi010237n
O75355_ADPase_activity,10.1021/bi002711f
O75355_ATPase_activity,10.1021/bi002711f
O94220_activity,10.1016/j.fob.2013.10.009
P00813_activity,10.1096/fj.12-212621
P04517_exp,10.1016/j.jbiotec.2005.08.006
P05030_activity,10.1002/j.1460-2075.1988.tb03010.x
P05150_activity,10.1074/jbc.M300383200
P06802_activity,10.1074/jbc.M007552200
P08684_ee_1,doi.org/10.1002/cbic.201600546
P08684_ee_2,doi.org/10.1002/cbic.201600546
P0A2M9_kcatkm,10.1016/j.molcel.2007.11.011
P0A2M9_vmax,10.1016/j.molcel.2007.11.011
P0A873_vmax,10.1016/j.jmb.2003.09.011
P0A8I5_kcat,10.1002/prot.20454
P0ADG7_kcat,10.1021/bi9714161
P11509_kcat,10.1080/15287394.2014.951757
P11509_kcatkm,10.1080/15287394.2014.951757
P11509_kd,10.1080/15287394.2014.951757
P11509_km,10.1080/15287394.2014.951757
P14779_ee,10.1002/cbic.201200244
P14779_ee_2,10.1002/cbic.201200244
P14779_ee_3,10.1002/cbic.201200244
P15042_1_activity,10.1074/jbc.M111164200
P15042_2_activity,10.1074/jbc.M413685200
P22862_activity,10.1002/bit.27170
P24058_vmax,10.1074/jbc.M107465200
P25745_activity,10.1038/nature04896
P27346_activity_aKG,10.1021/acscatal.2c04636
P27346_activity_PBO,10.1021/acscatal.2c04636
P27346_activity_PPO,10.1021/acscatal.2c04636
P27346_activity_PTO,10.1021/acscatal.2c04636
P27346_PBO_kcat,10.1021/acscatal.2c04636
P27346_PBO_KcatKm,10.1021/acscatal.2c04636
P27346_PBO_Km,10.1021/acscatal.2c04636
P27346_PPO_kcat,10.1021/acscatal.2c04636
P27346_PPO_kcatkm_csv,10.1021/acscatal.2c04636
P27346_PPO_km,10.1021/acscatal.2c04636
P29379_ee,10.1002/bit.26484
P32738_kcat,10.1074/jbc.270.49.29111
P33018_kcatkm,10.1074/jbc.M600996200
P33018_vmax,10.1074/jbc.M600996200
P36136_kcat,10.1074/jbc.M110.118315
P36136_vmax,10.1074/jbc.M110.118315
P46544_activity,10.1016/s0167-4838(98)00264-7
P46849_activity,10.1016/j.str.2010.01.016
P49768_1_activity,10.1038/nature14892
P51697_activity,?10.1002/prot.10007
P52061_kcat,10.1016/j.jmb.2007.10.012
P56653_kcat,10.1021/bi0262303
P58004_kcat,10.1038/ncomms10025
P73574_activity,?10.1016/j.febslet.2015.09.001
P73832_activity,10.1016/j.jmb.2009.07.001
P77555_kcat,10.1371/journal.pone.0052066
P77555_kcatkm,10.1371/journal.pone.0052066
P78330_activity,10.1074/jbc.M204866200
P80036_activity,10.1271/bbb.65.1542
P95480_vmax,10.1002/anie.200802466
P95867_activity,10.1021/jf073320b
P9WHH9_DTNB_activity,10.1074/jbc.M507466200
P9WHH9_LDH_activity,10.1074/jbc.M507466200
P9WHH9_PDH_activity,10.1074/jbc.M507466200
Q02353_N_deacetylase_activity,10.1074/jbc.274.4.1966
Q02353_N_sulfotransferase_activity,10.1074/jbc.274.4.1966
Q02890_activity,10.1074/jbc.M111383200
Q03154_kcat,10.1074/jbc.M304233200
Q06135_activity,10.1074/jbc.M807990200
Q071N0_kcatkm,10.1074/jbc.M109.030957
Q14RS0_activity,10.1016/j.enzmictec.2015.07.009
Q16769_kcat,10.1073/pnas.0504184102
Q16774_kcat,10.1074/jbc.RA119.009251
Q2FHP2_activity,10.1038/s41467-019-13724-y
Q2FV54_activity,10.1074/jbc.RA120.013108
Q3YW59_activity,10.1038/nature13618
Q44244_NSAR_kcat,10.1021/bi500573v
Q44244_OSBS_kcat,10.1021/bi500573v
Q47NX5_km,10.1128/AEM.01224-18
Q4KAC6_kcat,10.1016/j.enzmictec.2019.01.002
Q4KAC6_kcatkm,10.1016/j.enzmictec.2019.01.002
Q4KAC6_km,10.1016/j.enzmictec.2019.01.002
Q51559_activity,10.1111/febs.14954
Q57261_activity,10.1016/j.abb.2009.07.023
Q58431_activity,10.1021/bi0484769
Q597B8_activity,10.1016/j.ijbiomac.2024.132084
Q5F4D9_ee,10.1002/anie.201311091
Q65EX3_activity,10.1073/pnas.1019480108
Q6VAB4_kcatkm,10.1073/pnas.1902104116
Q70PR7_activity,?10.1016/j.bmc.2004.02.029
Q7SIG4_activity,10.1021/bi0500675
Q86GC8_activity,10.1016/j.scitotenv.2024.173282
Q86XE5_kcat,10.1371/journal.pone.0026021
Q887Q3_activity,10.1074/jbc.M113.533158
Q88LS1_activity,10.1128/mBio.01412-17
Q8GCH2_kcat,?10.1074/jbc.M801227200
Q8IYT2_activity,10.1038/ncomms4004
Q8JFY9_activity,10.1074/jbc.M501160200
Q8KLM3_activity,10.1074/jbc.M611912200
Q8LPL7_activity,?10.1093/nar/gkz070
QNC43959_1_kcatkm_substrate_R,10.1038/nature06879
QNC43959_1_kcatkm_substrate_S,10.1038/nature06879
QNC43959_1_kcat_substrate_R,10.1038/nature06879
QNC43959_1_kcat_substrate_S,10.1038/nature06879
QNC43959_1_ratio_of_kcatkm_R_over_S,10.1038/nature06879
S5Y0Y3_residual_activity,10.1016/j.bbrc.2020.12.039
S5Y0Y3_turn_over_frequency,10.1016/j.bbrc.2020.12.039
Tr_Cel7B_activity,10.1021/ci500339v
WLF46330_1_kcat_disulfide_bonds,10.1002/bit.28808
WP_012492804_activity,doi.org/10.1128/AEM.02688-15
WP_012492804_ee,doi.org/10.1128/AEM.02688-15
firprotdb**，10.1093/nar/gkaa981,
M1261**,10.1038/s43588-024-00716-2
thermomutdb**,10.1093/nar/gkaa925
Q306**,10.1093/bioinformatics/btw361
S571**,10.1038/s43588-024-00716-2
S669**,10.1093/bib/bbab555
s2648**,10.1093/bioinformatics/btp445
S4346**10.1038/s43588-024-00716-2,
S8754**,10.1038/s43588-024-00716-2
vb1432**,10.3390/ijms19041009
PPB_Affinity**,10.1038/s41597-024-03997-4
