model_id,dms_id,target_id,shared_variants,reference_variants,parity_spearman,minimum_variants_pass,correlation_pass,parity_pass
saprot_35m,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999999999998,True,True,True
saprot_35m,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999999234951,True,True,True
saprot_35m,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.999999999580332,True,True,True
saprot_35m,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.999999993259786,True,True,True
saprot_35m,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
saprot_35m,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999992584544,True,True,True
saprot_35m,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,1.0,True,True,True
tranception_l_no_retrieval,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,922,1.0,True,True,True
tranception_l_no_retrieval,DN7A_SACS2_Tsuboyama_2023_1JIC,DN7A_SACS2,1008,1008,0.9999999853543012,True,True,True
tranception_l_no_retrieval,MET_HUMAN_Estevam_2023,MET_HUMAN,5393,5393,0.9999999990054347,True,True,True
tranception_l_no_retrieval,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,4007,4007,0.9999999991606641,True,True,True
tranception_l_no_retrieval,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,1212,1212,0.9999999882046255,True,True,True
tranception_l_no_retrieval,SOX30_HUMAN_Tsuboyama_2023_7JJK,SOX30_HUMAN,1010,1010,1.0,True,True,True
tranception_l_no_retrieval,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,3648,3648,0.9999999983315218,True,True,True
tranception_l_no_retrieval,VRPI_BPT7_Tsuboyama_2023_2WNM,VRPI_BPT7,1047,1047,0.9999999947722887,True,True,True
